"Plot Title: PPW1328_10008101"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10008101, SEN S/N: 10008101)","RH, % (LGR S/N: 10008101, SEN S/N: 10008101)","Coupler Detached (LGR S/N: 10008101)","Bad Battery (LGR S/N: 10008101)","End Of File (LGR S/N: 10008101)"
94,05/18/14 10:29:41 AM,68.356,53.296,,,
95,05/18/14 10:59:41 AM,69.858,49.150,,,
96,05/18/14 11:29:41 AM,71.361,44.831,,,
97,05/18/14 11:59:41 AM,72.351,44.350,,,
98,05/18/14 12:29:41 PM,72.826,39.809,,,
99,05/18/14 12:59:41 PM,72.178,39.216,,,
100,05/18/14 01:29:41 PM,74.163,34.581,,,
101,05/18/14 01:59:41 PM,73.558,32.619,,,
102,05/18/14 02:29:41 PM,73.170,30.323,,,
103,05/18/14 02:59:41 PM,73.386,30.367,,,
104,05/18/14 03:29:41 PM,72.955,31.854,,,
105,05/18/14 03:59:41 PM,72.178,34.477,,,
106,05/18/14 04:29:41 PM,70.930,38.032,,,
107,05/18/14 04:59:41 PM,70.158,40.852,,,
108,05/18/14 05:29:41 PM,68.614,44.457,,,
109,05/18/14 05:59:41 PM,66.258,48.292,,,
110,05/18/14 06:29:41 PM,64.247,52.231,,,
111,05/18/14 06:59:41 PM,62.148,55.322,,,
112,05/18/14 07:29:41 PM,60.089,58.813,,,
113,05/18/14 07:59:41 PM,58.755,60.907,,,
114,05/18/14 08:29:41 PM,57.850,63.045,,,
115,05/18/14 08:59:41 PM,57.074,64.732,,,
116,05/18/14 09:29:41 PM,56.251,65.499,,,
117,05/18/14 09:59:41 PM,55.863,65.984,,,
118,05/18/14 10:29:41 PM,55.602,66.915,,,
119,05/18/14 10:59:41 PM,55.125,68.940,,,
120,05/18/14 11:29:41 PM,54.561,70.794,,,
121,05/18/14 11:59:41 PM,53.951,73.105,,,
122,05/19/14 12:29:41 AM,53.951,74.285,,,
123,05/19/14 12:59:41 AM,53.515,74.739,,,
124,05/19/14 01:29:41 AM,52.903,76.200,,,
125,05/19/14 01:59:41 AM,52.860,76.887,,,
126,05/19/14 02:29:41 AM,52.072,78.639,,,
127,05/19/14 02:59:41 AM,51.764,79.258,,,
128,05/19/14 03:29:41 AM,51.413,81.525,,,
129,05/19/14 03:59:41 AM,52.466,78.713,,,
130,05/19/14 04:29:41 AM,52.072,79.705,,,
131,05/19/14 04:59:41 AM,50.709,82.568,,,
132,05/19/14 05:29:41 AM,50.445,83.660,,,
133,05/19/14 05:59:41 AM,50.488,84.625,,,
134,05/19/14 06:29:41 AM,52.029,84.611,,,
135,05/19/14 06:59:41 AM,53.515,78.894,,,
136,05/19/14 07:29:41 AM,54.734,76.022,,,
137,05/19/14 07:59:41 AM,56.944,71.562,,,
138,05/19/14 08:29:41 AM,58.798,64.459,,,
139,05/19/14 08:59:41 AM,60.948,60.479,,,
140,05/19/14 09:29:41 AM,63.090,55.797,,,
141,05/19/14 09:59:41 AM,64.888,52.993,,,
142,05/19/14 10:29:41 AM,66.472,47.992,,,
143,05/19/14 10:59:41 AM,67.071,43.108,,,
144,05/19/14 11:29:41 AM,68.270,41.093,,,
145,05/19/14 11:59:41 AM,67.842,50.824,,,
146,05/19/14 12:29:41 PM,69.728,50.401,,,
147,05/19/14 12:59:41 PM,68.614,53.130,,,
148,05/19/14 01:29:41 PM,66.344,55.514,,,
149,05/19/14 01:59:41 PM,67.714,51.939,,,
150,05/19/14 02:29:41 PM,68.484,50.716,,,
151,05/19/14 02:59:41 PM,67.285,53.553,,,
152,05/19/14 03:29:41 PM,67.158,50.679,,,
153,05/19/14 03:59:41 PM,67.158,49.331,,,
154,05/19/14 04:29:41 PM,65.872,51.300,,,
155,05/19/14 04:59:41 PM,64.888,48.287,,,
156,05/19/14 05:29:41 PM,63.304,50.670,,,
157,05/19/14 05:59:41 PM,61.462,54.380,,,
158,05/19/14 06:29:41 PM,60.217,57.378,,,
159,05/19/14 06:59:41 PM,59.401,60.578,,,
160,05/19/14 07:29:41 PM,58.109,65.506,,,
161,05/19/14 07:59:41 PM,56.858,69.264,,,
162,05/19/14 08:29:41 PM,55.602,71.446,,,
163,05/19/14 08:59:41 PM,55.168,72.816,,,
164,05/19/14 09:29:41 PM,54.516,74.124,,,
165,05/19/14 09:59:41 PM,52.729,76.927,,,
166,05/19/14 10:29:41 PM,50.797,79.795,,,
167,05/19/14 10:59:41 PM,49.516,82.095,,,
168,05/19/14 11:29:41 PM,49.471,83.455,,,
169,05/19/14 11:59:41 PM,49.383,83.843,,,
170,05/20/14 12:29:41 AM,48.405,85.069,,,
171,05/20/14 12:59:41 AM,47.289,86.185,,,
172,05/20/14 01:29:41 AM,46.481,87.409,,,
173,05/20/14 01:59:41 AM,46.076,88.857,,,
174,05/20/14 02:29:41 AM,45.986,89.695,,,
175,05/20/14 02:59:41 AM,47.602,89.766,,,
176,05/20/14 03:29:41 AM,50.223,85.837,,,
177,05/20/14 03:59:41 AM,50.797,83.598,,,
178,05/20/14 04:29:41 AM,49.825,85.388,,,
179,05/20/14 04:59:41 AM,49.204,85.940,,,
180,05/20/14 05:29:41 AM,48.137,87.894,,,
181,05/20/14 05:59:41 AM,48.628,89.209,,,
182,05/20/14 06:29:41 AM,50.709,85.344,,,
183,05/20/14 06:59:41 AM,51.148,85.561,,,
184,05/20/14 07:29:41 AM,53.209,81.477,,,
185,05/20/14 07:59:41 AM,55.602,76.707,,,
186,05/20/14 08:29:41 AM,57.549,74.011,,,
187,05/20/14 08:59:41 AM,58.885,72.513,,,
188,05/20/14 09:29:41 AM,60.904,65.721,,,
189,05/20/14 09:59:41 AM,63.561,58.179,,,
190,05/20/14 10:29:41 AM,66.344,55.452,,,
191,05/20/14 10:59:41 AM,68.313,50.797,,,
192,05/20/14 11:29:41 AM,69.300,48.478,,,
193,05/20/14 11:59:41 AM,70.115,46.441,,,
194,05/20/14 12:29:41 PM,70.974,42.843,,,
195,05/20/14 12:59:41 PM,71.060,43.107,,,
196,05/20/14 01:29:41 PM,71.661,45.844,,,
197,05/20/14 01:59:41 PM,71.361,44.478,,,
198,05/20/14 02:29:41 PM,71.103,44.717,,,
199,05/20/14 02:59:41 PM,70.887,44.093,,,
200,05/20/14 03:29:41 PM,70.072,44.393,,,
201,05/20/14 03:59:41 PM,70.201,43.084,,,
202,05/20/14 04:29:41 PM,69.300,43.861,,,
203,05/20/14 04:59:41 PM,68.999,44.258,,,
204,05/20/14 05:29:41 PM,68.356,45.525,,,
205,05/20/14 05:59:41 PM,67.114,47.375,,,
206,05/20/14 06:29:41 PM,65.444,50.519,,,
207,05/20/14 06:59:41 PM,63.005,59.551,,,
208,05/20/14 07:29:41 PM,60.390,63.106,,,
209,05/20/14 07:59:41 PM,58.109,68.065,,,
210,05/20/14 08:29:41 PM,56.556,71.463,,,
211,05/20/14 08:59:41 PM,55.472,74.062,,,
212,05/20/14 09:29:41 PM,54.300,77.027,,,
213,05/20/14 09:59:41 PM,53.298,79.416,,,
214,05/20/14 10:29:41 PM,52.554,81.396,,,
215,05/20/14 10:59:41 PM,51.984,82.837,,,
216,05/20/14 11:29:41 PM,51.282,84.515,,,
217,05/20/14 11:59:41 PM,50.841,85.733,,,
218,05/21/14 12:29:41 AM,50.311,87.088,,,
219,05/21/14 12:59:41 AM,49.782,88.117,,,
220,05/21/14 01:29:41 AM,49.028,89.109,,,
221,05/21/14 01:59:41 AM,48.493,89.605,,,
222,05/21/14 02:29:41 AM,48.227,90.343,,,
223,05/21/14 02:59:41 AM,47.959,91.333,,,
224,05/21/14 03:29:41 AM,47.602,91.589,,,
225,05/21/14 03:59:41 AM,47.154,91.577,,,
226,05/21/14 04:29:41 AM,46.796,92.341,,,
227,05/21/14 04:59:41 AM,46.571,92.537,,,
228,05/21/14 05:29:41 AM,46.166,92.859,,,
229,05/21/14 05:59:41 AM,46.391,93.448,,,
230,05/21/14 06:29:41 AM,47.557,93.517,,,
231,05/21/14 06:59:41 AM,49.561,93.326,,,
232,05/21/14 07:29:41 AM,52.335,91.953,,,
233,05/21/14 07:59:41 AM,55.949,83.230,,,
234,05/21/14 08:29:41 AM,58.109,79.361,,,
235,05/21/14 08:59:41 AM,61.032,72.403,,,
236,05/21/14 09:29:41 AM,64.288,67.758,,,
237,05/21/14 09:59:41 AM,67.114,64.008,,,
238,05/21/14 10:29:41 AM,68.484,59.427,,,
239,05/21/14 10:59:41 AM,70.630,54.284,,,
240,05/21/14 11:29:41 AM,72.351,51.950,,,
241,05/21/14 11:59:41 AM,74.554,49.205,,,
242,05/21/14 12:29:41 PM,76.114,47.720,,,
243,05/21/14 12:59:41 PM,76.768,48.214,,,
244,05/21/14 01:29:41 PM,76.419,47.613,,,
245,05/21/14 01:59:41 PM,77.335,43.606,,,
246,05/21/14 02:29:41 PM,76.114,43.690,,,
247,05/21/14 02:59:41 PM,76.114,42.585,,,
248,05/21/14 03:29:41 PM,75.463,44.296,,,
249,05/21/14 03:59:41 PM,73.990,46.772,,,
250,05/21/14 04:29:41 PM,72.136,49.410,,,
251,05/21/14 04:59:41 PM,71.317,50.078,,,
252,05/21/14 05:29:41 PM,70.115,54.057,,,
253,05/21/14 05:59:41 PM,67.028,59.087,,,
254,05/21/14 06:29:41 PM,63.775,64.019,,,
255,05/21/14 06:59:41 PM,61.891,67.722,,,
256,05/21/14 07:29:41 PM,59.788,72.525,,,
257,05/21/14 07:59:41 PM,57.549,75.981,,,
258,05/21/14 08:29:41 PM,55.647,79.176,,,
259,05/21/14 08:59:41 PM,54.212,81.248,,,
260,05/21/14 09:29:41 PM,52.903,83.438,,,
261,05/21/14 09:59:41 PM,51.852,84.749,,,
262,05/21/14 10:29:41 PM,50.929,85.426,,,
263,05/21/14 10:59:41 PM,50.092,86.374,,,
264,05/21/14 11:29:41 PM,49.249,87.418,,,
265,05/21/14 11:59:41 PM,48.628,88.013,,,
266,05/22/14 12:29:41 AM,47.959,88.832,,,
267,05/22/14 12:59:41 AM,47.602,89.740,,,
268,05/22/14 01:29:41 AM,47.467,90.133,,,
269,05/22/14 01:59:41 AM,47.244,90.770,,,
270,05/22/14 02:29:41 AM,46.974,90.784,,,
271,05/22/14 02:59:41 AM,46.346,91.564,,,
272,05/22/14 03:29:41 AM,46.436,92.137,,,
273,05/22/14 03:59:41 AM,47.064,93.066,,,
274,05/22/14 04:29:41 AM,47.199,93.060,,,
275,05/22/14 04:59:41 AM,47.602,94.156,,,
276,05/22/14 05:29:41 AM,48.049,95.406,,,
277,05/22/14 05:59:41 AM,48.672,95.046,,,
278,05/22/14 06:29:41 AM,49.737,94.900,,,
279,05/22/14 06:59:41 AM,50.621,94.802,,,
280,05/22/14 07:29:41 AM,53.253,92.548,,,
281,05/22/14 07:59:41 AM,55.690,88.126,,,
282,05/22/14 08:29:41 AM,57.376,84.926,,,
283,05/22/14 08:59:41 AM,58.798,80.742,,,
284,05/22/14 09:29:41 AM,60.861,76.979,,,
285,05/22/14 09:59:41 AM,63.903,71.762,,,
286,05/22/14 10:29:41 AM,66.772,66.532,,,
287,05/22/14 10:59:41 AM,68.013,64.541,,,
288,05/22/14 11:29:41 AM,69.685,62.294,,,
289,05/22/14 11:59:41 AM,71.704,59.862,,,
290,05/22/14 12:29:41 PM,73.602,56.296,,,
291,05/22/14 12:59:41 PM,74.467,55.714,,,
292,05/22/14 01:29:41 PM,75.463,54.607,,,
293,05/22/14 01:59:41 PM,75.029,54.635,,,
294,05/22/14 02:29:41 PM,75.637,55.622,,,
295,05/22/14 02:59:41 PM,75.247,54.340,,,
296,05/22/14 03:29:41 PM,74.683,56.074,,,
297,05/22/14 03:59:41 PM,71.661,58.387,,,
298,05/22/14 04:29:41 PM,71.490,57.234,,,
299,05/22/14 04:59:41 PM,71.274,56.846,,,
300,05/22/14 05:29:41 PM,71.060,59.347,,,
301,05/22/14 05:59:41 PM,70.372,59.684,,,
302,05/22/14 06:29:41 PM,69.427,63.986,,,
303,05/22/14 06:59:41 PM,68.056,64.306,,,
304,05/22/14 07:29:41 PM,65.615,67.833,,,
305,05/22/14 07:59:41 PM,63.005,73.504,,,
306,05/22/14 08:29:41 PM,60.604,76.921,,,
307,05/22/14 08:59:41 PM,58.582,79.584,,,
308,05/22/14 09:29:41 PM,56.901,82.017,,,
309,05/22/14 09:59:41 PM,55.386,83.996,,,
310,05/22/14 10:29:41 PM,53.908,85.737,,,
311,05/22/14 10:59:41 PM,52.554,87.203,,,
312,05/22/14 11:29:41 PM,51.370,88.333,,,
313,05/22/14 11:59:41 PM,50.135,89.105,,,
314,05/23/14 12:29:41 AM,49.204,89.807,,,
315,05/23/14 12:59:41 AM,48.450,90.013,,,
316,05/23/14 01:29:41 AM,47.871,90.524,,,
317,05/23/14 01:59:41 AM,48.182,92.541,,,
318,05/23/14 02:29:41 AM,48.137,93.323,,,
319,05/23/14 02:59:41 AM,47.959,93.779,,,
320,05/23/14 03:29:41 AM,48.272,93.824,,,
321,05/23/14 03:59:41 AM,48.094,93.595,,,
322,05/23/14 04:29:41 AM,48.315,94.033,,,
323,05/23/14 04:59:41 AM,48.583,93.768,,,
324,05/23/14 05:29:41 AM,48.938,94.074,,,
325,05/23/14 05:59:41 AM,49.825,94.203,,,
326,05/23/14 06:29:41 AM,50.621,94.269,,,
327,05/23/14 06:59:41 AM,51.413,93.389,,,
328,05/23/14 07:29:41 AM,52.903,92.318,,,
329,05/23/14 07:59:41 AM,54.909,89.866,,,
330,05/23/14 08:29:41 AM,57.592,85.708,,,
331,05/23/14 08:59:41 AM,61.376,78.133,,,
332,05/23/14 09:29:41 AM,64.546,70.033,,,
333,05/23/14 09:59:41 AM,67.798,65.653,,,
334,05/23/14 10:29:41 AM,69.685,62.233,,,
335,05/23/14 10:59:41 AM,71.834,59.108,,,
336,05/23/14 11:29:41 AM,72.955,56.800,,,
337,05/23/14 11:59:41 AM,75.160,52.416,,,
338,05/23/14 12:29:41 PM,76.246,52.783,,,
339,05/23/14 12:59:41 PM,79.216,49.701,,,
340,05/23/14 01:29:41 PM,79.128,52.403,,,
341,05/23/14 01:59:41 PM,78.910,51.115,,,
342,05/23/14 02:29:41 PM,78.645,47.479,,,
343,05/23/14 02:59:41 PM,79.128,46.189,,,
344,05/23/14 03:29:41 PM,79.392,49.009,,,
345,05/23/14 03:59:41 PM,77.072,53.257,,,
346,05/23/14 04:29:41 PM,75.724,55.847,,,
347,05/23/14 04:59:41 PM,75.074,60.126,,,
348,05/23/14 05:29:41 PM,73.904,62.467,,,
349,05/23/14 05:59:41 PM,72.783,65.565,,,
350,05/23/14 06:29:41 PM,71.146,68.802,,,
351,05/23/14 06:59:41 PM,69.256,68.228,,,
352,05/23/14 07:29:41 PM,66.985,71.190,,,
353,05/23/14 07:59:41 PM,65.615,69.824,,,
354,05/23/14 08:29:41 PM,64.418,70.891,,,
355,05/23/14 08:59:41 PM,63.475,70.966,,,
356,05/23/14 09:29:41 PM,63.518,70.130,,,
357,05/23/14 09:59:41 PM,63.090,70.780,,,
358,05/23/14 10:29:41 PM,63.090,68.135,,,
359,05/23/14 10:59:41 PM,61.547,71.166,,,
360,05/23/14 11:29:41 PM,60.561,72.409,,,
361,05/23/14 11:59:41 PM,59.486,73.659,,,
362,05/24/14 12:29:41 AM,58.971,73.489,,,
363,05/24/14 12:59:41 AM,58.282,75.362,,,
364,05/24/14 01:29:41 AM,58.066,74.351,,,
365,05/24/14 01:59:41 AM,57.247,75.273,,,
366,05/24/14 02:29:41 AM,56.728,76.111,,,
367,05/24/14 02:59:41 AM,57.074,75.590,,,
368,05/24/14 03:29:41 AM,56.728,76.837,,,
369,05/24/14 03:59:41 AM,56.815,75.785,,,
370,05/24/14 04:29:41 AM,55.602,78.426,,,
371,05/24/14 04:59:41 AM,54.387,81.351,,,
372,05/24/14 05:29:41 AM,54.734,81.230,,,
373,05/24/14 05:59:41 AM,55.515,82.823,,,
374,05/24/14 06:29:41 AM,58.152,78.618,,,
375,05/24/14 06:59:41 AM,60.089,73.441,,,
376,05/24/14 07:29:41 AM,62.233,71.267,,,
377,05/24/14 07:59:41 AM,64.117,66.919,,,
378,05/24/14 08:29:41 AM,65.959,66.068,,,
379,05/24/14 08:59:41 AM,68.013,62.261,,,
380,05/24/14 09:29:41 AM,70.158,60.731,,,
381,05/24/14 09:59:41 AM,73.126,54.920,,,
382,05/24/14 10:29:41 AM,75.942,53.327,,,
383,05/24/14 10:59:41 AM,77.815,49.184,,,
384,05/24/14 11:29:41 AM,79.347,46.203,,,
385,05/24/14 11:59:41 AM,82.308,41.989,,,
386,05/24/14 12:29:41 PM,82.798,40.963,,,
387,05/24/14 12:59:41 PM,84.094,41.901,,,
388,05/24/14 01:29:41 PM,82.486,42.855,,,
389,05/24/14 01:59:41 PM,82.175,44.930,,,
390,05/24/14 02:29:41 PM,82.308,44.775,,,
391,05/24/14 02:59:41 PM,82.753,42.115,,,
392,05/24/14 03:29:41 PM,82.931,40.376,,,
393,05/24/14 03:59:41 PM,82.620,37.600,,,
394,05/24/14 04:29:41 PM,81.421,40.452,,,
395,05/24/14 04:59:41 PM,80.492,45.794,,,
396,05/24/14 05:29:41 PM,78.514,49.906,,,
397,05/24/14 05:59:41 PM,75.853,53.949,,,
398,05/24/14 06:29:41 PM,73.213,59.442,,,
399,05/24/14 06:59:41 PM,70.887,63.582,,,
400,05/24/14 07:29:41 PM,68.785,62.302,,,
401,05/24/14 07:59:41 PM,66.472,62.180,,,
402,05/24/14 08:29:41 PM,64.674,60.664,,,
403,05/24/14 08:59:41 PM,62.748,61.210,,,
404,05/24/14 09:29:41 PM,61.419,62.134,,,
405,05/24/14 09:59:41 PM,61.720,58.654,,,
406,05/24/14 10:29:41 PM,61.205,57.069,,,
407,05/24/14 10:59:41 PM,59.873,58.854,,,
408,05/24/14 11:29:41 PM,58.455,61.028,,,
409,05/24/14 11:59:41 PM,57.463,63.214,,,
410,05/25/14 12:29:41 AM,57.204,63.572,,,
411,05/25/14 12:59:41 AM,57.376,63.765,,,
412,05/25/14 01:29:41 AM,58.195,62.487,,,
413,05/25/14 01:59:41 AM,58.842,59.483,,,
414,05/25/14 02:29:41 AM,58.885,58.617,,,
415,05/25/14 02:59:41 AM,58.842,59.901,,,
416,05/25/14 03:29:41 AM,58.626,59.194,,,
417,05/25/14 03:59:41 AM,58.498,59.422,,,
418,05/25/14 04:29:41 AM,57.290,61.959,,,
419,05/25/14 04:59:41 AM,56.944,63.254,,,
420,05/25/14 05:29:41 AM,57.376,63.559,,,
421,05/25/14 05:59:41 AM,54.995,69.985,,,
422,05/25/14 06:29:41 AM,55.949,72.562,,,
423,05/25/14 06:59:41 AM,59.529,64.647,,,
424,05/25/14 07:29:41 AM,63.689,51.258,,,
425,05/25/14 07:59:41 AM,65.701,50.664,,,
426,05/25/14 08:29:41 AM,67.928,48.317,,,
427,05/25/14 08:59:41 AM,70.630,44.237,,,
428,05/25/14 09:29:41 AM,73.818,45.155,,,
429,05/25/14 09:59:41 AM,78.471,35.073,,,
430,05/25/14 10:29:41 AM,81.244,32.528,,,
431,05/25/14 10:59:41 AM,83.959,32.864,,,
432,05/25/14 11:29:41 AM,85.667,29.401,,,
433,05/25/14 11:59:41 AM,88.075,27.163,,,
434,05/25/14 12:29:41 PM,88.534,27.043,,,
435,05/25/14 12:59:41 PM,88.993,27.651,,,
436,05/25/14 01:29:41 PM,88.993,24.489,,,
437,05/25/14 01:59:41 PM,90.194,26.904,,,
438,05/25/14 02:29:41 PM,90.239,24.781,,,
439,05/25/14 02:59:41 PM,89.269,25.685,,,
440,05/25/14 03:29:41 PM,88.259,25.227,,,
441,05/25/14 03:59:41 PM,86.936,26.147,,,
442,05/25/14 04:29:41 PM,85.127,26.695,,,
443,05/25/14 04:59:41 PM,83.646,27.597,,,
444,05/25/14 05:29:41 PM,81.421,29.245,,,
445,05/25/14 05:59:41 PM,78.910,30.997,,,
446,05/25/14 06:29:41 PM,76.158,33.484,,,
447,05/25/14 06:59:41 PM,74.640,33.474,,,
448,05/25/14 07:29:41 PM,72.610,35.923,,,
449,05/25/14 07:59:41 PM,69.557,38.997,,,
450,05/25/14 08:29:41 PM,68.313,40.157,,,
451,05/25/14 08:59:41 PM,67.028,41.403,,,
452,05/25/14 09:29:41 PM,63.990,47.281,,,
453,05/25/14 09:59:41 PM,62.834,49.078,,,
454,05/25/14 10:29:41 PM,60.517,53.140,,,
455,05/25/14 10:59:41 PM,59.572,56.294,,,
456,05/25/14 11:29:41 PM,60.517,54.579,,,
457,05/25/14 11:59:41 PM,59.659,56.937,,,
458,05/26/14 12:29:41 AM,58.971,58.835,,,
459,05/26/14 12:59:41 AM,57.549,61.302,,,
460,05/26/14 01:29:41 AM,57.936,61.219,,,
461,05/26/14 01:59:41 AM,57.592,61.335,,,
462,05/26/14 02:29:41 AM,57.290,62.786,,,
463,05/26/14 02:59:41 AM,55.429,66.492,,,
464,05/26/14 03:29:41 AM,54.473,67.810,,,
465,05/26/14 03:59:41 AM,53.645,70.441,,,
466,05/26/14 04:29:41 AM,52.817,72.333,,,
467,05/26/14 04:59:41 AM,53.121,73.407,,,
468,05/26/14 05:29:41 AM,55.256,70.298,,,
469,05/26/14 05:59:41 AM,56.728,68.473,,,
470,05/26/14 06:29:41 AM,55.125,71.082,,,
471,05/26/14 06:59:41 AM,56.815,72.231,,,
472,05/26/14 07:29:41 AM,62.191,62.800,,,
473,05/26/14 07:59:41 AM,65.145,58.073,,,
474,05/26/14 08:29:41 AM,68.828,53.799,,,
475,05/26/14 08:59:41 AM,71.964,48.986,,,
476,05/26/14 09:29:41 AM,74.511,46.711,,,
477,05/26/14 09:59:41 AM,77.421,45.395,,,
478,05/26/14 10:29:41 AM,78.910,40.499,,,
479,05/26/14 10:59:41 AM,80.890,38.468,,,
480,05/26/14 11:29:41 AM,82.841,36.577,,,
481,05/26/14 11:59:41 AM,84.677,31.745,,,
482,05/26/14 12:29:41 PM,86.437,26.887,,,
483,05/26/14 12:59:41 PM,87.028,22.740,,,
484,05/26/14 01:29:41 PM,87.346,21.631,,,
485,05/26/14 01:59:41 PM,87.894,18.902,,,
486,05/26/14 02:29:41 PM,87.573,15.343,,,
487,05/26/14 02:59:41 PM,86.617,18.792,,,
488,05/26/14 03:29:41 PM,85.894,22.035,,,
