plot,quad,date,device,,notes
PPW1315,C4,20190514,1799,10.3,
PPW1315,D4,20190514,1799,10.2,
PPW1315,D3,20190514,1799,5.7,
PPW1315,D2,20190514,1799,5.4,
PPW1315,D1,20190514,1799,7.2,
PPW1321,A1,20190514,1799,5.8,
PPW1321,A2,20190514,1799,3.1,
PPW1321,A3,20190514,1799,6.8,
PPW1321,A4,20190514,1799,9.8,
PPW1321,B4,20190514,1799,3.5,
PPW1321,B3,20190514,1799,9.2,
PPW1321,B2,20190514,1799,6.9,
PPW1321,B1,20190514,1799,5.2,
PPW1321,C1,20190514,1799,3,
PPW1321,C2,20190514,1799,5.1,
PPW1321,C3,20190514,1799,6.2,
PPW1321,C4,20190514,1799,2.5,
PPW1321,D4,20190514,1799,3.6,
PPW1321,D3,20190514,1799,7.9,
PPW1321,D2,20190514,1799,3.6,
PPW1321,D1,20190514,1799,7.2,
PPW1322,A1,20190514,1799,8.1,
PPW1322,A2,20190514,1799,5.9,
PPW1322,A3,20190514,1799,8.8,
PPW1322,A4,20190514,1799,9.7,
PPW1322,B4,20190514,1799,5.6,
PPW1322,B3,20190514,1799,16.6,
PPW1322,B2,20190514,1799,7.3,
PPW1322,B1,20190514,1799,6.6,
PPW1322,C1,20190514,1799,4.6,
PPW1322,C2,20190514,1799,19.2,
PPW1322,C3,20190514,1799,9.5,
PPW1322,C4,20190514,1799,6.9,
PPW1322,D4,20190514,1799,14.9,
PPW1322,D3,20190514,1799,6.7,
PPW1322,D2,20190514,1799,12.8,
PPW1322,D1,20190514,1799,30.2,
PPW1324,A1,20190514,1799,5.3,
PPW1324,A2,20190514,1799,3.4,
PPW1324,A3,20190514,1799,4.9,
PPW1324,A4,20190514,1799,5.3,
PPW1324,B4,20190514,1799,6.9,
PPW1324,B3,20190514,1799,7.6,
PPW1324,B2,20190514,1799,7.2,
PPW1324,B1,20190514,1799,7.9,
PPW1324,C1,20190514,1799,8.6,
PPW1324,C2,20190514,1799,8.4,
PPW1324,C3,20190514,1799,6.9,
PPW1324,C4,20190514,1799,7.2,
PPW1324,D4,20190514,1799,8.4,
PPW1324,D3,20190514,1799,7.9,
PPW1324,D2,20190514,1799,9.1,
PPW1324,D1,20190514,1799,11.5,
PPW1325,A1,20190514,1799,7.2,
PPW1325,A2,20190514,1799,9.5,
PPW1325,A3,20190514,1799,6.9,
PPW1325,A4,20190514,1799,6.2,
PPW1325,B4,20190514,1799,2.6,
PPW1325,B3,20190514,1799,7.6,
PPW1325,B2,20190514,1799,4.5,
PPW1325,B1,20190514,1799,6.6,
PPW1325,C1,20190514,1799,6.1,
PPW1325,C2,20190514,1799,7,
PPW1325,C3,20190514,1799,6.3,
PPW1325,C4,20190514,1799,7.3,
PPW1325,D4,20190514,1799,7.7,
PPW1325,D3,20190514,1799,6.9,
PPW1325,D2,20190514,1799,4.8,
PPW1325,D1,20190514,1799,5.4,
PPW1332,A1,20190514,1799,10.2,
PPW1332,A2,20190514,1799,9.8,
PPW1332,A3,20190514,1799,10.2,
PPW1332,A4,20190514,1799,9.8,
PPW1332,B4,20190514,1799,10.2,
PPW1332,B3,20190514,1799,8.4,
PPW1332,B2,20190514,1799,7.1,
PPW1332,B1,20190514,1799,13.7,
PPW1332,C1,20190514,1799,9.2,
PPW1332,C2,20190514,1799,9.2,
PPW1332,C3,20190514,1799,6.6,
PPW1332,C4,20190514,1799,6.1,
PPW1332,D4,20190514,1799,11.2,
PPW1332,D3,20190514,1799,8.9,
PPW1332,D2,20190514,1799,9,
PPW1332,D1,20190514,1799,9.8,
PPW1335,A1,20190514,1799,4.9,
PPW1335,A2,20190514,1799,4.3,
PPW1335,A3,20190514,1799,7,
PPW1335,A4,20190514,1799,9.2,
PPW1335,B4,20190514,1799,7.9,
PPW1335,B3,20190514,1799,8.1,
PPW1335,B2,20190514,1799,5.7,
PPW1335,B1,20190514,1799,7.7,
PPW1335,C1,20190514,1799,6.1,
PPW1335,C2,20190514,1799,7.2,
PPW1335,C3,20190514,1799,6.2,
PPW1335,C4,20190514,1799,5.4,
PPW1335,D4,20190514,1799,7.5,
PPW1335,D3,20190514,1799,5.4,
PPW1335,D2,20190514,1799,5.5,
PPW1335,D1,20190514,1799,9,
PPW1338,A1,20190514,1799,17.8,
PPW1338,A2,20190514,1799,14.8,
PPW1338,A3,20190514,1799,11,
PPW1338,A4,20190514,1799,9.1,
PPW1338,B4,20190514,1799,11.5,
PPW1338,B3,20190514,1799,8.4,
PPW1338,B2,20190514,1799,18.1,
PPW1338,B1,20190514,1799,19.8,
PPW1338,C1,20190514,1799,18.6,
PPW1338,C2,20190514,1799,19.1,
PPW1338,C3,20190514,1799,18.1,
PPW1338,C4,20190514,1799,13.5,
PPW1338,D4,20190514,1799,8.7,
PPW1338,D3,20190514,1799,5,
PPW1338,D2,20190514,1799,14.4,
PPW1338,D1,20190514,1799,15.1,
PPW1339,A1,20190514,1799,8,
PPW1339,A2,20190514,1799,6.8,
PPW1339,A3,20190514,1799,6.1,
PPW1339,A4,20190514,1799,10.7,
PPW1339,B4,20190514,1799,5.4,
PPW1339,B3,20190514,1799,6,
PPW1339,B2,20190514,1799,5.9,
PPW1339,B1,20190514,1799,5.2,
PPW1339,C1,20190514,1799,5.1,
PPW1339,C2,20190514,1799,5.4,
PPW1339,C3,20190514,1799,8,
PPW1339,C4,20190514,1799,3.9,
PPW1339,D4,20190514,1799,5.9,
PPW1339,D3,20190514,1799,7.7,
PPW1339,D2,20190514,1799,5.2,
PPW1339,D1,20190514,1799,4.5,
PPW1340,A1,20190514,1799,11.8,
PPW1340,A2,20190514,1799,11.6,
PPW1340,A3,20190514,1799,7.6,
PPW1340,A4,20190514,1799,13.9,
PPW1340,B4,20190514,1799,8.8,
PPW1340,B3,20190514,1799,9.7,
PPW1340,B2,20190514,1799,8.3,
PPW1340,B1,20190514,1799,11.9,
PPW1340,C1,20190514,1799,11.6,
PPW1340,C2,20190514,1799,7.7,
PPW1340,C3,20190514,1799,11.8,
PPW1340,C4,20190514,1799,5.5,
PPW1340,D4,20190514,1799,7.9,
PPW1340,D3,20190514,1799,9,
PPW1340,D2,20190514,1799,9.4,
PPW1340,D1,20190514,1799,9.6,
PPW1344,A1,20190514,1799,7.2,
PPW1344,A2,20190514,1799,11.3,
PPW1344,A3,20190514,1799,9.3,
PPW1344,A4,20190514,1799,11.3,
PPW1344,B4,20190514,1799,9.3,
PPW1344,B3,20190514,1799,6.3,
PPW1344,B2,20190514,1799,6.7,
PPW1344,B1,20190514,1799,7.7,
PPW1344,C1,20190514,1799,6.1,
PPW1344,C2,20190514,1799,4.9,
PPW1344,C3,20190514,1799,7.8,
PPW1344,C4,20190514,1799,7.5,
PPW1344,D4,20190514,1799,6.8,
PPW1344,D3,20190514,1799,5,
PPW1344,D2,20190514,1799,9.7,
PPW1344,D1,20190514,1799,7.2,
PPW1349,A1,20190514,1799,11.9,
PPW1349,A2,20190514,1799,16.1,
PPW1349,A3,20190514,1799,8.9,
PPW1349,A4,20190514,1799,10.6,
PPW1349,B4,20190514,1799,12.4,
PPW1349,B3,20190514,1799,5.9,
PPW1349,B2,20190514,1799,10.2,
PPW1349,B1,20190514,1799,13.9,
PPW1349,C1,20190514,1799,5.6,
PPW1349,C2,20190514,1799,11.9,
PPW1349,C3,20190514,1799,7.9,
PPW1349,C4,20190514,1799,8.3,
PPW1349,D4,20190514,1799,8.7,
PPW1349,D3,20190514,1799,9.8,
PPW1349,D2,20190514,1799,13,
PPW1349,D1,20190514,1799,11.4,
PWD1853,A1,20190514,1799,8.8,north of 6238
PWD1853,A2,20190514,1799,7.7,
PWD1853,A3,20190514,1799,4.7,
PWD1853,A4,20190514,1799,8.3,
PWD1853,B4,20190514,1799,5.5,east of umbcal
PWD1853,B3,20190514,1799,6.9,
PWD1853,B2,20190514,1799,6.8,
PWD1853,B1,20190514,1799,8.6,
PWD1853,C1,20190514,1799,9.9,
PWD1853,C2,20190514,1799,5,
PWD1853,C3,20190514,1799,9.5,
PWD1853,C4,20190514,1799,8.3,
PWD1853,D4,20190514,1799,5.2,
PWD1853,D3,20190514,1799,13.4,
PWD1853,D2,20190514,1799,7.7,
PWD1853,D1,20190514,1799,4.6,
