Plot ID,PPW1341,,Sampler(s),"MFO, MNB, MMJ",,,,,Date ,20130306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,,PSEMEN,0,S,,16,,,200,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,SA,1970,NOTDEN,1,,121,1.07,3,,225,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,1972.1,QUEAGR,1,,,,,2.08,-106,-163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,,PSEMEN,0,S,,1.2,,,181,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,SA,1971,PSEMEN,1,,108,0.69,1,,190,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,,PSEMEN,0,S,,3.59,,,-22,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,,PSEMEN,0,S,,1.59,,,-30,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,,PSEMEN,0,S,,5.81,,,-12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,2.76,,,132,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,2,,,104,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,7.9,,,46,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,9.9,,,94,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,1.85,,,-192,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,3.2,,,-279,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

C1,TR,,PSEMEN,0,S,,1.1,,,-211,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,5.87,,,-120,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,2.89,,,-81,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,2.82,,,-55,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,1.03,,,-200,-215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,5.96,,,-115,-185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,1.08,,,-51,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,1.09,,,-109,-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,4.82,,,-229,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,2.69,,,-199,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,2.33,,,-173,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,1.58,,,-174,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,1.04,,,-249,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,5.86,,,42,-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,,PSEMEN,0,S,,13.5,,,54,-277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,,PSEMEN,0,S,,3.19,,,110,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,,PSEMEN,0,S,,0.84,,,41,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,,PSEMEN,0,S,,4.72,,,134,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,SA,1973,PSEMEN,1,,71,0.51,1,,131,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,,PSEMEN,0,S,,3.94,,,-233,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,,PSEMEN,0,S,,2.08,,,-203,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,,PSEMEN,0,S,,2.54,,,-216,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,,PSEMEN,0,S,,0.71,,,-66,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,SA,1976,UMBCAL,1,,74,1.28,2,,-132,-272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,1974,UMBCAL,1,,,,,1.17,194,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,4.58,,,22,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,3.05,,,77,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

C3,TR,,PSEMEN,0,S,,3.41,,,57,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,0.89,,,19,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,1968,QUEAGR,1,,,,,34.1,17,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,1968.1,QUEAGR,1,,,,,20.3,17,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,2.13,,,51,-185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,SA,1982,QUEAGR,1,,59,0.85,1,,59,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,SA,1981,QUEAGR,1,,60,0.6,1,,141,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,2.52,,,-229,-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,1.01,,,-186,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,SA,1980,UMBCAL,1,,52,0.66,1,,-121,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,2.35,,,-27,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,SA,1977,TORCAL,1,,61,0.6,3,,-66,-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,3.16,,,-41,-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,1978,QUEAGR,1,,,,,27.3,-27,-203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,1979,QUEAGR,1,,,,,20.9,-146,-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,2.81,,,-184,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,2.27,,,-118,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,4.47,,,-169,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,2.64,,,-157,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,2.8,,,-21,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,2.8,,,-110,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,,PSEMEN,0,S,,3.19,,,-120,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,SA,,PSEMEN,1,D,125,0.67,1,,-31,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,2.33,,,-77,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,SA,1985,PSEMEN,1,,83,0.55,1,,-84,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,1.44,,,-80,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,0.97,,,-66,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

C4,TR,1983,QUEAGR,1,,,,,22.5,86,41,2 DEAD BRANCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,SA,1995,PSEMEN,1,,101,0.84,1,,-149,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,SA,1984,PSEMEN,1,,55,0.66,1,,-175,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,2.96,,,-252,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,1986,PSEMEN,1,,,,,48.5,133,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,1.94,,,42,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,2.08,,,134,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,3.13,,,-72,-190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,0.44,,,-191,-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,0.8,,,-201,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,0.61,,,-265,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,1.24,,,-270,-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,5.74,,,-32,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,0.83,,,-134,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,0.93,,,-144,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,2.91,,,-180,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,SA,1987,PSEMEN,1,,51,0.62,1,,211,-23,UNKNOWN BRANCH #--> INPUT 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,0.84,,,162,-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,PSEMEN,0,S,,1.15,,,142,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,1988,QUEAGR,1,,,,,20.75,-96,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,,PSEMEN,0,S,,0.63,,,47,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,,PSEMEN,0,S,,5.69,,,131,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,,PSEMEN,0,S,,3.48,,,216,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,,PSEMEN,0,S,,2.93,,,69,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,,PSEMEN,0,S,,1.83,,,100,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,,PSEMEN,0,S,,4.1,,,161,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,,PSEMEN,0,S,,6.45,,,-202,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,,PSEMEN,0,S,,11.6,,,-8,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,1.53,,,-40,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,3.76,,,-132,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,10.5,,,-103,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,3,,,-59,-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,6.1,,,-9,-206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,3.59,,,-156,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,3.33,,,-172,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,4.12,,,-144,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,2.72,,,-137,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,1.84,,,-153,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,6.4,,,-207,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,2.96,,,134,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,2.24,,,53,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,3.65,,,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,QUEAGR,0,S,,21,,,125,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,3.97,,,19,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,3.65,,,32,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,2.47,,,91,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,2.86,,,152,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,2.31,,,87,-193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,7.17,,,181,-153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,3.33,,,202,-192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,6.9,,,48,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,2.6,,,80,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,,PSEMEN,0,S,,1.66,,,116,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

C2,TR,1975,UMBCAL,1,,,,,6,-5,-136,MISSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,SA,1989,UMBCAL,1,,144,2.14,2,,69,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.98,,,47,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,D,80,0.61,,,184,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,SA,1990,PSEMEN,1,,51,0.59,1,,223,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,SA,1991,PSEMEN,1,,73,0.59,1,,227,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,1.06,,,-35,-155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.96,,,-65,-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,1.67,,,-25,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.65,,,-37,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,1.65,,,-57,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.96,,,-58,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.89,,,-67,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.85,,,-108,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.68,,,-115,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,1.11,,,-63,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,1.03,,,-118,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.67,,,-71,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,1.52,,,-69,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.91,,,-150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.91,,,206,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,1.03,,,217,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,1.09,,,155,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,0.82,,,145,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,PSEMEN,0,S,,5.92,,,98,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,1.37,,,25,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
