Plot,DEM,March.Rad,MaxJulT,MinJanT,TOPOID,TPI500,TPI100,PLP500,PLP100,AET,CWD,PET,UTM.E,UTM.N
PPW1323,133.8955994,689.0999756,30.26000023,3.319999933,9.620690346,-42.07236862,-8.415481567,6.144040585,13.880126,325.1033333,1043.1432,1368.246543,523282,4272416
PPW1324,244.5366974,577.7000122,30.53000069,3.859999895,4.263281822,29.33415031,9.393981934,80.59910583,68.13880157,266.8466667,922.0732,1188.91989,523801,4272002
PPW1325,363.8265991,521.9000244,30.92000008,4.389999866,5.139402866,19.41525078,4.056671143,62.84257507,65.61514282,294.0266667,776.0667,1070.093217,526466,4270806
PPW1326,339.8994141,489.1000061,30.84000015,4.369999886,4.339735031,20.5053997,8.888519287,71.47227478,85.17350006,275.9833333,727.15,1003.13326,525165,4271385
PPW1327,223.7406006,747.5,29.70000076,4.21999979,4.632184982,-13.24864006,-6.264725208,26.16263962,26.81388092,127.8233333,1313.7666,1441.589867,522912,4268880
PPW1328,230.4420013,749.7999878,29.87000084,4.119999886,5.556529045,-54.35451126,-3.883728027,7.431485176,36.27760315,359.7333267,1075.4465,1435.179883,524420,4269661
PPW1329,271.4057007,529.2999878,30.63999939,4.010000229,4.881518841,30.2511692,6.187469006,89.5092392,79.81072235,238.7366667,867.3632,1106.09986,524086,4271800
PPW1330,233.1620026,474.2999878,30.40999985,3.880000114,4.751811981,14.51198006,6.005371094,68.50222778,58.04416275,203.2166667,785.4232,988.6399333,523769,4271472
PPW1331,252.346405,624.4000244,30.45000076,3.930000067,3.902101994,52.15317917,13.06620979,94.91395569,84.54258728,309.4633333,962.46,1271.92321,523503,4271813
PPW1332,292.6319885,548.0999756,30.79999924,4.110000134,8.008637428,-22.46990967,-10.06521988,30.41427612,36.59305954,307.5766667,802.5833,1110.15989,524968,4271278
PPW1333,332.2338867,773.2999878,30.82999992,4.340000153,4.255525112,7.221558094,6.135773182,49.20331573,53.94321823,449.90998,1037.9799,1487.88989,525153,4271310
PPW1334,309.1820984,455.2000122,30.76000023,4.21999979,6.486948967,-0.650878906,-1.832335949,59.43913269,49.52681351,259.6866667,653.9567,913.64328,524885,4271274
PPW1335,358.3387146,494.2000122,30.71999931,4.510000229,5.630731106,13.46236992,0.972839415,70.09560394,52.36593246,278,738.8532,1016.85325,525087,4271051
PPW1336,363.6174011,712.0999756,30.73999977,4.480000019,4.807555199,-4.945189953,2.305785894,36.59655762,54.88959122,421.3766533,988.5532,1409.92987,525463,4271059
PPW1337,335.2080078,663.2000122,31.04999924,4.210000038,8.251137733,-4.730316162,-5.155333996,43.32696152,36.90851593,379.64333,892.2599,1271.903213,526102,4271193
PPW1338,293.4161987,694.5999756,30.22999954,4.309999943,6.10285902,-29.38903999,-1.390228033,22.03951645,52.99684525,341.5766633,1043.5865,1385.163213,524949,4269709
PPW1339,302.4407959,698.7999878,30.29000092,4.329999924,6.612092972,-23.43115044,-3.600281,26.18228149,48.58044052,348.58333,1043.6566,1392.239867,524901,4269863
PPW1340,364.690094,741.5999756,30.86000061,4.429999828,6.658023834,-12.49431992,-9.842437744,38.06246185,20.82018852,431.8833267,1011.6633,1443.546553,527205,4269284
PPW1341,406.7417908,708.0999756,30.75,4.659999847,5.658719063,15.66112995,-1.629852057,68.29827881,55.520504,422.7266567,992.5399,1415.266553,527127,4269502
PPW1342,461.5219116,576.5,30.54000092,5,3.985521078,79.94100952,14.02985001,99.85978699,96.52996826,330.8566667,829.8066,1160.663213,527278,4269582
PPW1343,142.9203033,453.6000061,30.40999985,3.339999914,5.301309109,9.336715698,4.777617931,68.37476349,52.99684525,170.64,757.4099,928.04993,522956,4273410
PPW1344,140.3065033,746.2000122,30.29000092,3.349999905,4.840939999,-9.904876709,1.882689953,23.77310371,50.1577301,369.0233267,1090.2065,1459.22989,522872,4272878
PPW1345,158.8708954,534.0999756,30.29999924,3.440000057,4.901257992,-29.39476013,1.266646981,21.13448143,52.99684525,235.98,807.5167,1043.49656,523405,4272225
PPW1346,263.3978882,448.6000061,30.45999908,4.070000172,5.719041824,-36.32522964,-7.514313221,29.13957977,44.79495239,200.5033333,757.8333,958.3365967,524575,4270822
PPW1347,202.4452972,435.2999878,29.61000061,4.150000095,5.350636005,-27.96349907,-9.796676636,28.9483757,50.1577301,175.92,702.5466,878.4665867,523087,4268719
