Plot,SW.UTM.E,SW.UTM.N,NW.UTM.E,NW.UTM.N,NE.UTM.E,NE.UTM.N,SE.UTM.E,SE.UTM.N,UTM.E.old,UTM.N.old,Slope,Aspect,Super.Plot
PPW1344,522867,4272880,522871.6912,4272898.52,522890.2546,4272893.823,522885.5692,4272875.306,522872,4272878,24,210,1
PPW1345,523405,4272225,523409.9099,4272244.385,523427.6206,4272239.904,523422.7163,4272220.522,523405,4272225,24,78,0
PPW1346,524575,4270822,524579.5903,4270840.121,524598.5559,4270835.322,524593.9715,4270817.204,524575,4270822,24,316,0
PPW1347,523087,4268719,523091.5003,4268736.765,523110.6851,4268731.91,523106.1908,4268714.149,523087,4268719,25,5,0
PPW1348,523389,4269026,523393.5303,4269043.883,523412.738,4269039.023,523408.2137,4269021.143,523389,4269026,24,327,0
PPW1349,526500,4270444,526504.8973,4270463.334,526523.9786,4270458.506,526519.0873,4270439.175,526499,4270456,11,53,1
PPW1350,523424,4269090,523428.506,4269107.787,523447.4408,4269102.996,523442.9407,4269085.212,523424,4269090,26.5,318,0
PPW1851,527198,4269561,527202.2531,4269577.791,527218.4086,4269573.703,527214.1605,4269556.915,527198,4269561,45,214,0
PPW1852,527365,4269686,527369.6892,4269704.512,527388.5293,4269699.744,527383.846,4269681.236,527365,4269686,22,24,1
PPW1853,527387,4269624,527391.9067,4269643.374,527408.7074,4269639.122,527403.8061,4269619.753,527387,4269624,30,80,0
PPW1854,527310,4269508,527314.3207,4269525.056,527332.4804,4269520.461,527328.1653,4269503.408,527310,4269508,35,130,0
PPW1501,526222,4270309,526222,4270409,526322,4270409,526322,4270309,NA,NA,NA,NA,NA
PPW1507,525848,4270623,525848,4270723,525948,4270723,525948,4270623,NA,NA,NA,NA,NA
PPW1509,522792,4273299,522792,4273399,522892,4273399,522892,4273299,NA,NA,NA,NA,NA
PPW1510,522743,4273504,522743,4273604,522843,4273604,522843,4273504,NA,NA,NA,NA,NA
PPW1512,522466,4272800,522466,4272900,522566,4272900,522566,4272800,NA,NA,NA,NA,NA
PPW1515,524692,4271523,524692,4271623,524792,4271623,524792,4271523,NA,NA,NA,NA,NA
PPW1521,524698,4269550,524698,4269650,524798,4269650,524798,4269550,NA,NA,NA,NA,NA
PPW1522,525046,4269511,525046,4269611,525146,4269611,525146,4269511,NA,NA,NA,NA,NA
PPW1524,523761,4271959,523761,4272059,523861,4272059,523861,4271959,NA,NA,NA,NA,NA
PPW1525,526425,4270766,526425,4270866,526525,4270866,526525,4270766,NA,NA,NA,NA,NA
PPW1532,524922,4271237,524922,4271337,525022,4271337,525022,4271237,NA,NA,NA,NA,NA
PPW1535,525055,4271006,525055,4271106,525155,4271106,525155,4271006,NA,NA,NA,NA,NA
PPW1538,524907,4269662,524907,4269762,525007,4269762,525007,4269662,NA,NA,NA,NA,NA
PPW1539,524863,4269824,524863,4269924,524963,4269924,524963,4269824,NA,NA,NA,NA,NA
PPW1540,527164,4269248,527164,4269348,527264,4269348,527264,4269248,NA,NA,NA,NA,NA
PPW1544,522827,4272840,522827,4272940,522927,4272940,522927,4272840,NA,NA,NA,NA,NA
PPW1549,526460,4270404,526460,4270504,526560,4270504,526560,4270404,NA,NA,NA,NA,NA
PPW2152,527325,4269646,527325,4269746,527425,4269746,527425,4269646,NA,NA,NA,NA,NA
