,Plot,Quad,Type,Tree Tag No.,Species,DBH
PPW1308.13,PPW1308,C2,TR,1255,QUEDEC,21.95
PPW1308.14,PPW1308,D4,TR,1256,QUEDEC,28.1
PPW1308.15,PPW1308,D2,TR,1257,QUEDEC,21.3
PPW1310.11,PPW1310,B2,TR,1228,ARCMAN,13.05
PPW1310.12,PPW1310,B2,TR,1228.1,ARCMAN,8.15
PPW1310.13,PPW1310,B2,TR,1228.2,ARCMAN,10.5
PPW1310.14,PPW1310,B2,TR,1228.3,ARCMAN,7.7
PPW1310.4,PPW1310,A1,TR,1222.1,QUEDEC,17.15
PPW1310.5,PPW1310,A4,TR,1223,QUEDEC,19.05
PPW1310.6,PPW1310,A4,TR,1224,QUEDEC,17.8
PPW1310.8,PPW1310,B4,TR,1225,QUEDEC,35.25
PPW1310.9,PPW1310,B2,TR,1226,QUEDEC,11.85
PPW1310.16,PPW1310,B1,TR,1230,QUEDEC,31.95
PPW1310.18,PPW1310,C1,TR,1232,QUEDEC,23.9
PPW1310.20,PPW1310,C1,TR,1232.1,QUEDEC,21
PPW1310.21,PPW1310,C2,TR,1233,QUEDEC,23.3
PPW1310.24,PPW1310,C4,TR,1236,QUEDEC,25.1
PPW1310.26,PPW1310,D3,TR,1237,QUEDEC,8.3
PPW1310.27,PPW1310,D3,TR,1238,QUEDEC,8.6
PPW1310.28,PPW1310,D2,TR,1239,QUEDEC,14
PPW1310.29,PPW1310,D2,TR,1240,QUEDEC,18.9
PPW1310.31,PPW1310,D1,TR,1242,QUEDEC,10.5
PPW1310.32,PPW1310,D1,TR,1243,QUEDEC,6.9
PPW1311.4,PPW1311,A3,TR,1258,ARCMAN,12.9
PPW1311.5,PPW1311,A3,TR,1258.1,ARCMAN,10.9
PPW1311.6,PPW1311,A3,TR,1258.2,ARCMAN,7.05
PPW1311.7,PPW1311,A3,TR,1258.3,ARCMAN,10
PPW1311.8,PPW1311,A3,TR,1258.4,ARCMAN,14
PPW1311.9,PPW1311,A3,TR,1258.5,ARCMAN,11.1
PPW1311.10,PPW1311,A3,TR,1258.6,ARCMAN,8.9
PPW1311.11,PPW1311,A3,TR,1258.7,ARCMAN,10
PPW1311.15,PPW1311,A4,TR,1260,ARCMAN,8.8
PPW1311.16,PPW1311,A4,TR,1260.1,ARCMAN,6.15
PPW1311.38,PPW1311,C4,TR,1269,ARCMAN,18.4
PPW1311.39,PPW1311,C4,TR,1269.1,ARCMAN,15.3
PPW1311.40,PPW1311,C4,TR,1269.2,ARCMAN,11.3
PPW1311.18,PPW1311,B1,TR,1262,HETARB,12.8
PPW1311.20,PPW1311,B1,TR,1262.1,HETARB,9.3
PPW1311.21,PPW1311,B1,TR,1262.2,HETARB,5.8
PPW1311.19,PPW1311,B1,TR,1263,QUEDEC,22.5
PPW1311.28,PPW1311,C1,TR,1264,QUEDEC,30.9
PPW1311.29,PPW1311,C1,TR,1264.1,QUEDEC,24.4
PPW1311.30,PPW1311,C2,TR,1265,QUEDEC,26.8
PPW1311.31,PPW1311,C2,TR,1265.1,QUEDEC,18.8
PPW1311.32,PPW1311,C2,TR,1266,QUEDEC,25.6
PPW1311.33,PPW1311,C2,TR,1266.1,QUEDEC,16.5
PPW1311.34,PPW1311,C2,TR,1267,QUEDEC,26
PPW1311.35,PPW1311,C4,TR,1268,QUEDEC,36.3
PPW1311.36,PPW1311,C4,TR,1268.1,QUEDEC,28.2
