,Plot,Quad,Type,Tree Tag No.,Species,DBH
PPW1345.195,PPW1345,B2,TR,2298.2,HETARB,3.4
PPW1345.196,PPW1345,B2,TR,2298.3,HETARB,2.71
PPW1345.197,PPW1345,B2,TR,2299,HETARB,2.91
PPW1345.198,PPW1345,B2,TR,2299.1,HETARB,1.15
PPW1345.199,PPW1345,B2,TR,2300,HETARB,2.09
PPW1345.200,PPW1345,B2,TR,2300.1,HETARB,1.64
PPW1345.201,PPW1345,B2,TR,2300.2,HETARB,1.46
PPW1345.203,PPW1345,B2,TR,1908,HETARB,3.45
PPW1345.204,PPW1345,B2,TR,1908.1,HETARB,2.47
PPW1345.205,PPW1345,B2,TR,1908.2,HETARB,2.3
PPW1345.206,PPW1345,B2,TR,1908.3,HETARB,2.51
PPW1345.207,PPW1345,B2,TR,1908.4,HETARB,1.79
PPW1345.208,PPW1345,B2,TR,1908.5,HETARB,2.37
PPW1345.209,PPW1345,B2,TR,1908.6,HETARB,2.04
PPW1345.210,PPW1345,B2,TR,1908.7,HETARB,1.78
PPW1345.211,PPW1345,B2,TR,1908.8,HETARB,1.44
PPW1345.212,PPW1345,B2,TR,1908.9,HETARB,2.46
PPW1345.213,PPW1345,B2,TR,1909.1,HETARB,2.36
PPW1345.220,PPW1345,D1,TR,1951,HETARB,2.04
PPW1345.226,PPW1345,D1,TR,1954,HETARB,3.78
PPW1345.227,PPW1345,D1,TR,1954.1,HETARB,2.89
PPW1345.228,PPW1345,D1,TR,1954.2,HETARB,2.11
PPW1345.50,PPW1345,A4,TR,2258,PSEMEN,9.7
PPW1345.81,PPW1345,B4,TR,2243.1,QUEAGR,1.45
PPW1345.82,PPW1345,B4,TR,2243.2,QUEAGR,1.31
PPW1345.105,PPW1345,B3,TR,2254,QUEAGR,33.6
PPW1345.216,PPW1345,D1,TR,1947,QUEAGR,5.06
PPW1345.217,PPW1345,D1,TR,1946,QUEAGR,21.85
PPW1345.72,PPW1345,B4,TR,2248,QUEDEC,23.7
PPW1345.74,PPW1345,B4,TR,2246,QUEDEC,36.6
PPW1345.83,PPW1345,B3,TR,2238,QUEDEC,31
PPW1345.84,PPW1345,B3,TR,2281,QUEDEC,23.4
PPW1345.110,PPW1345,B1,TR,2277,QUEGAR,40.5
PPW1345.111,PPW1345,B1,TR,2277.1,QUEGAR,26.8
PPW1345.112,PPW1345,B1,TR,2277.2,QUEGAR,38.2
PPW1345.136,PPW1345,C3,TR,1936,QUEGAR,24.4
PPW1345.138,PPW1345,C4,TR,1938,QUEGAR,18.8
PPW1345.139,PPW1345,C4,TR,1940,QUEGAR,28.9
PPW1345.140,PPW1345,C4,TR,1939,QUEGAR,21.4
PPW1345.184,PPW1345,B2,TR,2293,QUEGAR,18.9
PPW1345.188,PPW1345,B2,TR,2295,QUEGAR,26
PPW1345.214,PPW1345,D1,TR,1945,QUEGAR,16.05
PPW1345.229,PPW1345,D2,TR,1952,QUEGAR,18.45
PPW1345.231,PPW1345,D3,TR,1955,QUEGAR,27.75
PPW1345.14,PPW1345,A2,TR,2262,UMBCAL,6.3
PPW1345.41,PPW1345,A2,TR,2275,UMBCAL,2.55
