"","Plot.ID","UTM.E","UTM.N","Slope","Aspect","Tree.Species","Tree.Number","Basal.Area_cm2","Total.Basal.Area_cm2","Percent.Cover"
"87","PPW1324","523801","4272002","14.5","24","QUEGAR",2,3106.79362446506,9454.80569605147,32.86
"88","PPW1324","523801","4272002","14.5","24","QUEKEL",5,2565.01811737187,9454.80569605147,27.13
"89","PPW1325","526466","4270806","15","35","ARCMAN",7,936.628543255035,12097.733347737,7.74
"90","PPW1325","526466","4270806","15","35","QUEAGR",2,1010.34405137611,12097.733347737,8.35
"91","PPW1325","526466","4270806","15","35","QUEDEC",1,219.039693789914,12097.733347737,1.81
"92","PPW1325","526466","4270806","15","35","QUEDOU",9,6086.50393560619,12097.733347737,50.31
"93","PPW1325","526466","4270806","15","35","QUEGAR",7,3845.21712370971,12097.733347737,31.78
"94","PPW1326","525165","4271385","25.5","37","ARBMEN",2,2173.8348541285,19177.3973726828,11.34
"95","PPW1326","525165","4271385","25.5","37","PSEMEN",43,7539.28122928092,19177.3973726828,39.31
"96","PPW1326","525165","4271385","25.5","37","QUEAGR",1,36.316811075498,19177.3973726828,0.19
"97","PPW1326","525165","4271385","25.5","37","QUEDEC",1,352.989350557349,19177.3973726828,1.84
"98","PPW1326","525165","4271385","25.5","37","QUEGAR",7,8084.11114983157,19177.3973726828,42.15
"99","PPW1326","525165","4271385","25.5","37","UMBCAL",7,990.863977808997,19177.3973726828,5.17
"100","PPW1327","522912","4268880","175","186","ARBMEN",3,1229.28164340478,19642.400602003,6.26
"101","PPW1327","522912","4268880","175","186","HETARB",27,2310.49688345323,19642.400602003,11.76
"102","PPW1327","522912","4268880","175","186","PSEMEN",29,6979.44965403067,19642.400602003,35.53
"103","PPW1327","522912","4268880","175","186","QUEAGKE",2,12.1090332638128,19642.400602003,0.06
"104","PPW1327","522912","4268880","175","186","QUEAGR",18,9089.7822392151,19642.400602003,46.28
"105","PPW1327","522912","4268880","175","186","QUEBER",9,21.2811486354173,19642.400602003,0.11
"106","PPW1328","524420","4269661","140","151","ARBMEN",7,40.6153737635886,25809.6119743401,0.16
"107","PPW1328","524420","4269661","140","151","FRACAL",13,35.6736485194918,25809.6119743401,0.14
"108","PPW1328","524420","4269661","140","151","PSEMEN",19,160.423151200889,25809.6119743401,0.62
"109","PPW1328","524420","4269661","140","151","QUEAGR",59,25560.7946945831,25809.6119743401,99.04
"110","PPW1328","524420","4269661","140","151","UMBCAL",7,12.1051062729959,25809.6119743401,0.05
"111","PPW1329","524086","4271800",NA,NA,"HETARB",4,544.979931599855,24513.957431704,2.22
"112","PPW1329","524086","4271800",NA,NA,"QUEAGR",24,22420.0152422517,24513.957431704,91.46
