Plot ID,1345,,Sampler(s),"MK, KO, MO, AC",,,,,Date ,"20180628, 20180629",,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
C1,SA,1932,,,UMBCAL,0,1,,,,,1,0,,52.5,1,,og dead
C1,SA,1915,,,HETARB,0,1,,,,,0.83,0,,44.6,0,,og dead
C1,SA,1906,,,UMBCAL,0,1,,,,,0.66,0,,29,0,,"og dead and out of ground, BD was an estimate"
B2,TR,1295,,,QUEGAR,1,0,0,1,4,,,,25.7,,,,
B2,TR,2296,,,HETARB,0,1,0,0,0,,,,1.7,93.8,13,,
B2,TR,2296.1,,,HETARB,0,0,0,0,0,,,,1,,0,,
B2,TR,2296.2,,,HETARB,0,1,0,0,0,,,,1.7,95.1,3,,
B2,SA,2297,,,PSEMEN,0,0,,,,,1.46,0,,,,,
B2,TR,2298,,,HETARB,0,1,0,0,0,,,,5.3,108.4,8,,
B3,TR,2284.2,,,HETARB,0,0,0,0,0,,,,,,,,can't find
B3,TR,2284.4,,,HETARB,0,0,0,0,0,,,,,,,,can't find
B3,TR,2281,,,QUEGAR,1,0,0,1,3,,,,23.7,,,,
B3,TR,2253,,,HETARB,0,0,0,0,0,,,,,,,,dead and gone
B3,TR,2253.1,,,HETARB,1,1,0,0,0,,,,7.7,98.4,12,,
B3,TR,2253.2,,,HETARB,0,0,0,0,0,,,,,,,,dead and gone
B3,TR,2253.3,,,HETARB,1,1,0,0,0,,,,10.2,99.3,9,,
B3,TR,999,,,HETARB,0,0,0,0,0,,,,2.39,,,,
B3,TR,2238,,,QUEGAR,1,0,0,1,4,,,,31.7,,,,
B3,TR,2283,,,HETARB,1,1,0,0,0,,,,2.52,52,2,,
B3,TR,2283.1,,,HETARB,0,0,0,0,0,,,,2.04,,,,
B3,TR,2283.2,,,HETARB,0,0,0,0,0,,,,,,,,dead and gone
B3,TR,2283.3,,,HETARB,0,0,0,0,0,,,,,,,,dead and gone
B3,TR,2282,,,QUEAGR,1,1,0,0,0,,,,1.11,70,2,,
B3,TR,2238,,,QUEAGR,0,0,0,0,0,,,,,,,,dead and gone
B3,TR,2251,,,UMBCAL,1,1,0,0,0,,,,1.94,77,2,,
B3,TR,2250,,,HETARB,1,1,0,0,0,,,,3.54,103.6,9,,
B3,TR,2254,,,QUEGAR,1,0,0,1,5,,,,34.4,,,,
B3,SA,2249,,,QUEAGR,0,1,,,,,0.83,0,,27.6,0,,
B3,TR,2236,,,HETARB,1,1,0,0,0,,,,2.09,118,4,,
B3,TR,2236.1,,,HETARB,0,0,0,0,0,,,,,,,,dead and gone
B3,TR,2255,,,HETARB,1,1,0,0,0,,,,2.21,92.7,2,,
B3,TR,2255.1,,,HETARB,1,1,0,0,0,,,,1.49,85.3,2,,
B3,TR,2237,,,ARCMAN,0,0,0,0,0,,,,,,,,dead and gone
B1,TR,2241.2,,,HETARB,0,0,0,0,0,,,,1.53,,,,
B1,TR,2241,,,HETARB,1,1,0,0,0,,,,3.31,86,7,,
