"","Plot","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y"
"32","PPW1332",524973.896549538,4271283.47257756,-236037.504313099,67109.1922648321,-122.713239479088,38.5896795981899
"33","PPW1333",525164.824333436,4271316.38821988,-235845.810075815,67136.0939701144,-122.711046004851,38.5899708379669
"34","PPW1334",524896.803336482,4271280.09038619,-236114.592094751,67108.2506715842,-122.714124805596,38.5896512838174
"35","PPW1335",525107.03693664,4271052.89818294,-235911.887062088,66874.108752917,-122.711719033093,38.5875979339869
"36","PPW1336",525474.369476126,4271066.35636093,-235544.66522518,66875.9342199219,-122.70750085066,38.5877087528934
"37","PPW1337",526114.090905826,4271200.25424342,-234901.62572352,66989.7093466925,-122.700150581744,38.5888968359951
"38","PPW1338",524958.968217698,4269709.1942238,-236102.44305984,65533.4247570443,-122.713467267095,38.5754927950555
"39","PPW1339",524914.039338608,4269871.48892567,-236142.148065219,65697.3469448136,-122.713977251788,38.5769566401439
"40","PPW1340",527216.077232748,4269295.17686163,-233861.815601013,65047.3040417158,-122.687571816507,38.5716954217076
"41","PPW1341",527138.991177722,4269509.09920371,-233931.987885422,65263.9387396821,-122.688448391362,38.5736256236736
"42","PPW1342",527290.080273055,4269589.25837647,-233778.573151127,65339.4053468732,-122.686710797497,38.574343379273
"43","PPW1343",522967.883575765,4273416.23903607,-237972.811808783,69308.2134981859,-122.736202763893,38.6089540050362
"44","PPW1344",522878.630101277,4272886.91316513,-238078.754714744,68781.0618455573,-122.73724526965,38.6041860951017
"45","PPW1345",523416.312963283,4272232.45375475,-237562.65219662,68108.7429796238,-122.73109220202,38.5982741613524
"46","PPW1346",524586.780822019,4270828.66262427,-236438.506954803,66666.0922001083,-122.717700498591,38.585591709443
"47","PPW1347",523098.845724998,4268725.45673059,-237991.089103121,64607.4348388673,-122.734854118938,38.5666777534117
"48","PPW1348",523400.871930461,4269032.51310769,-237679.750963778,64905.300810928,-122.73137696848,38.5694370188234
"49","PPW1349",526511.992163545,4270451.25473232,-234528.116081842,66227.1571827461,-122.695610321375,38.5821351550772
"50","PPW1350",523435.72328602,4269096.49960006,-237642.917720465,64968.2625231822,-122.730974757055,38.5700127414235
"51","PPW1851",527208.206776392,4269567.35304139,-233861.02242477,65320.0697563593,-122.687651544302,38.5741484828261
"52","PPW1852",527376.767724238,4269692.87379573,-233688.719515655,65440.4002457005,-122.685711573876,38.5752744811294
"53","PPW1853",527397.856630863,4269631.56304172,-233669.610675001,65378.3440193338,-122.685471883444,38.5747213057742
"54","PPW1854",527321.242975422,4269514.23203843,-233749.841337126,65263.2968467539,-122.686355995513,38.5736662928313
