Plot ID,1343,,Sampler(s),"MK, MF, RF, CM",,,,,Date ,"20201102, 20201103",,,,,,,,,
A2,TR,1840,,,PSEMEN,0,0,,,,,,,,,,1,,FALLEN
A2,TR,1839,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A2,TR,1838,,,PSEMEN,0,0,,,,,,,,,,,,FALLEN
A2,SA,1886,,,UMBCAL,0,0,,,,,,,,,,,,
A2,TR,1824.1,,,QUEDEC,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20
A2,TR,1835,,,PSEMEN,0,0,,,,,,,,,,1,,FALLEN
A2,TR,1834,,,PSEMEN,0,0,,,,,,,,,,1,,FALLEN
A2,TR,1899,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20
A3,TR,1845,,,PSEMEN,0,0,,,,,,,,,,1,,FALLEN
A3,TR,1862,,,PSEMEN,0,0,,,,,,,,,,1,,
A3,TR,1861,,,PSEMEN,0,0,,,,,,,,,,1,,
A3,TR,1859,,,PSEMEN,0,0,,,,,,,,,,1,,
A3,SA,1857,,,UMBCAL,0,1,,,,11.5,0.12,0,,,,,,BD TAKEN @ 5CM 
A3,TR,2013,,,PSEMEN,0,0,,,,,,,,,,1,,FALLEN
B3,TR,2024,,,PSEMEN,0,0,,,,,,,,,,1,,FALLEN
A3,TR,1853,,,PSEMEN,1,0,0,1,3,,,,,,,,,
B2,TR,2054,,,PSEMEN,1,0,0,1,4,,,,,,,,,
B2,TR,2051,,,PSEMEN,0,0,,,,,,,,,,,,
B2,SA,2053,,,UMBCAL,0,1,,,,0.5,,1,,,,,,TOO SHORT FOR BD
B2,TR,1836,,,PSEMEN,0,0,,,,,,,,,,1,,deleted a dup with no data from a2 that said not found in 19 or 20- I think it was just listed in the wrong quad?- mkqc2022
B2,SA,2005,,,PSEMEN,0,0,,,,,,,,,,,,"(NOT IN 18 DB, NOT FOUND IN 19 OR 20- this note is irrelevant now- it is in 2018 ans 2019- mkqc2022)"
B2,TR,2038,,,PSEMEN,0,0,,,,,,,,,,1,,
B2,TR,2038.1,,,PSEMEN,0,0,,,,,,,,,,1,,
B2,TR,2047,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
B2,SA,2048,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20
A2,TR,1824,,,QUEDEC,0,0,,,,,,,,,,,,TAG FREE FLOATING IN B2
B2,SA,2052,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20 
B2,TR,2040,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD ON GROUND IN B3
B2,TR,2044,,,PSEMEN,0,0,,,,,,,,,,1,,FALLEN
A2,TR,1823,,,PSEMEN,1,0,1,1,3,,,,,,,,,
A2,TR,1827,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A2,TR,1820,,,PSEMEN,0,0,,,,,,,,,,1,,
A2,TR,1900,,,PSEMEN,0,0,,,,,,,,,,1,,
A2,TR,1813,,,PSEMEN,0,0,,,,,,,,,,1,,
A2,TR,1894,,,PSEMEN,0,0,,,,,,,,,,1,,
A2,TR,1898,,,PSEMEN,0,0,,,,,,,,,,1,,
A2,TR,1821,,,PSEMEN,0,0,,,,,,,,,,1,,
A2,TR,1819,,,PSEMEN,0,0,,,,,,,,,,,,
A2,TR,1818,,,PSEMEN,0,0,,,,,,,,,,1,,
A2,TR,1822,,,PSEMEN,1,0,1,1,3,,,,,,,,,
A2,TR,1843,,,PSEMEN,0,0,,,,,,,,,,1,,FALLEN
A2,TR,1842,,,PSEMEN,0,0,,,,,,,,,,,,
A2,TR,1841,,,PSEMEN,0,0,,,,,,,,,,1,,
A3,TR,1847,,,PSEMEN,0,0,,,,,,,,,,1,,
A3,TR,1848,,,PSEMEN,0,0,,,,,,,,,,1,,
A3,TR,1850,,,PSEMEN,0,0,,,,,,,,,,1,,
A3,TR,1851,,,PSEMEN,0,0,,,,,,,,,,1,,FALLEN
A3,TR,1846,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,TR,1844,,,PSEMEN,0,1,,,,8.1,0.12,0,,,,,,
A3,SA,1849,,,UMBCAL,0,0,,,,,,,,,,,,BD @3.5CM
A3,TR,1852,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,TR,2019,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,TR,1854,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,TR,1855,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,1856,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,1858,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,1860,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,2002,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,2003,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
B3,TR,2022,,,PSEMEN,0,0,,,,,,,,,,1,,
B3,TR,2025,,,PSEMEN,0,0,,,,,,,,,,,,
B3,TR,2041,,,PSEMEN,1,0,1,1,3,,,,,,,,,
B3,TR,2037,,,QUEKEL,1,0,0,1,99,,,,,,,,,
B3,TR,2032,,,PSEMEN,0,0,,,,,,,,,,1,,
B3,TR,2033,,,PSEMEN,0,0,,,,,,,,,,1,,
B3,SA,2026,,,UMBCAL,0,1,,,,24.5,0.23,0,,,,,,
B3,SA,2004,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
B3,SA,2023,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20
B3,SA,2027,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
B3,SA,2028,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20
B3,TR,2031,,,PSEMEN,0,0,,,,,,,,,,1,,
B3,TR,2029,,,QUEKEL,0,0,,,,,,,,,,1,,TAG FOUND ON GROUND
B3,TR,2030,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
B3,SA,2034,,,UMBCAL,0,0,,,,,,,,,,,,
B3,TR,2035,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND (was typo 2039- leftover form 2018 typo - mkqc2022)
A4,SA,1863,,,UMBCAL,0,1,,,,41.5,0.4,1,,,,,,
A4,TR,2001,,,PSEMEN,0,0,,,,,,,,,,1,,NOT ON LIST
A4,TR,1864,,,PSEMEN,0,0,,,,,,,,,,,,
A4,SA,1875,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1890,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1874,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,SA,1876,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1891,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1877,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1882,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,SA,1871,,,UMBCAL,0,1,,,,61,0.53,1,,,,,,
A4,TR,1881,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1887,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1866,,,UMBCAL,1,1,0,1,4,,,,,243.5,3,,,
A4,TR,1866.1,,,UMBCAL,1,0,0,1,4,,,,,,,,,
A4,TR,1885,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1880,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1867,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A4,TR,1884,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1865,,,PSEMEN,1,0,1,1,4,,,,,,,,,
A4,TR,1883,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,TR,1892,,,PSEMEN,0,0,,,,,,,,,,1,,
A4,SA,1889,,,QUEAGR,0,1,,,,25.9,0.24,0,,,,,,
A4,SA,1868,,,UMBCAL,0,1,,,,22,0.16,0,,,,,,
A4,SA,1873,,,ARBMEN,0,0,,,,,,,,,,1,,
A4,SA,1879,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
A4,SA,1888,,,UMBCAL,0,0,,,,,,,,,,1,,
B4,TR,2021,,,PSEMEN,0,0,,,,,,,,,,1,,
B4,TR,2009,,,PSEMEN,0,0,,,,,,,,,,1,,
B4,SA,2015,,,PSEMEN,0,0,,,,,,,,,,1,,
B4,TR,2014,,,PSEMEN,1,0,1,1,3,,,,,,,,,ACTUALLY EPICORMIC
B4,TR,2010,,,PSEMEN,0,0,,,,,,,,,,1,,
B4,SA,2008,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD IN 2019
B4,TR,2011,,,PSEMEN,1,0,1,1,3,,,,,,,,,
B4,TR,2017,,,PSEMEN,0,0,,,,,,,,,,1,,
B4,SA,2016,,,UMBCAL,0,1,,,,22,0.15,3,,,,,,
B4,SA,2012,,,ARBMEN,0,1,,,,40.4,0.44,1,,,,,,
D4,TR,2155,,,PSEMEN,0,0,,,,,,,,,,,,
D4,TR,2154,,,PSEMEN,0,0,,,,,,,,,,,,
D4,SA,6338,,,UMBCAL,0,1,,,,31,0.41,0,,,,,1,
D4,TR,2148,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,2145,,,UMBCAL,0,1,,,,48.1,0.36,,,,,,,
D4,SA,2143,,,UMBCAL,0,1,,,,48.6,0.54,0,,,,,1,
D4,SA,2141,,,UMBCAL,0,1,,,,48.6,0.38,0,,,,,,
D4,SA,2234,,,UMBCAL,0,0,,,,,,,,,,1,,
D4,SA,2233,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20
D4,TR,2149,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,,2142,,,UMBCAL,0,0,,,,,,,,,,1,,
D4,SA,2147,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20
D4,TR,2151,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 21
