Plot,Subplot,Num,UTM.E,UTM.N,Species,Survival,Basal,Epicormic,Apical,PercLivingCanopy,DBH_cm,BasalResproutHeight,BasalResproutCount,Notes
2152,E1,11067,527410,4269658,ARBMEN,0,1,0,0,0,23.2,350,14,
2152,E1,11067.1,527410,4269658,ARBMEN,0,1,0,0,0,18.1,,,
2152,E1,99177,527409,4269657,PSEMEN,0,0,0,0,0,31.8,,,
2152,D1,11068,527398,4269657,QUEAGRI,1,1,1,0,3,54,,0,ONLY ONE SPROUT. UNDER 50CM 
2152,D1,11069,527398,4269654,QUEAGRI,1,1,1,0,1,25.2,281.1,2,
2152,D1,11069.1,527398,4269654,QUEAGRI,0,1,0,0,0,22.7,,,SNAG
2152,D1,11070,527388,4269647,ARBMEN,0,1,0,0,0,24.4,300,10,.2 SNAG NO DBH 
2152,D1,11070.1,527388,4269647,ARBMEN,0,1,0,0,0,12.5,,,
2152,D1,99178,527385,4269662,PSEMEN,0,0,0,0,0,49,,,99178-99180-CLUSTER OF THREE
2152,D1,99179,527385,4269662,PSEMEN,0,0,0,0,0,72.4,,,99178-99180-CLUSTER OF THREE
2152,D1,99180,527385,4269662,PSEMEN,0,0,0,0,0,77.1,,,99178-99180-CLUSTER OF THREE
2152,C1,11071,527384,4269659,QUEAGRI,1,1,1,0,1,27.5,160.4,1,
2152,C1,11071.1,527384,4269659,QUEAGRI,1,1,1,0,1,13.5,,,
2152,C1,11071.2,527384,4269659,QUEAGRI,1,1,1,0,1,7.9,,,
2152,C1,11072,527380,4269655,QUEKEL,0,1,0,0,0,20.8,154.3,3,
2152,C1,99181,527378,4269662,QUEAGRI,0,0,0,0,0,34.5,,,HAD EPICORMIC
2152,C1,99182,527377,4269661,PSEMEN,0,0,0,0,0,54.2,,,
2152,C1,11073,527377,4269660,QUEAGRI,0,1,0,0,0,23.5,320,2,
2152,C1,99183,527375,4269672,PSEMEN,0,0,0,0,0,67.5,,,
2152,C1,99184,527373,4269673,PSEMEN,0,0,0,0,0,58.7,,,
2152,C1,11074,527371,4269656,QUEAGRI,1,1,0,0,1,35,192.6,3,
2152,C1,11074.1,527371,4269656,QUEAGRI,0,1,0,0,0,18.1,,,
2152,C1,99185,527369,4269658,PSEMEN,0,0,0,0,0,60.9,,,
2152,C1,11075,527369,4269658,QUEAGRI,1,1,1,0,1,21.1,148.2,3,
2152,C1,11076,527367,4269657,QUEAGRI,1,1,1,0,1,26,172.5,3,
2152,C1,11076.1,527367,4269657,QUEAGRI,1,1,1,0,1,25.4,,,
2152,B1,11077,527359,4269656,QUEAGRI,1,1,1,0,2,33.1,95,3,
2152,B1,11077.1,527359,4269656,QUEAGRI,0,1,0,0,0,18,,,
2152,B1,11078,527357,4269658,QUEKEL,0,1,0,0,0,21.9,300,4,
2152,B1,11078.1,527357,4269658,QUEKEL,0,1,0,0,0,22,,,
2152,B1,99186,527360,4269662,PSEMEN,0,0,0,0,0,33.5,,,
2152,B1,99187,527360,4269662,PSEMEN,0,0,0,0,0,68.8,,,
2152,B1,99188,527362,4269667,QUEKEL,0,0,0,0,0,22.2,,,99188-99190 are ALL ONE CLUSTER
2152,B1,99189,527362,4269667,QUEKEL,0,0,0,0,0,18.2,,,99188-99190 are ALL ONE CLUSTER
2152,B1,99190,527362,4269667,QUEKEL,0,0,0,0,0,17.5,,,99188-99190 are ALL ONE CLUSTER
2152,B2,11079,527349,4269675,ARBMEN,0,1,0,0,0,20.8,500,9,9 CLUSTERS OF MANY
2152,B2,11079.1,527349,4269675,ARBMEN,0,1,0,0,0,10.5,,,
2152,B2,11079.2,527349,4269675,ARBMEN,0,1,0,0,0,19,,,
2152,B2,11079.3,527349,4269675,ARBMEN,0,1,0,0,0,17.6,,,
2152,B2,11079.4,527349,4269675,ARBMEN,0,1,0,0,0,17,,,
2152,B2,11079.5,527349,4269675,ARBMEN,0,1,0,0,0,22,,,
2152,B3,11081,527327,4269675,QUEGAR,0,1,0,0,0,33.5,75,2,
2152,B3,11082,527379,4269672,QUEAGRI,1,0,1,0,1,25.4,,,
2152,B3,11082.1,527379,4269672,QUEAGRI,1,0,1,0,2,24,,,
2152,B3,11082.2,527379,4269672,QUEAGRI,0,0,0,0,0,10,,,
2152,B3,11083,527365,4268680,QUEGAR,0,1,0,0,0,23.2,,3,NO HEIGHT RECORDED
2152,B3,11083.1,527365,4268680,QUEGAR,0,0,0,0,0,12,,,
2152,B3,99191,527365,4268680,PSEMEN,0,0,0,0,0,20.6,,,
2152,B3,99192,527359,4269688,PSEMEN,0,0,0,0,0,30.5,,,
2152,B3,99193,527341,4269678,PSEMEN,0,0,0,0,0,22,,,
2152,B4,99194,527341,4269678,PSEMEN,0,0,0,0,0,21.4,,,
2152,B4,99195,527341,4269678,PSEMEN,0,0,0,0,0,33.6,,,
2152,B4,11085,527337,4269679,QUEKEL,0,1,1,1,1,27.9,159.1,3,
2152,B3,99196,527346,4269685,PSEMEN,0,0,0,0,0,22,,,ON GROUND
2152,B3,99197,527349,4269695,PSEMEN,0,0,0,0,0,23.5,,,
