Tree Tag No.,UTM E,UTM N
999.46,527385,4269662
999.47,527385,4269662
999.48,527385,4269662
11071,527384,4269659
11071.1,527384,4269659
11071.2,527384,4269659
11072,527380,4269655
999.49,527378,4269662
999.51,527377,4269661
11073,527377,4269660
999.52,527375,4269672
999.53,527373,4269673
11074,527371,4269656
11074.1,527371,4269656
999.54,527369,4269658
11075,527369,4269658
11076,527367,4269657
11076.1,527367,4269657
11077,527359,4269656
11077.1,527359,4269656
11078,527357,4269658
11078.1,527357,4269658
999.55,527360,4269662
999.56,527360,4269662
999.57,527362,4269667
999.58,527362,4269667
999.59,527362,4269667
11079,527349,4269675
11079.1,527349,4269675
11079.2,527349,4269675
11079.3,527349,4269675
11079.4,527349,4269675
11079.5,527349,4269675
11081,527327,4269675
11082,527379,4269672
11082.1,527379,4269672
11082.2,527379,4269672
11083,527365,4268680
11083.1,527365,4268680
999.61,527365,4268680
999.62,527359,4269688
999.63,527341,4269678
999.64,527341,4269678
999.65,527341,4269678
11085,527337,4269679
999.66,527346,4269685
999.67,527349,4269695
11086,527353,4269696
11086.1,527353,4269696
11087,527349,4269691
999.68,527350,4269698
11088,527348,4269694
999.69,527348,4269709
999.71,527356,4260718
11089,527354,4269713
11089.1,527354,4269713
11089.2,527354,4269713
999.72,527357,4269714
999.73,527358,4269715
11090,527357,4269723
999.143,527363,4269714
999.74,527363,4269714
11091,527362,4269714
999.75,527367,4269727
999.76,527367,4269726
11092,527366,4269726
11092.1,527366,4269726
11092.2,527366,4269726
999.77,527364,4269725
999.78,527350,4269719
11093,527350,4269721
999.79,527344,4269718
11094,527344,4269717
999.81,527344,4269718
11094.1,527344,4269717
11095,527333,4269722
999.82,527333,4269720
11096,527341,4269729
999.83,527330,4269724
999.84,527338,4269727
11097,527341,4269731
11098,527339,4269734
11098.1,527339,4269734
11098.2,527339,4269734
999.85,527339,4269733
11099,527329,4269729
11099.1,527329,4269729
11099.2,527329,4269729
999.86,527329,4269729
11100,527351,4269730
11101,527351,4269735
11101.1,527351,4269735
11102,527361,4269732
11102.1,527361,4269732
11103,527355,4269736
999.87,527362,4269735
999.88,527366,4269730
999.89,527367,4269729
999.91,527367,4269729
999.92,527367,4269729
999.93,527378,4269610
999.94,527381,4269708
999.95,527382,4269718
999.96,527385,4269712
11104,527385,4269717
11104.1,527385,4269717
11104.2,527385,4269717
11105,527383,4269721
11105.1,527383,4269721
999.97,527382,4269703
999.98,527384,4269701
999.99,527379,4269695
999.101,527386,4269702
999.102,527385,4269695
999.103,527393,4269683
11107,527394,4269684
999.104,527398,4269687
999.105,527395,4269685
999.106,527393,4269681
999.107,527398,4269670
11108,527398,4269670
11108.1,527398,4269670
11108.2,527398,4269670
999.108,527396,4269672
999.109,527375,4269671
11109,527385,4269663
11109.1,527385,4269663
11109.2,527385,4269663
11110,527338,4269661
11110.1,527338,4269661
11110.2,527338,4269661
11110.3,527338,4269661
11110.4,527338,4269661
11111,527390,4269661
11112,527394,4269660
11112.1,527394,4269660
11114,527397,4269661
11114.1,527397,4269661
11114.2,527397,4269661
11115,527406,4269665
11115.1,527406,4269665
11116,527406,4269665
11116.1,527406,4269665
11117,527409,4269659
11118,527411,4269656
11118.1,527411,4269656
11119,527398,4269734
11120,527393,4269763
11120.1,527393,4269763
11121,527394,4269735
11121.1,527394,4269735
11121.2,527394,4269735
11121.3,527394,4269735
11122,527401,4269734
11122.1,527401,4269734
11123,527402,4269734
11124,527405,4269740
11124.1,527405,4269740
11125,527401,4269739
11126,527407,4269741
11127,527411,4269740
11128,527412,4269739
11129,527413,4269738
11130,527416,4269735
11130.1,527416,4269735
11130.2,527416,4269735
11131,527416,4269733
11131.1,527416,4269733
11132,527418,4269736
11133,527410,4269746
11134,527406,4269732
11134.1,527406,4269732
11135,527412,4269730
11136,527408,4269726
11136.1,527408,4269726
999.111,527425,4269713
11137,527423,4269698
11137.1,527423,4269698
11138,527417,4269710
999.112,527413,4269707
999.113,527410,4269704
999.114,527413,4269707
11139,527409,4269702
11139.1,527409,4269702
999.115,527410,4269701
999.116,527405,4269703
999.117,527406,4269705
999.118,527403,4269706
11140,527395,4269716
999.119,527398,4269697
999.121,527400,4269688
999.122,527395,4269692
999.123,527385,4269699
11141,527381,4269719
11141.1,527381,4269719
11141.2,527381,4269719
11141.3,527381,4269719
11141.4,527381,4269719
11141.5,527381,4269719
11141.6,527381,4269719
11141.7,527381,4269719
11141.8,527381,4269719
11141.9,527381,4269719
11141.11,527381,4269719
999.124,527380,4269731
999.125,527379,4269721
999.126,527374,4269719
11142,527374,4269719
999.127,527375,4269721
11143,527376,4269742
999.128,527373,4269736
999.129,527388,4269725
999.131,527389,4269726
11144,527391,4269726
11144.1,527391,4269726
11144.2,527391,4269726
999.132,527404,4269724
11145,527400,4269724
11145.1,527400,4269724
11146,527400,4269724
11147,527408,4269726
11148,527416,4269719
11149,527389,4269730
11149.1,527389,4269730
11149.2,527389,4269730
999.133,527389,4269730
11158,527389,4268725
11158.1,527389,4268725
11158.2,527389,4268725
999.134,527363,4269736
999.135,527363,4269736
999.136,527366,4269727
999.137,527366,4269727
999.138,527366,4269727
999.139,527360,4269730
11150,527345,4269703
11150.1,527345,4269703
11150.2,527345,4269703
11150.3,527345,4269703
999.141,527392,4269692
11151,527404,4269685
11151.1,527404,4269685
11151.2,527404,4269685
11151.3,527404,4269685
11151.4,527404,4269685
11152,527412,4269673
11152.1,527412,4269673
11153,527412,4269673
11154,527410,4269687
11154.1,527410,4269687
11154.2,527410,4269687
999.142,527411,4269687
11155,527418,4269694
11155.1,527418,4269694
11155.2,527418,4269694
11156,527407,4269672
11157,527405,4269679
11157.1,527405,4269679
11157.2,527405,4269679
