sensor_id,deployment_id,site_id,sensorModel,current,projectSensorCluster,sensorConfiguration,start_date,end_date,utm_E,utm_N
10008095,23,PPW1323,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,523282,4272416
10008096,24,PPW1324,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,523801,4272002
10008097,25,PPW1325,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,526466,4270806
10008098,26,PPW1326,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,525165,4271385
10008100,27,PPW1327,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,522912,4268880
10008101,28,PPW1328,HOBO_U23_PRO_V2,0,Ackerly_vegplots,,6/21/13 12:00,12/11/15 6:59,524420,4269661
10008102,29,PPW1329,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,524086,4271800
10008103,30,PPW1330,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,523769,4271472
10008113,31,PPW1331,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,523503,4271813
10008114,32,PPW1332,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,524968,4271278
10008115,33,PPW1333,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,525153,4271310
10008116,34,PPW1334,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,524885,4271274
10008119,35,PPW1335,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,525087,4271051
10008124,36,PPW1336,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,525463,4271059
10008125,37,PPW1337,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,526102,4271193
10008127,38,PPW1338,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,6/21/13 13:30,NA,524949,4269709
10008133,39,PPW1339,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,6/21/13 14:00,NA,524901,4269863
10008134,40,PPW1340,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,527205,4269284
10008135,41,PPW1341,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,527127,4269502
10008136,42,PPW1342,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,527278,4269582
10008138,43,PPW1343,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,522956,4273410
10008147,44,PPW1344,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,522872,4272878
10008153,45,PPW1345,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,523405,4272225
10008156,46,PPW1346,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,524575,4270822
10319258,47,PPW1347,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,523087,4268719
10319259,48,PPW1348,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,523389,4269026
10319260,49,PPW1349,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,526499,4270456
10319261,50,PPW1350,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,523424,4269090
10589256,281,PPW1328,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,7/7/16 14:30,NA,524420,4269661
