plot,quad,date,device,reading,notes
PPW1331,B4,20180503,MFO,12.4,
PPW1331,B3,20180503,MFO,8.2,
PPW1331,B2,20180503,MFO,9.4,
PPW1331,B1,20180503,MFO,8.1,
PPW1331,C1,20180503,MFO,NA,killer tree
PPW1331,C2,20180503,MFO,NA,killer tree
PPW1331,C3,20180503,MFO,8.8,
PPW1331,C4,20180503,MFO,10.2,
PPW1331,D4,20180503,MFO,9,
PPW1331,D3,20180503,MFO,7.7,
PPW1331,D2,20180503,MFO,NA,killer tree
PPW1331,D1,20180503,MFO,NA,killer tree
PPW1310,A1,20180503,MFO,23.9,
PPW1310,A2,20180503,MFO,14.9,
PPW1310,A3,20180503,MFO,10.4,
PPW1310,A4,20180503,MFO,24.1,
PPW1310,B4,20180503,MFO,13.8,
PPW1310,B3,20180503,MFO,8.5,
PPW1310,B2,20180503,MFO,12.7,
PPW1310,B1,20180503,MFO,12.8,
PPW1310,C1,20180503,MFO,13.4,
PPW1310,C2,20180503,MFO,16.9,
PPW1310,C3,20180503,MFO,17.5,
PPW1310,C4,20180503,MFO,11.6,
PPW1310,D4,20180503,MFO,14.4,
PPW1310,D3,20180503,MFO,16.2,
PPW1310,D2,20180503,MFO,10.9,
PPW1310,D1,20180503,MFO,10.1,
PPW1309,A1,20180503,MFO,10.8,
PPW1309,A2,20180503,MFO,7.9,
PPW1309,A3,20180503,MFO,9.9,
PPW1309,A4,20180503,MFO,11.1,
PPW1309,B4,20180503,MFO,10.6,
PPW1309,B3,20180503,MFO,12.9,
PPW1309,B2,20180503,MFO,9.3,
PPW1309,B1,20180503,MFO,12.3,
PPW1309,C1,20180503,MFO,10.2,
PPW1309,C2,20180503,MFO,8.4,
PPW1309,C3,20180503,MFO,9.8,
PPW1309,C4,20180503,MFO,9.2,
PPW1309,D4,20180503,MFO,15.5,
PPW1309,D3,20180503,MFO,11.5,
PPW1309,D2,20180503,MFO,12.5,
PPW1309,D1,20180503,MFO,8.9,
PPW1343,A1,20180503,MFO,12.1,
PPW1343,A2,20180503,MFO,12.7,
PPW1343,A3,20180503,MFO,12.3,
PPW1343,A4,20180503,MFO,8.5,
PPW1343,B4,20180503,MFO,9.7,
PPW1343,B3,20180503,MFO,11.7,
PPW1343,B2,20180503,MFO,7.9,
PPW1343,B1,20180503,MFO,8.6,
PPW1343,C1,20180503,MFO,4.9,
PPW1343,C2,20180503,MFO,9.7,
PPW1343,C3,20180503,MFO,11.7,
PPW1343,C4,20180503,MFO,20.9,
PPW1343,D4,20180503,MFO,15.2,
PPW1343,D3,20180503,MFO,13.9,
PPW1343,D2,20180503,MFO,10.3,
PPW1343,D1,20180503,MFO,16.2,
PPW1308,A1,20180503,MFO,18.5,
PPW1308,A2,20180503,MFO,15.6,
PPW1308,A3,20180503,MFO,14.5,
PPW1308,A4,20180503,MFO,15.5,
PPW1308,B4,20180503,MFO,13,
PPW1308,B3,20180503,MFO,15.7,
PPW1308,B2,20180503,MFO,20.1,
PPW1308,B1,20180503,MFO,19.9,
PPW1308,C1,20180503,MFO,16.5,
PPW1308,C2,20180503,MFO,14.2,
PPW1308,C3,20180503,MFO,17.1,
PPW1308,C4,20180503,MFO,16.1,
PPW1308,D4,20180503,MFO,18.1,
PPW1308,D3,20180503,MFO,18.3,
PPW1308,D2,20180503,MFO,19.6,
PPW1308,D1,20180503,MFO,22.2,
PPW1311,A1,20180503,MFO,16.1,
PPW1311,A2,20180503,MFO,9.9,
PPW1311,A3,20180503,MFO,5.7,
PPW1311,A4,20180503,MFO,8.1,
PPW1311,B4,20180503,MFO,9.9,
PPW1311,B3,20180503,MFO,15.9,
PPW1311,B2,20180503,MFO,9.3,
PPW1311,B1,20180503,MFO,9.9,
PPW1311,C1,20180503,MFO,7.9,
PPW1311,C2,20180503,MFO,11.5,
PPW1311,C3,20180503,MFO,4.3,
PPW1311,C4,20180503,MFO,8.3,
PPW1311,D4,20180503,MFO,9.1,
PPW1311,D3,20180503,MFO,12.1,
PPW1311,D2,20180503,MFO,9.6,
PPW1311,D1,20180503,MFO,9.4,
PPW1344,A1,20180503,MFO,13.8,
PPW1344,A2,20180503,MFO,16.3,
PPW1344,A3,20180503,MFO,10.2,
PPW1344,A4,20180503,MFO,18.3,
PPW1344,B4,20180503,MFO,12.8,
PPW1344,B3,20180503,MFO,11.9,
PPW1344,B2,20180503,MFO,18,
PPW1344,B1,20180503,MFO,17.5,
PPW1344,C1,20180503,MFO,14.2,
PPW1344,C2,20180503,MFO,9.1,
PPW1344,C3,20180503,MFO,15.2,
PPW1344,C4,20180503,MFO,15.4,
PPW1344,D4,20180503,MFO,15.8,
PPW1344,D3,20180503,MFO,10.7,
PPW1344,D2,20180503,MFO,11.1,
PPW1344,D1,20180503,MFO,10.2,
PPW1312,A1,20180503,MFO,24.1,
PPW1312,A2,20180503,MFO,16.4,
PPW1312,A3,20180503,MFO,13.4,
PPW1312,A4,20180503,MFO,11.9,
PPW1312,B4,20180503,MFO,12,
PPW1312,B3,20180503,MFO,15.7,
PPW1312,B2,20180503,MFO,17.9,
PPW1312,B1,20180503,MFO,16.2,
PPW1312,C1,20180503,MFO,17.9,
PPW1312,C2,20180503,MFO,11.6,
PPW1312,C3,20180503,MFO,15.3,
PPW1312,C4,20180503,MFO,16.4,
PPW1312,D4,20180503,MFO,13.2,
PPW1312,D3,20180503,MFO,19.6,
PPW1312,D2,20180503,MFO,13.8,
PPW1312,D1,20180503,MFO,14.9,
PPW1313,A1,20180503,MFO,8.4,
PPW1313,A2,20180503,MFO,11,
PPW1313,A3,20180503,MFO,17.5,
PPW1313,A4,20180503,MFO,3.9,
PPW1313,B4,20180503,MFO,12.5,
PPW1313,B3,20180503,MFO,11.8,
PPW1313,B2,20180503,MFO,12,
PPW1313,B1,20180503,MFO,14.4,
PPW1313,C1,20180503,MFO,11.2,
PPW1313,C2,20180503,MFO,10,
PPW1313,C3,20180503,MFO,4.6,
PPW1313,C4,20180503,MFO,16.1,
PPW1313,D4,20180503,MFO,17.2,
PPW1313,D3,20180503,MFO,12.9,
PPW1313,D2,20180503,MFO,13.5,
PPW1313,D1,20180503,MFO,10.1,
PPW1324,A1,20180503,MFO,8.5,
PPW1324,A2,20180503,MFO,8.8,
PPW1324,A3,20180503,MFO,11.5,
PPW1324,A4,20180503,MFO,14.8,
PPW1324,B4,20180503,MFO,14.3,
PPW1324,B3,20180503,MFO,9.2,
PPW1324,B2,20180503,MFO,12.9,
PPW1324,B1,20180503,MFO,13.7,
PPW1324,C1,20180503,MFO,16.8,
PPW1324,C2,20180503,MFO,11.4,
PPW1324,C3,20180503,MFO,7.8,
PPW1324,C4,20180503,MFO,12.3,
PPW1324,D4,20180503,MFO,14.8,
PPW1324,D3,20180503,MFO,11.5,
PPW1324,D2,20180503,MFO,15.1,
PPW1324,D1,20180503,MFO,15.5,
PPW1329,A1,20180503,MFO,5.6,
PPW1329,A2,20180503,MFO,15.5,
PPW1329,A3,20180503,MFO,9.9,
PPW1329,A4,20180503,MFO,14.1,
PPW1329,B4,20180503,MFO,17.5,
PPW1329,B3,20180503,MFO,11.1,
PPW1329,B2,20180503,MFO,14.7,
PPW1329,B1,20180503,MFO,8.4,
PPW1329,C1,20180503,MFO,6,
PPW1329,C2,20180503,MFO,9.3,
PPW1329,C3,20180503,MFO,23,
PPW1329,C4,20180503,MFO,24.1,
PPW1329,D4,20180503,MFO,16,
PPW1329,D3,20180503,MFO,21.2,
PPW1329,D2,20180503,MFO,17.1,
PPW1329,D1,20180503,MFO,12.1,
PPW1330,A1,20180503,MFO,16.9,
PPW1330,A2,20180503,MFO,3.6,
PPW1330,A3,20180503,MFO,4.7,
PPW1330,A4,20180503,MFO,10.4,
PPW1330,B4,20180503,MFO,13.8,
PPW1330,B3,20180503,MFO,14.8,
PPW1330,B2,20180503,MFO,12.7,
PPW1330,B1,20180503,MFO,12.5,
PPW1330,C1,20180503,MFO,13.9,
PPW1330,C2,20180503,MFO,13.6,
PPW1330,C3,20180503,MFO,11.7,
PPW1330,C4,20180503,MFO,16.1,
PPW1330,D4,20180503,MFO,13.8,
PPW1330,D3,20180503,MFO,16.9,
PPW1330,D2,20180503,MFO,14.9,
PPW1330,D1,20180503,MFO,13.4,
PPW1346,A1,20180503,MFO,9.9,
PPW1346,A2,20180503,MFO,13.5,
PPW1346,A3,20180503,MFO,13.9,
PPW1346,A4,20180503,MFO,14.1,
PPW1346,B4,20180503,MFO,13.8,
PPW1346,B3,20180503,MFO,5.8,
PPW1346,B2,20180503,MFO,4.8,
PPW1346,B1,20180503,MFO,9.4,
PPW1346,C1,20180503,MFO,9.3,
PPW1346,C2,20180503,MFO,7.7,
PPW1346,C3,20180503,MFO,5.5,
PPW1346,C4,20180503,MFO,10.3,
PPW1346,D4,20180503,MFO,10.8,
PPW1346,D3,20180503,MFO,4.7,
PPW1346,D2,20180503,MFO,2.5,
PPW1346,D1,20180503,MFO,12.7,
PPW1301,A1,20180503,1799,7.3,
PPW1301,A2,20180503,1799,9.3,
PPW1301,A3,20180503,1799,7.6,
PPW1301,A4,20180503,1799,9.8,
PPW1301,B4,20180503,1799,5.9,
PPW1301,B3,20180503,1799,4.5,
PPW1301,B2,20180503,1799,5.8,
PPW1301,B1,20180503,1799,0.8,
PPW1301,C1,20180503,1799,2.9,
PPW1301,C2,20180503,1799,4,
PPW1301,C3,20180503,1799,9.8,
PPW1301,C4,20180503,1799,8.3,
PPW1301,D4,20180503,1799,9.3,
PPW1301,D3,20180503,1799,4.9,
PPW1301,D2,20180503,1799,4.5,
PPW1301,D1,20180503,1799,4.3,
PPW1349,A1,20180503,1799,12.7,
PPW1349,A2,20180503,1799,21.1,
PPW1349,A3,20180503,1799,18.6,
PPW1349,A4,20180503,1799,13.8,
PPW1349,B4,20180503,1799,7.3,
PPW1349,B3,20180503,1799,17.3,
PPW1349,B2,20180503,1799,19.5,
PPW1349,B1,20180503,1799,23.7,
PPW1349,C1,20180503,1799,22.1,
PPW1349,C2,20180503,1799,14.5,
PPW1349,C3,20180503,1799,19.5,
PPW1349,C4,20180503,1799,16.7,
PPW1349,D4,20180503,1799,15.3,
PPW1349,D3,20180503,1799,20.9,
PPW1349,D2,20180503,1799,15.9,
PPW1349,D1,20180503,1799,18.5,
PPW1325,A1,20180503,1799,9.7,
PPW1325,A2,20180503,1799,11.9,
PPW1325,A3,20180503,1799,7.9,
PPW1325,A4,20180503,1799,6.8,
PPW1325,B4,20180503,1799,8.4,
PPW1325,B3,20180503,1799,12.7,
PPW1325,B2,20180503,1799,7.2,
PPW1325,B1,20180503,1799,12.1,
PPW1325,C1,20180503,1799,8.7,
PPW1325,C2,20180503,1799,10.1,
PPW1325,C3,20180503,1799,11.8,
PPW1325,C4,20180503,1799,14.1,
PPW1325,D4,20180503,1799,13.4,
PPW1325,D3,20180503,1799,8.8,
PPW1325,D2,20180503,1799,10.6,
PPW1325,D1,20180503,1799,12,
PPW1307,A1,20180503,1799,7.3,
PPW1307,A2,20180503,1799,9.2,
PPW1307,A3,20180503,1799,10.4,
PPW1307,A4,20180503,1799,14.1,
PPW1307,B4,20180503,1799,7.7,
PPW1307,B3,20180503,1799,7.8,
PPW1307,B2,20180503,1799,9,
PPW1307,B1,20180503,1799,11.9,
PPW1307,C1,20180503,1799,8.7,
PPW1307,C2,20180503,1799,9.7,
PPW1307,C3,20180503,1799,11.4,
PPW1307,C4,20180503,1799,9.9,
PPW1307,D4,20180503,1799,9.7,
PPW1307,D3,20180503,1799,9.3,
PPW1307,D2,20180503,1799,10,
PPW1307,D1,20180503,1799,12.5,
PPW1306,A1,20180503,1799,14.9,
PPW1306,A2,20180503,1799,15.1,
PPW1306,A3,20180503,1799,20.7,
PPW1306,A4,20180503,1799,21.4,
PPW1306,B4,20180503,1799,19.8,
PPW1306,B3,20180503,1799,14.2,
PPW1306,B2,20180503,1799,28.7,
PPW1306,B1,20180503,1799,26.1,
PPW1306,C1,20180503,1799,17.8,
PPW1306,C2,20180503,1799,21.4,
PPW1306,C3,20180503,1799,26.1,
PPW1306,C4,20180503,1799,18.4,
PPW1306,D4,20180503,1799,23.8,
PPW1306,D3,20180503,1799,19.7,
PPW1306,D2,20180503,1799,24.2,
PPW1306,D1,20180503,1799,21.1,
PPW1337,A1,20180503,1799,7.7,
PPW1337,A2,20180503,1799,8.5,
PPW1337,A3,20180503,1799,7.4,
PPW1337,A4,20180503,1799,18.9,
PPW1337,B4,20180503,1799,26.8,
PPW1337,B3,20180503,1799,17,
PPW1337,B2,20180503,1799,12.6,
PPW1337,B1,20180503,1799,7.7,
PPW1337,C1,20180503,1799,14.3,
PPW1337,C2,20180503,1799,10.9,
PPW1337,C3,20180503,1799,20.6,
PPW1337,C4,20180503,1799,15.6,
PPW1337,D4,20180503,1799,16.1,
PPW1337,D3,20180503,1799,25.8,
PPW1337,D2,20180503,1799,18.2,
PPW1337,D1,20180503,1799,10.1,
PPW1336,A1,20180503,1799,7.4,
PPW1336,A2,20180503,1799,8.8,
PPW1336,A3,20180503,1799,8.9,
PPW1336,A4,20180503,1799,6.7,
PPW1336,B4,20180503,1799,7.9,
PPW1336,B3,20180503,1799,6.7,
PPW1336,B2,20180503,1799,6,
PPW1336,B1,20180503,1799,6,
PPW1336,C1,20180503,1799,8.3,
PPW1336,C2,20180503,1799,7.6,
PPW1336,C3,20180503,1799,3.5,
PPW1336,C4,20180503,1799,9.3,
PPW1336,D4,20180503,1799,11.4,
PPW1336,D3,20180503,1799,5.5,
PPW1336,D2,20180503,1799,7.2,
PPW1336,D1,20180503,1799,9.2,
PPW1333,A1,20180503,1799,13.4,
PPW1333,A2,20180503,1799,12.6,
PPW1333,A3,20180503,1799,11.1,
PPW1333,A4,20180503,1799,10.1,
PPW1333,B4,20180503,1799,13,
PPW1333,B3,20180503,1799,9.4,
PPW1333,B2,20180503,1799,13.4,
PPW1333,B1,20180503,1799,13.8,
PPW1333,C1,20180503,1799,12.5,
PPW1333,C2,20180503,1799,8.9,
PPW1333,C3,20180503,1799,8.9,
PPW1333,C4,20180503,1799,7.3,
PPW1333,D4,20180503,1799,9.5,
PPW1333,D3,20180503,1799,8.3,
PPW1333,D2,20180503,1799,12.4,
PPW1333,D1,20180503,1799,13.8,
PPW1326,A1,20180503,1799,11.4,
PPW1326,A2,20180503,1799,15.9,
PPW1326,A3,20180503,1799,16.6,
PPW1326,A4,20180503,1799,15.5,
PPW1326,B4,20180503,1799,17.5,
PPW1326,B3,20180503,1799,11.8,
PPW1326,B2,20180503,1799,13.3,
PPW1326,B1,20180503,1799,8.5,
PPW1326,C1,20180503,1799,9.3,
PPW1326,C2,20180503,1799,8.4,
PPW1326,C3,20180503,1799,16.7,
PPW1326,C4,20180503,1799,14.2,
PPW1326,D4,20180503,1799,19.4,
PPW1326,D3,20180503,1799,19.1,
PPW1326,D2,20180503,1799,17.5,
PPW1326,D1,20180503,1799,13.1,
PPW1317,A1,20180503,1799,12.4,
PPW1317,A2,20180503,1799,3.9,
PPW1317,A3,20180503,1799,5.5,
PPW1317,A4,20180503,1799,5.8,
PPW1317,B4,20180503,1799,5.2,
PPW1317,B3,20180503,1799,3.8,
PPW1317,B2,20180503,1799,4.3,
PPW1317,B1,20180503,1799,3.5,rocky
PPW1317,C1,20180503,1799,5.9,
PPW1317,C2,20180503,1799,4.8,
PPW1317,C3,20180503,1799,6.6,
PPW1317,C4,20180503,1799,5.2,
PPW1317,D4,20180503,1799,5,
PPW1317,D3,20180503,1799,9.3,
PPW1317,D2,20180503,1799,3.6,rocky
PPW1317,D1,20180503,1799,4.9,
PPW1315,A1,20180503,1799,8.3,
PPW1315,A2,20180503,1799,5.4,
PPW1315,A3,20180503,1799,11.7,
PPW1315,A4,20180503,1799,15,
PPW1315,B4,20180503,1799,12.2,
PPW1315,B3,20180503,1799,14.9,
PPW1315,B2,20180503,1799,15.5,
PPW1315,B1,20180503,1799,10.2,
PPW1315,C1,20180503,1799,10.2,
PPW1315,C2,20180503,1799,12.2,
PPW1315,C3,20180503,1799,8,
PPW1315,C4,20180503,1799,11.2,
PPW1315,D4,20180503,1799,15,
PPW1315,D3,20180503,1799,13.6,
PPW1315,D2,20180503,1799,7.9,
PPW1315,D1,20180503,1799,9.7,
PPW1316,A1,20180503,1799,13.7,
PPW1316,A2,20180503,1799,6.6,
PPW1316,A3,20180503,1799,5.5,
PPW1316,A4,20180503,1799,7.5,
PPW1316,B4,20180503,1799,6.7,
PPW1316,B3,20180503,1799,10.4,
PPW1316,B2,20180503,1799,7.7,
PPW1316,B1,20180503,1799,8.4,
PPW1316,C1,20180503,1799,13.7,
PPW1316,C2,20180503,1799,9.3,
PPW1316,C3,20180503,1799,5.4,
PPW1316,C4,20180503,1799,8.9,
PPW1316,D4,20180503,1799,8.9,
PPW1316,D3,20180503,1799,9.2,
PPW1316,D2,20180503,1799,7.3,
PPW1316,D1,20180503,1799,9.8,
PPW1318,A1,20180503,1799,6,
PPW1318,A2,20180503,1799,8.3,burn clearing
PPW1318,A3,20180503,1799,10.6,burn clearing
PPW1318,A4,20180503,1799,3.8,rocky
PPW1318,B4,20180503,1799,11.8,
PPW1318,B3,20180503,1799,7.7,
PPW1318,B2,20180503,1799,9.7,
PPW1318,B1,20180503,1799,8.8,
PPW1318,C1,20180503,1799,6.9,
PPW1318,C2,20180503,1799,8.7,
PPW1318,C3,20180503,1799,10.3,
PPW1318,C4,20180503,1799,9.4,
PPW1318,D4,20180503,1799,8.4,
PPW1318,D3,20180503,1799,6.6,
PPW1318,D2,20180503,1799,6.9,gravely
PPW1318,D1,20180503,1799,13.2,
PPW1319,A1,20180503,1799,8.1,
PPW1319,A2,20180503,1799,14.4,
PPW1319,A3,20180503,1799,8.4,
PPW1319,A4,20180503,1799,15.2,rocky
PPW1319,B4,20180503,1799,15.1,rocky
PPW1319,B3,20180503,1799,9.8,
PPW1319,B2,20180503,1799,11.1,
PPW1319,B1,20180503,1799,6.6,
PPW1319,C1,20180503,1799,6.6,
PPW1319,C2,20180503,1799,11.6,
PPW1319,C3,20180503,1799,9.4,
PPW1319,C4,20180503,1799,12.7,
PPW1319,D4,20180503,1799,7.8,
PPW1319,D3,20180503,1799,16.2,
PPW1319,D2,20180503,1799,13.3,
PPW1319,D1,20180503,1799,9.8,
PPW1320,A1,20180503,1591,9.3,
PPW1320,A2,20180503,1591,10.3,
PPW1320,A3,20180503,1591,13.4,
PPW1320,A4,20180503,1591,6.1,
PPW1320,B4,20180503,1591,5.9,
PPW1320,B3,20180503,1591,7.2,
PPW1320,B2,20180503,1591,12.7,
PPW1320,B1,20180503,1591,10.8,
PPW1320,C1,20180503,1591,4.9,
PPW1320,C2,20180503,1591,5.1,
PPW1320,C3,20180503,1591,7.5,
PPW1320,C4,20180503,1591,5.6,
PPW1320,D4,20180503,1591,4.1,
PPW1320,D3,20180503,1591,6.5,
PPW1320,D2,20180503,1591,2.6,
PPW1320,D1,20180503,1591,7.6,
PPW1328,A1,20180503,1591,11.5,
PPW1328,A2,20180503,1591,5.4,
PPW1328,A3,20180503,1591,6.7,
PPW1328,A4,20180503,1591,14.3,
PPW1328,B4,20180503,1591,17.9,
PPW1328,B3,20180503,1591,19.3,
PPW1328,B2,20180503,1591,10.6,
PPW1328,B1,20180503,1591,12.9,
PPW1328,C1,20180503,1591,4.1,
PPW1328,C2,20180503,1591,16.4,
PPW1328,C3,20180503,1591,7.8,
PPW1328,C4,20180503,1591,7.9,
PPW1328,D4,20180503,1591,11.2,
PPW1328,D3,20180503,1591,16.9,
PPW1328,D2,20180503,1591,5.9,
PPW1328,D1,20180503,1591,6.9,
PPW1321,A1,20180503,1591,7.9,
PPW1321,A2,20180503,1591,12.4,
PPW1321,A3,20180503,1591,16.3,
PPW1321,A4,20180503,1591,15.9,
PPW1321,B4,20180503,1591,7,
PPW1321,B3,20180503,1591,7.5,
PPW1321,B2,20180503,1591,9.4,
PPW1321,B1,20180503,1591,11.1,
PPW1321,C1,20180503,1591,11.1,
PPW1321,C2,20180503,1591,11.9,
PPW1321,C3,20180503,1591,7.7,
PPW1321,C4,20180503,1591,10.6,
PPW1321,D4,20180503,1591,4.6,
PPW1321,D3,20180503,1591,7.6,
PPW1321,D2,20180503,1591,5.8,
PPW1321,D1,20180503,1591,6.3,
PPW1338,A1,20180503,1591,26.5,
PPW1338,A2,20180503,1591,20.5,
PPW1338,A3,20180503,1591,20.8,
PPW1338,A4,20180503,1591,12,
PPW1338,B4,20180503,1591,14.1,
PPW1338,B3,20180503,1591,25,
PPW1338,B2,20180503,1591,26.9,
PPW1338,B1,20180503,1591,24.4,
PPW1338,C1,20180503,1591,28.5,
PPW1338,C2,20180503,1591,21.2,
PPW1338,C3,20180503,1591,28.1,
PPW1338,C4,20180503,1591,19.9,
PPW1338,D4,20180503,1591,23.1,
PPW1338,D3,20180503,1591,12.2,
PPW1338,D2,20180503,1591,21,
PPW1338,D1,20180503,1591,14.4,
PPW1339,A1,20180503,1591,15.9,
PPW1339,A2,20180503,1591,20,
PPW1339,A3,20180503,1591,14.4,
PPW1339,A4,20180503,1591,11.6,
PPW1339,B4,20180503,1591,13.3,
PPW1339,B3,20180503,1591,11.9,
PPW1339,B2,20180503,1591,14.5,
PPW1339,B1,20180503,1591,13,
PPW1339,C1,20180503,1591,12.3,
PPW1339,C2,20180503,1591,10,
PPW1339,C3,20180503,1591,10,
PPW1339,C4,20180503,1591,14.4,
PPW1339,D4,20180503,1591,15.8,
PPW1339,D3,20180503,1591,10.3,
PPW1339,D2,20180503,1591,9.2,
PPW1339,D1,20180503,1591,12.8,
PPW1322,A1,20180503,1591,9.1,
PPW1322,A2,20180503,1591,18.1,
PPW1322,A3,20180503,1591,19.9,
PPW1322,A4,20180503,1591,22.4,
PPW1322,B4,20180503,1591,20.8,
PPW1322,B3,20180503,1591,29.9,
PPW1322,B2,20180503,1591,17.1,
PPW1322,B1,20180503,1591,10,
PPW1322,C1,20180503,1591,11.3,
PPW1322,C2,20180503,1591,27.3,
PPW1322,C3,20180503,1591,45.5,in creekbed
PPW1322,C4,20180503,1591,14.5,
PPW1322,D4,20180503,1591,19.1,
PPW1322,D3,20180503,1591,16.5,
PPW1322,D2,20180503,1591,12.7,
PPW1322,D1,20180503,1591,44.8,
PPW1305,A1,20180503,1591,NA,rocky
PPW1305,A2,20180503,1591,2,
PPW1305,A3,20180503,1591,2.3,rocky
PPW1305,A4,20180503,1591,8.1,
PPW1305,B4,20180503,1591,3.9,
PPW1305,B3,20180503,1591,3.4,
PPW1305,B2,20180503,1591,3.5,rocky
PPW1305,B1,20180503,1591,5.3,
PPW1305,C1,20180503,1591,3.8,
PPW1305,C2,20180503,1591,2.9,rocky
PPW1305,C3,20180503,1591,5.2,
PPW1305,C4,20180503,1591,10.1,
PPW1305,D4,20180503,1591,3.1,
PPW1305,D3,20180503,1591,1.8,
PPW1305,D2,20180503,1591,2.6,
PPW1305,D1,20180503,1591,5.9,
PPW1302,A1,20180503,1591,11.4,
PPW1302,A2,20180503,1591,9.9,
PPW1302,A3,20180503,1591,17,
PPW1302,A4,20180503,1591,12.8,
PPW1302,B4,20180503,1591,12.9,
PPW1302,B3,20180503,1591,16.2,
PPW1302,B2,20180503,1591,18.5,
PPW1302,B1,20180503,1591,15.8,
PPW1302,C1,20180503,1591,10,
PPW1302,C2,20180503,1591,6.3,
PPW1302,C3,20180503,1591,7.1,
PPW1302,C4,20180503,1591,8.1,
PPW1302,D4,20180503,1591,15.3,
PPW1302,D3,20180503,1591,10.2,
PPW1302,D2,20180503,1591,9.5,
PPW1302,D1,20180503,1591,10.3,
PPW1340,A1,20180503,1591,18.3,
PPW1340,A2,20180503,1591,11.5,
PPW1340,A3,20180503,1591,17.8,
PPW1340,A4,20180503,1591,21.6,
PPW1340,B4,20180503,1591,17.8,
PPW1340,B3,20180503,1591,7.6,
PPW1340,B2,20180503,1591,19.3,
PPW1340,B1,20180503,1591,11.2,
PPW1340,C1,20180503,1591,14.4,
PPW1340,C2,20180503,1591,23.3,
PPW1340,C3,20180503,1591,24.4,
PPW1340,C4,20180503,1591,17.1,
PPW1340,D4,20180503,1591,9.4,
PPW1340,D3,20180503,1591,13,
PPW1340,D2,20180503,1591,19.3,
PPW1340,D1,20180503,1591,15.6,
PPW1341,A1,20180503,1591,14.3,
PPW1341,A2,20180503,1591,13.7,
PPW1341,A3,20180503,1591,14.6,
PPW1341,A4,20180503,1591,15.9,
PPW1341,B4,20180503,1591,17.2,
PPW1341,B3,20180503,1591,15.5,
PPW1341,B2,20180503,1591,17.2,
PPW1341,B1,20180503,1591,23.9,
PPW1341,C1,20180503,1591,14.7,
PPW1341,C2,20180503,1591,14.9,
PPW1341,C3,20180503,1591,5.5,
PPW1341,C4,20180503,1591,15.2,
PPW1341,D4,20180503,1591,9.1,
PPW1341,D3,20180503,1591,13.2,
PPW1341,D2,20180503,1591,11.1,
PPW1341,D1,20180503,1591,12.3,
PPW1342,A1,20180505,1591,17.3,
PPW1342,A2,20180505,1591,14.9,
PPW1342,A3,20180505,1591,16.4,
PPW1342,A4,20180505,1591,10.8,
PPW1342,B4,20180505,1591,10.5,
PPW1342,B3,20180505,1591,15.5,
PPW1342,B2,20180505,1591,15.9,
PPW1342,B1,20180505,1591,14.1,
PPW1342,C1,20180505,1591,11.4,
PPW1342,C2,20180505,1591,14.9,
PPW1342,C3,20180505,1591,14.2,
PPW1342,C4,20180505,1591,14.1,
PPW1342,D4,20180505,1591,15.1,
