"Plot Title: PPW1328_10008101"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10008101, SEN S/N: 10008101)","RH, % (LGR S/N: 10008101, SEN S/N: 10008101)","Coupler Detached (LGR S/N: 10008101)","Bad Battery (LGR S/N: 10008101)","End Of File (LGR S/N: 10008101)"
58,09/26/15 02:59:41 PM,29.690,36.953,,,
59,09/26/15 03:29:41 PM,29.190,34.887,,,
60,09/26/15 03:59:41 PM,28.667,32.846,,,
61,09/26/15 04:29:41 PM,28.196,36.438,,,
62,09/26/15 04:59:41 PM,27.161,38.003,,,
63,09/26/15 05:29:41 PM,25.162,43.473,,,
64,09/26/15 05:59:41 PM,23.497,48.326,,,
65,09/26/15 06:29:41 PM,21.628,53.218,,,
66,09/26/15 06:59:41 PM,20.174,56.752,,,
67,09/26/15 07:29:41 PM,19.080,58.754,,,
68,09/26/15 07:59:41 PM,18.366,60.789,,,
69,09/26/15 08:29:41 PM,17.796,63.091,,,
70,09/26/15 08:59:41 PM,17.558,66.162,,,
71,09/26/15 09:29:41 PM,17.130,67.758,,,
72,09/26/15 09:59:41 PM,16.987,68.229,,,
73,09/26/15 10:29:41 PM,16.654,68.110,,,
74,09/26/15 10:59:41 PM,16.511,68.637,,,
75,09/26/15 11:29:41 PM,15.270,72.692,,,
76,09/26/15 11:59:41 PM,14.721,74.456,,,
77,09/27/15 12:29:41 AM,14.601,75.559,,,
78,09/27/15 12:59:41 AM,13.882,78.064,,,
79,09/27/15 01:29:41 AM,13.642,80.139,,,
80,09/27/15 01:59:41 AM,13.401,80.306,,,
81,09/27/15 02:29:41 AM,12.775,81.970,,,
82,09/27/15 02:59:41 AM,12.606,82.828,,,
83,09/27/15 03:29:41 AM,12.147,84.071,,,
84,09/27/15 03:59:41 AM,11.807,85.117,,,
85,09/27/15 04:29:41 AM,11.613,86.111,,,
86,09/27/15 04:59:41 AM,11.419,87.203,,,
87,09/27/15 05:29:41 AM,11.200,88.178,,,
88,09/27/15 05:59:41 AM,11.224,88.184,,,
89,09/27/15 06:29:41 AM,11.078,88.882,,,
90,09/27/15 06:59:41 AM,11.297,89.041,,,
91,09/27/15 07:29:41 AM,12.098,88.107,,,
92,09/27/15 07:59:41 AM,13.257,86.500,,,
93,09/27/15 08:29:41 AM,14.745,82.111,,,
94,09/27/15 08:59:41 AM,17.320,72.174,,,
95,09/27/15 09:29:41 AM,19.555,65.506,,,
96,09/27/15 09:59:41 AM,22.034,57.834,,,
97,09/27/15 10:29:41 AM,24.267,50.209,,,
98,09/27/15 10:59:41 AM,24.677,51.120,,,
99,09/27/15 11:29:41 AM,25.331,48.208,,,
100,09/27/15 11:59:41 AM,25.355,47.826,,,
101,09/27/15 12:29:41 PM,26.598,45.071,,,
102,09/27/15 12:59:41 PM,26.598,45.169,,,
103,09/27/15 01:29:41 PM,27.063,42.580,,,
104,09/27/15 01:59:41 PM,27.579,41.092,,,
105,09/27/15 02:29:41 PM,28.419,38.330,,,
106,09/27/15 02:59:41 PM,28.866,36.235,,,
107,09/27/15 03:29:41 PM,28.617,37.416,,,
108,09/27/15 03:59:41 PM,28.171,38.305,,,
109,09/27/15 04:29:41 PM,27.136,40.087,,,
110,09/27/15 04:59:41 PM,25.817,44.362,,,
111,09/27/15 05:29:41 PM,24.026,46.730,,,
112,09/27/15 05:59:41 PM,21.748,53.110,,,
113,09/27/15 06:29:41 PM,19.888,57.629,,,
114,09/27/15 06:59:41 PM,18.509,61.353,,,
115,09/27/15 07:29:41 PM,17.558,64.537,,,
116,09/27/15 07:59:41 PM,16.630,63.281,,,
117,09/27/15 08:29:41 PM,15.867,63.182,,,
118,09/27/15 08:59:41 PM,15.127,62.850,,,
119,09/27/15 09:29:41 PM,14.553,65.193,,,
120,09/27/15 09:59:41 PM,14.361,68.357,,,
121,09/27/15 10:29:41 PM,13.882,70.882,,,
122,09/27/15 10:59:41 PM,13.353,73.476,,,
123,09/27/15 11:29:41 PM,12.896,75.155,,,
124,09/27/15 11:59:41 PM,12.437,76.538,,,
125,09/28/15 12:29:41 AM,11.856,78.626,,,
126,09/28/15 12:59:41 AM,11.516,80.739,,,
127,09/28/15 01:29:41 AM,11.078,82.023,,,
128,09/28/15 01:59:41 AM,10.687,83.226,,,
129,09/28/15 02:29:41 AM,10.418,84.340,,,
130,09/28/15 02:59:41 AM,10.100,85.302,,,
131,09/28/15 03:29:41 AM,9.731,86.245,,,
132,09/28/15 03:59:41 AM,9.435,87.696,,,
133,09/28/15 04:29:41 AM,9.213,88.007,,,
134,09/28/15 04:59:41 AM,9.015,88.427,,,
135,09/28/15 05:29:41 AM,8.668,89.636,,,
136,09/28/15 05:59:41 AM,8.916,90.575,,,
137,09/28/15 06:29:41 AM,9.015,90.394,,,
138,09/28/15 06:59:41 AM,9.139,90.889,,,
139,09/28/15 07:29:41 AM,8.965,91.589,,,
140,09/28/15 07:59:41 AM,9.756,91.200,,,
141,09/28/15 08:29:41 AM,12.001,86.468,,,
142,09/28/15 08:59:41 AM,14.912,76.802,,,
143,09/28/15 09:29:41 AM,18.414,65.781,,,
144,09/28/15 09:59:41 AM,20.055,61.727,,,
145,09/28/15 10:29:41 AM,20.889,58.547,,,
146,09/28/15 10:59:41 AM,21.199,56.228,,,
147,09/28/15 11:29:41 AM,22.321,52.062,,,
148,09/28/15 11:59:41 AM,23.232,47.271,,,
149,09/28/15 12:29:41 PM,23.497,44.929,,,
150,09/28/15 12:59:41 PM,22.920,47.520,,,
151,09/28/15 01:29:41 PM,23.256,47.147,,,
152,09/28/15 01:59:41 PM,23.617,48.246,,,
153,09/28/15 02:29:41 PM,22.753,52.467,,,
154,09/28/15 02:59:41 PM,23.569,49.704,,,
155,09/28/15 03:29:41 PM,22.250,52.867,,,
156,09/28/15 03:59:41 PM,22.106,53.816,,,
157,09/28/15 04:29:41 PM,20.960,55.575,,,
158,09/28/15 04:59:41 PM,19.318,60.822,,,
159,09/28/15 05:29:41 PM,18.224,63.670,,,
160,09/28/15 05:59:41 PM,16.892,67.861,,,
161,09/28/15 06:29:41 PM,15.652,71.479,,,
162,09/28/15 06:59:41 PM,14.218,76.182,,,
163,09/28/15 07:29:41 PM,13.040,79.871,,,
164,09/28/15 07:59:41 PM,12.074,82.247,,,
165,09/28/15 08:29:41 PM,11.394,84.433,,,
166,09/28/15 08:59:41 PM,10.858,85.826,,,
167,09/28/15 09:29:41 PM,10.222,87.073,,,
168,09/28/15 09:59:41 PM,9.805,88.856,,,
169,09/28/15 10:29:41 PM,9.928,89.355,,,
170,09/28/15 10:59:41 PM,10.394,90.483,,,
171,09/28/15 11:29:41 PM,11.419,92.088,,,
172,09/28/15 11:59:41 PM,11.516,90.583,,,
173,09/29/15 12:29:41 AM,11.321,91.028,,,
174,09/29/15 12:59:41 AM,11.151,92.097,,,
175,09/29/15 01:29:41 AM,11.321,91.339,,,
176,09/29/15 01:59:41 AM,11.200,91.256,,,
177,09/29/15 02:29:41 AM,11.053,90.727,,,
178,09/29/15 02:59:41 AM,11.005,90.948,,,
179,09/29/15 03:29:41 AM,10.932,91.550,,,
180,09/29/15 03:59:41 AM,10.883,91.641,,,
181,09/29/15 04:29:41 AM,10.883,92.157,,,
182,09/29/15 04:59:41 AM,10.761,92.228,,,
183,09/29/15 05:29:41 AM,10.761,92.537,,,
184,09/29/15 05:59:41 AM,10.541,93.351,,,
185,09/29/15 06:29:41 AM,10.614,93.677,,,
186,09/29/15 06:59:41 AM,10.516,93.856,,,
187,09/29/15 07:29:41 AM,10.590,93.364,,,
188,09/29/15 07:59:41 AM,10.687,93.338,,,
189,09/29/15 08:29:41 AM,10.687,91.617,,,
190,09/29/15 08:59:41 AM,11.200,89.383,,,
191,09/29/15 09:29:41 AM,11.759,87.840,,,
192,09/29/15 09:59:41 AM,13.209,80.976,,,
193,09/29/15 10:29:41 AM,14.745,73.697,,,
194,09/29/15 10:59:41 AM,16.225,68.497,,,
195,09/29/15 11:29:41 AM,17.439,63.418,,,
196,09/29/15 11:59:41 AM,18.414,58.923,,,
197,09/29/15 12:29:41 PM,19.413,53.340,,,
198,09/29/15 12:59:41 PM,20.507,48.987,,,
199,09/29/15 01:29:41 PM,21.294,48.457,,,
200,09/29/15 01:59:41 PM,21.628,51.496,,,
201,09/29/15 02:29:41 PM,21.366,50.895,,,
202,09/29/15 02:59:41 PM,21.724,48.512,,,
203,09/29/15 03:29:41 PM,21.533,47.917,,,
204,09/29/15 03:59:41 PM,20.555,52.163,,,
205,09/29/15 04:29:41 PM,19.865,55.075,,,
206,09/29/15 04:59:41 PM,19.080,57.871,,,
207,09/29/15 05:29:41 PM,18.152,60.694,,,
208,09/29/15 05:59:41 PM,17.225,63.649,,,
209,09/29/15 06:29:41 PM,15.509,68.569,,,
210,09/29/15 06:59:41 PM,14.242,73.058,,,
211,09/29/15 07:29:41 PM,13.257,76.123,,,
212,09/29/15 07:59:41 PM,12.509,78.628,,,
213,09/29/15 08:29:41 PM,11.977,80.813,,,
214,09/29/15 08:59:41 PM,11.613,81.927,,,
215,09/29/15 09:29:41 PM,11.200,83.235,,,
216,09/29/15 09:59:41 PM,10.736,84.334,,,
217,09/29/15 10:29:41 PM,10.345,85.783,,,
218,09/29/15 10:59:41 PM,10.198,86.356,,,
219,09/29/15 11:29:41 PM,10.124,87.706,,,
220,09/29/15 11:59:41 PM,10.100,87.674,,,
221,09/30/15 12:29:41 AM,9.879,89.290,,,
222,09/30/15 12:59:41 AM,9.805,89.610,,,
223,09/30/15 01:29:41 AM,9.657,90.272,,,
224,09/30/15 01:59:41 AM,9.706,91.161,,,
225,09/30/15 02:29:41 AM,9.731,91.759,,,
226,09/30/15 02:59:41 AM,9.312,91.524,,,
227,09/30/15 03:29:41 AM,8.990,92.591,,,
228,09/30/15 03:59:41 AM,9.015,93.005,,,
229,09/30/15 04:29:41 AM,8.916,93.487,,,
230,09/30/15 04:59:41 AM,9.064,93.805,,,
231,09/30/15 05:29:41 AM,9.015,93.716,,,
232,09/30/15 05:59:41 AM,9.064,93.755,,,
233,09/30/15 06:29:41 AM,9.262,94.187,,,
234,09/30/15 06:59:41 AM,9.534,94.461,,,
235,09/30/15 07:29:41 AM,9.977,94.299,,,
236,09/30/15 07:59:41 AM,10.663,93.178,,,
237,09/30/15 08:29:41 AM,10.736,92.222,,,
238,09/30/15 08:59:41 AM,11.759,89.888,,,
239,09/30/15 09:29:41 AM,12.799,85.457,,,
240,09/30/15 09:59:41 AM,13.906,81.951,,,
241,09/30/15 10:29:41 AM,14.409,77.758,,,
242,09/30/15 10:59:41 AM,15.127,76.398,,,
243,09/30/15 11:29:41 AM,16.320,72.926,,,
244,09/30/15 11:59:41 AM,16.844,70.728,,,
245,09/30/15 12:29:41 PM,17.034,69.228,,,
246,09/30/15 12:59:41 PM,17.938,66.494,,,
247,09/30/15 01:29:41 PM,18.557,63.995,,,
248,09/30/15 01:59:41 PM,18.390,66.693,,,
249,09/30/15 02:29:41 PM,19.175,63.951,,,
250,09/30/15 02:59:41 PM,20.031,60.665,,,
251,09/30/15 03:29:41 PM,19.984,60.869,,,
252,09/30/15 03:59:41 PM,19.841,61.872,,,
253,09/30/15 04:29:41 PM,19.460,64.567,,,
254,09/30/15 04:59:41 PM,19.080,65.928,,,
255,09/30/15 05:29:41 PM,18.343,69.645,,,
256,09/30/15 05:59:41 PM,17.415,71.905,,,
257,09/30/15 06:29:41 PM,16.296,74.688,,,
258,09/30/15 06:59:41 PM,15.748,76.329,,,
259,09/30/15 07:29:41 PM,15.509,77.878,,,
260,09/30/15 07:59:41 PM,15.342,79.208,,,
261,09/30/15 08:29:41 PM,15.223,80.097,,,
262,09/30/15 08:59:41 PM,15.031,80.525,,,
263,09/30/15 09:29:41 PM,14.792,81.381,,,
264,09/30/15 09:59:41 PM,14.409,82.828,,,
265,09/30/15 10:29:41 PM,14.050,84.158,,,
266,09/30/15 10:59:41 PM,13.666,85.203,,,
267,09/30/15 11:29:41 PM,13.112,87.106,,,
268,09/30/15 11:59:41 PM,13.137,87.802,,,
269,10/01/15 12:29:41 AM,13.257,87.991,,,
270,10/01/15 12:59:41 AM,13.088,88.717,,,
271,10/01/15 01:29:41 AM,12.920,89.572,,,
272,10/01/15 01:59:41 AM,13.016,90.147,,,
273,10/01/15 02:29:41 AM,12.968,90.188,,,
274,10/01/15 02:59:41 AM,13.040,90.337,,,
275,10/01/15 03:29:41 AM,13.257,90.443,,,
276,10/01/15 03:59:41 AM,13.040,90.206,,,
277,10/01/15 04:29:41 AM,12.944,90.967,,,
278,10/01/15 04:59:41 AM,12.968,93.648,,,
279,10/01/15 05:29:41 AM,12.896,94.324,,,
280,10/01/15 05:59:41 AM,12.823,94.665,,,
281,10/01/15 06:29:41 AM,12.678,95.190,,,
282,10/01/15 06:59:41 AM,12.968,95.420,,,
283,10/01/15 07:29:41 AM,13.522,95.105,,,
284,10/01/15 07:59:41 AM,14.218,93.635,,,
285,10/01/15 08:29:41 AM,15.247,91.334,,,
286,10/01/15 08:59:41 AM,16.368,84.036,,,
287,10/01/15 09:29:41 AM,16.511,81.871,,,
288,10/01/15 09:59:41 AM,18.557,73.796,,,
289,10/01/15 10:29:41 AM,20.103,67.293,,,
290,10/01/15 10:59:41 AM,20.841,64.114,,,
291,10/01/15 11:29:41 AM,21.056,62.525,,,
292,10/01/15 11:59:41 AM,20.984,63.207,,,
293,10/01/15 12:29:41 PM,21.461,60.316,,,
294,10/01/15 12:59:41 PM,21.748,58.251,,,
295,10/01/15 01:29:41 PM,22.800,54.102,,,
296,10/01/15 01:59:41 PM,22.896,55.736,,,
297,10/01/15 02:29:41 PM,23.472,53.258,,,
298,10/01/15 02:59:41 PM,22.274,55.924,,,
299,10/01/15 03:29:41 PM,22.417,56.688,,,
300,10/01/15 03:59:41 PM,22.082,57.841,,,
301,10/01/15 04:29:41 PM,21.628,58.723,,,
302,10/01/15 04:59:41 PM,21.342,59.596,,,
303,10/01/15 05:29:41 PM,20.436,62.392,,,
304,10/01/15 05:59:41 PM,19.127,66.528,,,
305,10/01/15 06:29:41 PM,17.510,71.144,,,
306,10/01/15 06:59:41 PM,16.368,74.986,,,
307,10/01/15 07:29:41 PM,15.533,77.995,,,
308,10/01/15 07:59:41 PM,14.936,80.200,,,
309,10/01/15 08:29:41 PM,14.314,82.261,,,
310,10/01/15 08:59:41 PM,13.858,83.871,,,
311,10/01/15 09:29:41 PM,13.594,85.267,,,
312,10/01/15 09:59:41 PM,13.546,86.248,,,
313,10/01/15 10:29:41 PM,13.137,86.978,,,
314,10/01/15 10:59:41 PM,12.678,88.433,,,
315,10/01/15 11:29:41 PM,12.558,89.667,,,
316,10/01/15 11:59:41 PM,13.112,89.330,,,
317,10/02/15 12:29:41 AM,13.016,88.937,,,
318,10/02/15 12:59:41 AM,13.425,85.684,,,
319,10/02/15 01:29:41 AM,13.473,83.945,,,
320,10/02/15 01:59:41 AM,12.678,85.723,,,
321,10/02/15 02:29:41 AM,12.025,87.482,,,
322,10/02/15 02:59:41 AM,11.880,88.738,,,
323,10/02/15 03:29:41 AM,12.195,88.605,,,
324,10/02/15 03:59:41 AM,12.437,87.448,,,
325,10/02/15 04:29:41 AM,12.098,86.943,,,
326,10/02/15 04:59:41 AM,10.858,89.455,,,
327,10/02/15 05:29:41 AM,10.761,91.352,,,
328,10/02/15 05:59:41 AM,10.736,91.397,,,
329,10/02/15 06:29:41 AM,10.810,91.571,,,
330,10/02/15 06:59:41 AM,10.516,92.987,,,
331,10/02/15 07:29:41 AM,12.025,92.579,,,
332,10/02/15 07:59:41 AM,15.270,77.213,,,
333,10/02/15 08:29:41 AM,15.867,75.790,,,
334,10/02/15 08:59:41 AM,17.486,70.299,,,
335,10/02/15 09:29:41 AM,18.985,68.006,,,
336,10/02/15 09:59:41 AM,20.770,60.783,,,
337,10/02/15 10:29:41 AM,22.513,52.371,,,
338,10/02/15 10:59:41 AM,24.219,43.397,,,
339,10/02/15 11:29:41 AM,25.841,41.755,,,
340,10/02/15 11:59:41 AM,26.720,37.759,,,
341,10/02/15 12:29:41 PM,27.949,36.347,,,
342,10/02/15 12:59:41 PM,29.290,33.748,,,
343,10/02/15 01:29:41 PM,29.991,32.386,,,
344,10/02/15 01:59:41 PM,30.091,31.168,,,
345,10/02/15 02:29:41 PM,29.991,34.658,,,
346,10/02/15 02:59:41 PM,28.941,36.913,,,
347,10/02/15 03:29:41 PM,28.270,38.415,,,
348,10/02/15 03:59:41 PM,27.604,36.915,,,
349,10/02/15 04:29:41 PM,26.769,38.759,,,
350,10/02/15 04:59:41 PM,25.162,43.278,,,
351,10/02/15 05:29:41 PM,23.497,48.900,,,
352,10/02/15 05:59:41 PM,21.772,52.269,,,
353,10/02/15 06:29:41 PM,20.103,56.158,,,
354,10/02/15 06:59:41 PM,19.103,58.240,,,
355,10/02/15 07:29:41 PM,18.889,58.663,,,
356,10/02/15 07:59:41 PM,18.842,58.291,,,
357,10/02/15 08:29:41 PM,18.390,59.827,,,
358,10/02/15 08:59:41 PM,17.819,60.760,,,
359,10/02/15 09:29:41 PM,17.463,61.452,,,
360,10/02/15 09:59:41 PM,17.272,59.529,,,
361,10/02/15 10:29:41 PM,17.058,59.675,,,
362,10/02/15 10:59:41 PM,16.344,61.955,,,
363,10/02/15 11:29:41 PM,16.963,58.786,,,
364,10/02/15 11:59:41 PM,17.034,59.491,,,
365,10/03/15 12:29:41 AM,16.034,62.201,,,
366,10/03/15 12:59:41 AM,15.700,64.070,,,
367,10/03/15 01:29:41 AM,16.201,61.991,,,
368,10/03/15 01:59:41 AM,15.676,63.120,,,
369,10/03/15 02:29:41 AM,14.888,66.421,,,
370,10/03/15 02:59:41 AM,13.064,71.664,,,
371,10/03/15 03:29:41 AM,12.799,72.943,,,
372,10/03/15 03:59:41 AM,12.558,73.740,,,
373,10/03/15 04:29:41 AM,11.759,76.341,,,
374,10/03/15 04:59:41 AM,11.710,76.082,,,
375,10/03/15 05:29:41 AM,10.736,79.614,,,
376,10/03/15 05:59:41 AM,10.467,80.859,,,
377,10/03/15 06:29:41 AM,10.565,82.284,,,
378,10/03/15 06:59:41 AM,10.394,82.434,,,
379,10/03/15 07:29:41 AM,10.687,82.043,,,
380,10/03/15 07:59:41 AM,11.175,81.964,,,
381,10/03/15 08:29:41 AM,13.690,77.161,,,
382,10/03/15 08:59:41 AM,17.463,61.153,,,
383,10/03/15 09:29:41 AM,19.627,51.411,,,
384,10/03/15 09:59:41 AM,21.056,49.595,,,
385,10/03/15 10:29:41 AM,21.390,48.374,,,
386,10/03/15 10:59:41 AM,22.369,44.409,,,
387,10/03/15 11:29:41 AM,23.280,43.548,,,
388,10/03/15 11:59:41 AM,24.436,39.373,,,
389,10/03/15 12:29:41 PM,25.574,36.316,,,
390,10/03/15 12:59:41 PM,26.451,35.133,,,
391,10/03/15 01:29:41 PM,26.769,34.761,,,
392,10/03/15 01:59:41 PM,26.769,34.728,,,
393,10/03/15 02:29:41 PM,26.500,38.068,,,
394,10/03/15 02:59:41 PM,25.647,39.072,,,
395,10/03/15 03:29:41 PM,23.713,41.617,,,
396,10/03/15 03:59:41 PM,23.833,35.184,,,
397,10/03/15 04:29:41 PM,23.160,34.158,,,
398,10/03/15 04:59:41 PM,21.987,37.937,,,
399,10/03/15 05:29:41 PM,20.746,42.417,,,
400,10/03/15 05:59:41 PM,19.222,46.389,,,
401,10/03/15 06:29:41 PM,17.796,50.351,,,
402,10/03/15 06:59:41 PM,17.724,50.746,,,
403,10/03/15 07:29:41 PM,17.391,51.787,,,
404,10/03/15 07:59:41 PM,16.987,52.317,,,
405,10/03/15 08:29:41 PM,16.534,53.730,,,
406,10/03/15 08:59:41 PM,16.796,52.136,,,
407,10/03/15 09:29:41 PM,19.365,38.742,,,
408,10/03/15 09:59:41 PM,21.175,36.544,,,
409,10/03/15 10:29:41 PM,21.103,42.490,,,
410,10/03/15 10:59:41 PM,18.271,56.527,,,
411,10/03/15 11:29:41 PM,18.509,52.190,,,
412,10/03/15 11:59:41 PM,17.819,54.346,,,
413,10/04/15 12:29:41 AM,18.889,50.967,,,
414,10/04/15 12:59:41 AM,17.558,55.014,,,
415,10/04/15 01:29:41 AM,16.034,58.881,,,
416,10/04/15 01:59:41 AM,15.605,59.833,,,
417,10/04/15 02:29:41 AM,15.223,60.250,,,
418,10/04/15 02:59:41 AM,18.533,48.007,,,
419,10/04/15 03:29:41 AM,17.915,50.118,,,
420,10/04/15 03:59:41 AM,16.892,52.797,,,
421,10/04/15 04:29:41 AM,15.557,55.389,,,
422,10/04/15 04:59:41 AM,14.553,58.647,,,
423,10/04/15 05:29:41 AM,14.074,60.510,,,
424,10/04/15 05:59:41 AM,14.625,60.570,,,
425,10/04/15 06:29:41 AM,18.794,46.051,,,
426,10/04/15 06:59:41 AM,20.388,40.569,,,
427,10/04/15 07:29:41 AM,19.793,45.762,,,
428,10/04/15 07:59:41 AM,19.532,47.093,,,
429,10/04/15 08:29:41 AM,20.079,46.401,,,
430,10/04/15 08:59:41 AM,21.413,45.321,,,
431,10/04/15 09:29:41 AM,22.298,46.324,,,
432,10/04/15 09:59:41 AM,22.944,43.735,,,
433,10/04/15 10:29:41 AM,24.050,41.720,,,
434,10/04/15 10:59:41 AM,26.134,37.700,,,
435,10/04/15 11:29:41 AM,25.939,38.309,,,
436,10/04/15 11:59:41 AM,26.573,35.746,,,
437,10/04/15 12:29:41 PM,27.161,35.669,,,
438,10/04/15 12:59:41 PM,27.776,35.661,,,
439,10/04/15 01:29:41 PM,27.554,35.841,,,
440,10/04/15 01:59:41 PM,27.161,37.471,,,
441,10/04/15 02:29:41 PM,26.573,38.374,,,
442,10/04/15 02:59:41 PM,26.061,39.742,,,
443,10/04/15 03:29:41 PM,24.557,42.916,,,
444,10/04/15 03:59:41 PM,22.513,49.249,,,
445,10/04/15 04:29:41 PM,21.485,51.790,,,
446,10/04/15 04:59:41 PM,20.579,54.003,,,
447,10/04/15 05:29:41 PM,19.817,55.808,,,
448,10/04/15 05:59:41 PM,18.652,59.506,,,
449,10/04/15 06:29:41 PM,17.225,63.857,,,
450,10/04/15 06:59:41 PM,16.272,66.697,,,
451,10/04/15 07:29:41 PM,15.485,69.490,,,
452,10/04/15 07:59:41 PM,14.984,72.151,,,
453,10/04/15 08:29:41 PM,14.529,74.022,,,
454,10/04/15 08:59:41 PM,14.026,75.133,,,
455,10/04/15 09:29:41 PM,13.522,75.787,,,
456,10/04/15 09:59:41 PM,13.137,76.433,,,
457,10/04/15 10:29:41 PM,12.799,77.779,,,
458,10/04/15 10:59:41 PM,12.509,78.408,,,
459,10/04/15 11:29:41 PM,12.195,79.138,,,
460,10/04/15 11:59:41 PM,11.783,80.334,,,
461,10/05/15 12:29:41 AM,11.686,80.831,,,
462,10/05/15 12:59:41 AM,11.516,81.472,,,
463,10/05/15 01:29:41 AM,11.273,83.172,,,
464,10/05/15 01:59:41 AM,11.175,84.088,,,
465,10/05/15 02:29:41 AM,10.638,85.349,,,
466,10/05/15 02:59:41 AM,10.590,86.556,,,
467,10/05/15 03:29:41 AM,11.613,86.137,,,
468,10/05/15 03:59:41 AM,13.185,85.949,,,
469,10/05/15 04:29:41 AM,13.834,90.087,,,
470,10/05/15 04:59:41 AM,13.858,89.672,,,
471,10/05/15 05:29:41 AM,14.050,91.978,,,
472,10/05/15 05:59:41 AM,14.218,90.919,,,
473,10/05/15 06:29:41 AM,13.112,88.009,,,
474,10/05/15 06:59:41 AM,12.558,89.876,,,
475,10/05/15 07:29:41 AM,13.185,89.110,,,
476,10/05/15 07:59:41 AM,14.337,89.737,,,
477,10/05/15 08:29:41 AM,15.270,87.032,,,
478,10/05/15 08:59:41 AM,16.725,80.922,,,
479,10/05/15 09:29:41 AM,17.938,76.184,,,
480,10/05/15 09:59:41 AM,18.937,71.328,,,
481,10/05/15 10:29:41 AM,19.865,68.136,,,
482,10/05/15 10:59:41 AM,20.984,63.778,,,
483,10/05/15 11:29:41 AM,21.987,60.918,,,
484,10/05/15 11:59:41 AM,22.729,56.549,,,
485,10/05/15 12:29:41 PM,24.219,51.881,,,
486,10/05/15 12:59:41 PM,25.016,48.585,,,
487,10/05/15 01:29:41 PM,25.939,46.579,,,
488,10/05/15 01:59:41 PM,25.162,50.645,,,
