"","Plot","Quad","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y"
"68","PPW1305","A4",526064.121808722,4269644.78609996,-235000.962020491,65433.8878098978,-122.700782501444,38.5748806113016
"69","PPW1305","B1",526065.25658372,4269630.49903746,-235000.283022233,65419.5469140527,-122.70077000844,38.5747518245421
"70","PPW1305","B2",526066.367083721,4269634.88475621,-234999.034758389,65423.9028897164,-122.700757096063,38.5747913155736
"71","PPW1305","B3",526067.477583721,4269639.27047496,-234997.786494501,65428.2588652968,-122.700744183671,38.5748308066034
"72","PPW1305","B4",526068.588083721,4269643.65619371,-234996.538230568,65432.6148408074,-122.700731271266,38.5748702976314
"73","PPW1305","C1",526069.72390872,4269629.36969371,-234995.858166199,65418.2744748327,-122.70071876628,38.5747415159049
"74","PPW1305","C2",526070.834058719,4269633.75522496,-234994.610257743,65422.6302738441,-122.700705857901,38.5747810052513
"75","PPW1305","C3",526071.944208721,4269638.14075621,-234993.36234924,65426.9860727838,-122.700692949509,38.5748204945959
"76","PPW1305","C4",526073.05435872,4269642.52628746,-234992.114440697,65431.3418716355,-122.700680041102,38.5748599839388
"77","PPW1305","D1",526074.191233719,4269628.24034996,-234991.433310217,65417.0020355345,-122.700667524134,38.5747312072453
"78","PPW1305","D2",526075.301033719,4269632.62569371,-234990.185757147,65421.3576578973,-122.700654619754,38.5747706949065
"79","PPW1305","D3",526076.410833719,4269637.01103746,-234988.938204034,65425.7132801847,-122.70064171536,38.574810182566
"80","PPW1305","D4",526077.520633719,4269641.39638121,-234987.690650875,65430.0689023812,-122.700628810952,38.5748496702237
"81","PPW1306","A1",526024.997130803,4270887.7608654,-235000.521542263,66679.6530445362,-122.701185240439,38.5860833019506
"82","PPW1306","A2",526026.196040178,4270892.4944904,-234999.173933098,66684.3545350018,-122.701171298136,38.5861259256399
"83","PPW1306","A3",526027.394949553,4270897.2281154,-234997.826323878,66689.0560253779,-122.701157355815,38.586168549327
"84","PPW1306","A4",526028.593858927,4270901.9617404,-234996.47871461,66693.7575156526,-122.701143413479,38.5862111730122
"85","PPW1306","B1",526029.792090179,4270886.5487404,-234995.772144489,66678.2873311755,-122.701130231472,38.5860722378625
"86","PPW1306","B2",526030.990618303,4270891.2821154,-234994.424923893,66682.9885834074,-122.701116293525,38.5861148593033
"87","PPW1306","B3",526032.189146429,4270896.0154904,-234993.077703242,66687.6898355368,-122.701102355562,38.5861574807421
"88","PPW1306","B4",526033.387674553,4270900.7488654,-234991.730482544,66692.3910875814,-122.701088417581,38.5862001021789
"89","PPW1306","C1",526034.587049555,4270885.3366154,-234991.02274677,66676.9216177217,-122.701075222523,38.5860611737485
"90","PPW1306","C2",526035.785196429,4270890.0697404,-234989.675914744,66681.6226317137,-122.701061288932,38.586103792941
"91","PPW1306","C3",526036.983343305,4270894.8028654,-234988.329082665,66686.3236456062,-122.701047355325,38.5861464121314
"92","PPW1306","C4",526038.18149018,4270899.5359904,-234986.982250536,66691.0246594124,-122.701033421701,38.5861890313198
"93","PPW1306","D1",526039.382008931,4270884.1244904,-234986.273349111,66675.5559041761,-122.70102021359,38.5860501096088
"94","PPW1306","D2",526040.579774556,4270888.8573654,-234984.926905657,66680.2566799251,-122.701006284356,38.5860927265529
"95","PPW1306","D3",526041.77754018,4270893.5902404,-234983.580462147,66684.9574555825,-122.700992355105,38.5861353434949
"96","PPW1306","D4",526042.975305805,4270898.3231154,-234982.234018588,66689.658231149,-122.700978425838,38.5861779604349
"97","PPW1307","A1",525890.796643534,4270664.79336408,-235141.612082588,66460.6643024324,-122.702734373048,38.5840778699228
"98","PPW1307","A2",525891.986821658,4270669.49273908,-235140.274284121,66465.3317822856,-122.702720533573,38.5841201854142
"99","PPW1307","A3",525893.176999782,4270674.19211408,-235138.936485603,66469.9992620465,-122.702706694083,38.5841625009036
"100","PPW1307","A4",525894.367177907,4270678.89148908,-235137.598687033,66474.6667417055,-122.702692854576,38.5842048163909
"101","PPW1307","B1",525895.19939666,4270663.68048908,-235137.251163363,66459.4104042556,-122.702683864745,38.584067712432
"102","PPW1307","B2",525896.389231034,4270668.37961408,-235135.913716028,66464.0776446806,-122.702670029199,38.5841100256744
"103","PPW1307","B3",525897.579065408,4270673.07873908,-235134.576268639,66468.7448850092,-122.702656193636,38.5841523389148
"104","PPW1307","B4",525898.768899783,4270677.77786408,-235133.238821201,66473.4121252503,-122.702642358058,38.5841946521532
"105","PPW1307","C1",525899.602149786,4270662.56761408,-235132.890244189,66458.1565060019,-122.702633356456,38.5840575549194
"106","PPW1307","C2",525900.79164041,4270667.26648908,-235131.553147982,66462.8235069965,-122.702619524838,38.5840998659128
"107","PPW1307","C3",525901.981131035,4270671.96536408,-235130.216051725,66467.4905079026,-122.702605693205,38.5841421769043
"108","PPW1307","C4",525903.170621659,4270676.66423908,-235128.878955417,66472.1575087118,-122.702591861554,38.5841844878938
"109","PPW1307","D1",525904.004902911,4270661.45473908,-235128.529325062,66456.9026076677,-122.702582848181,38.584047397385
"110","PPW1307","D2",525905.194049786,4270666.15336408,-235127.192579985,66461.5693692341,-122.702569020492,38.5840897061295
"111","PPW1307","D3",525906.383196661,4270670.85198908,-235125.855834859,66466.236130714,-122.702555192787,38.584132014872
"112","PPW1307","D4",525907.572343535,4270675.55061408,-235124.519089682,66470.9028921006,-122.702541365065,38.5841743236126
"113","PPW1308","A1",522750.008869483,4273141.75636352,-238199.090961931,69040.2986953561,-122.73871410665,38.6064860171426
