Plot ID,1307,,Sampler(s),"KM, MO, GH, JB",,,,,Date ,20190709,,,,,,,,,
A3,SA,5824,,,ARBMEN,1,0,,,,57.6,0.73,1,,,,,,BD OF BSPRT
A3,SA,6443,149,466,ARBMEN,1,0,,,,7.9,0.67,,,,,,,OG BD=.9/ NEW SA
A3,SA,5825,,,ARBMEN,1,0,,,,60.3,0.78,0,,,,,,BD OF BSPRT
C4,TR,1166,,,QUEAGRI,1,0,1,1,4,,,,41.3,,,,,
C4,SA,5815,,,ARBMEN,0,1,,,,NA,0.34,0,,36.1,,,,BD OF BSPRT
D4,SA,5807,,,ARBMEN,1,0,,,,66.3,0.74,3,,,,,,BD OF BSPRT
C4,SA,5816,,,UMBCAL,0,1,,,,NA,0.64,0,,30.5,,,,BD OF BSPRT
C4,SA,5817,,,UMBCAL,0,1,,,,NA,0.64,0,,32.1,,,,BD OF BSPRT
D4,SA,5808,,,UMBCAL,0,1,,,,NA,0.58,0,,41.2,,,,BD OF BSPRT
D4,SA,5806,,,ARBMEN,1,0,,,,60.2,0.82,2,,,,,,BD OF BSPRT
D4,SA,1167,,,UMBCAL,1,0,,,,100.6,1.15,2,,,,,,BD OF BSPRT
D4,SA,1155,,,UMBCAL,0,1,,,,NA,0.74,0,,41.5,,,,BD OF BSPRT
D4,SA,1157,,,ARBMEN,0,0,,,,,,,,,,1,,
D4,SA,6465,300,400,QUEAGRI,1,0,,,,50,0.3,0,,,,,,NEW SA
D3,SA,5811,,,UMBCAL,0,1,,,,NA,0.43,0,,38.5,,,,BD OF BSPRT
D3,SA,5810,,,UMBCAL,0,1,,,,NA,0.4,0,,26.5,,,,BD OF BSPRT
D3,TR,1168,,,QUEAGRI,1,1,1,1,4,,,,39.9,NA,0,,,
D3,TR,1169,,,PSEMEN,1,0,0,1,2,,,,31.6,,,,,NOT ON LIST/ NEST
D3,SA,1171,,,UMBCAL,0,1,,,,NA,0.84,0,,48.2,,,,BD OF BSPRT
D3,SA,5809,,,UMBCAL,0,1,,,,NA,0.76,0,,48.8,,,,BD OF BSPRT
C3,SA,5814,,,UMBCAL,1,0,,,,50.2,0.75,3,,,,,,BD OF BSPRT
C3,SA,6408,,,QUEAGRI,0,1,,,,NA,0.44,0,,38.1,,,,5812 IN 2018 DB/ BD OF SPRT
C2,SA,1140,,,ARCMAN,0,0,,,,,,,,,,1,,
C2,TR,1164,,,QUEAGRI,0,1,0,0,0,,,,NA,68.4,1,,,
C2,SA,1152,,,UMBCAL,1,0,,,,76.4,1.08,2,,,,,,BD OF BSPRT
C2,SA,5813,,,QUEAGRI,0,1,,,,NA,0.47,0,,42.3,,,,BD OF BSPRT
D2,TR,1173,,,PSEMEN,1,0,0,1,2,,,,29.3,,,,,
D1,TR,1176,,,QUEAGRI,0,1,0,0,0,,,,NA,,0,,,
D1,TR,1175,,,QUEAGRI,0,1,0,0,0,,,,NA,76.7,6,,,
D1,TR,1200,,,QUEAGRI,0,1,0,0,0,,,,NA,63.4,2,,,
D1,TR,1178,,,UMBCAL,0,1,0,0,0,,,,NA,57.1,4,,,
A3,TR,1112,,,ARBMEN,0,1,0,0,0,,,,,191,10,,,BD IS {bsprout?} SEE NOTES {?}
A3,TR,1112.1,,,ARBMEN,0,0,0,0,0,,,,,,,1,,
A2,TR,1110,,,ARBMEN,1,1,1,1,3,,,,41.9,93.1,2,,,
A2,TR,1110.1,,,ARBMEN,1,1,1,1,2,,,,27.8,166.8,2,,,
A2,TR,1110.2,,,ARBMEN,1,1,1,1,2,,,,31.3,242,10,,,
A2,SA,1111,,,QUEAGRI,0,0,,,,,,,,,,1,,
A1,SA,5820,,,QUEAGRI,0,1,,,,,0.48,0,,49.4,,,,BD OF BSPRT
A1,SA,1109,,,ARBMEN,0,0,,,,,,,,,,1,,
A1,SA,6442,495,495,BACPIL,1,0,,,,72.2,0.39,0,,,,,,NEW SA
A1,SA,6441,450,400,BACPIL,1,0,,,,54.4,3.3,2,,,,,,
B2,SA,1128,,,QUEAGRI,1,0,,,,77.5,0.75,8,,,,,,BD IS BSPRT
B2,SA,1130,,,QUEAGRI,1,0,,,,80.3,0.78,9,,,,,,BD IS BSPRT
B1,SA,6467,472,372,QUEAGRI,1,0,,,,98.7,0.78,0,,,,,,
D1,TR,1179,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
D1,TR,1179.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
C1,TR,1159,,,QUEAGRI,0,1,0,0,0,,,,NA,117.1,6,,,
C1,TR,1159.1,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
C1,TR,1160,,,QUEAGRI,0,1,0,0,0,,,,NA,58.8,1,,,
C1,TR,1158,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
C1,SA,6466,123,297,BACPIL,1,0,,,,61.3,0.55,2,,,,,,NEW SA
C1,SA,1134,,,QUEAGRI,1,0,,,,64,0.65,9,,,,,,BD OF BSPRT
C1,SA,1161,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,1144,,,QUEAGRI,1,0,,,,74.3,0.58,3,,,,,,BD OF BSPRT
B1,SA,1142,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,1156,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
B1,TR,1143,,,ARBMEN,0,1,0,0,0,,,,NA,115.2,7,,,
B1,SA,1147,,,QUEAGRI,1,0,,,,90.7,1.13,6,,,,,,BD OF BSPRT
B1,TR,1165,,,QUEAGRI,0,1,0,0,0,,,,NA,95.1,4,,,
B1,TR,1165.1,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
B2,TR,1132,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
B2,TR,1132.1,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
B1,TR,1154,,,QUEAGRI,0,1,0,0,0,,,,NA,98.7,5,,,
B1,SA,1135,,,QUEAGRI,1,0,,,,74.2,0.56,2,,,,,,BD OF BSPRT
B1,SA,1141,,,QUEAGRI,0,1,,,,NA,0.39,0,,41.8,,,,BD OF BSPRT
B1,SA,1149,386,95,QUEAGRI,1,0,,,,122.3,0.74,8,,,,,,
B2,TR,1131,,,ARBMEN,1,1,1,1,2,,,,33,207.1,12,,,
B2,TS,1131.1,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,
B2,TS,1131.2,,,ARBMEN,0,0,,,,NA,NA,NA,,,,,,
B2,SA,1129,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,1146,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
B1,SA,1145,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
