Plot ID,PPW1343,,Sampler(s),"MK, GH, MO, TT",,,,,Date ,20190606,,,,,,,,,,
Notes,"PSEMEN TREE IN D2 W/OUT TAG 2.3  60, 470",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes,
C4,SA,2132,,,UMBCAL,0,1,,,,,,,,25.5,0,,,,
C4,SA,2133,,,UMBCAL,0,1,,,,NA,0.67,,,,,,,,
C4,TR,2131,,,QUEKEL,1,0,0,1,3,,,,33.3,,,,,,
C3,TR,2228,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
C3,TR,2227,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
C4,TR,2127,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,,
C4,TR,2138,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,,
C4,TR,2128,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,,
C4,SA,2129,,,UMBCAL,0,0,,,,NA,NA,,,,,1,,,
C4,SA,2137,,,PSEMEN,0,0,,,,NA,1.37,,,,,,,,
C4,SA,2136,,,UMBCAL,0,0,,,,NA,NA,,,,,1,,,
C4,SA,2134,,,QUEKEL,0,0,,,,NA,NA,,,,,1,,,
C4,TR,2231,,,PSEMEN,0,0,0,0,0,,,,NA,,,, ,NOT FOUND= GIANT HOLE,
C4,SA,2126,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND- DEAD IN '18,
C3,TR,2122,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
C3,SA,2119,,,UMBCAL,0,1,,,,,0.48,,,39.2,0,,,BD OF OG @ .48/ MISSING IN 2018,
C3,TR,2121,,,PSEMEN,0,0,0,0,0,,,,4.7,,,,,,
C3,TR,2120,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
C3,SA,2123,,,UMBCAL,0,0,,,,,,,,,,,,,
C3,TR,2226,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
A3,TR,1862,,,PSEMEN,0,0,0,0,0,,,,4.37,,,,,,
A3,TR,1861,,,PSEMEN,0,0,0,0,0,,,,3.88,,,,,,
A3,TR,1853,,,PSEMEN,1,0,0,1,2,,,,14.1,,,,,,
A3,TR,1850,,,PSEMEN,0,0,0,0,0,,,,4.77,,,,,,
A3,TR,1851,,,PSEMEN,0,0,0,0,0,,,,2.83,,,,,,
A3,SA,1849,,,UMBCAL,0,1,,,,NA,NA,NA,,35.5,,,,OG DEAD,
A3,TR,1852,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,FALLEN,
A3,SA,1857,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,,
A3,SA,1858,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,DEAD,
A3,TR,1859,,,PSEMEN,0,0,0,0,0,,,,1.35,,,,,,
A3,SA,1860,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,FALLEN,
A3,SA,2002,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,DEAD,
A3,SA,2003,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,DEAD,
