plot,date,device,quad,reading,notes
PPW1312,20220511,1591,A3,15.3,
PPW1312,20220511,1591,A4,10.8,
PPW1312,20220511,1591,B4,10.5,
PPW1312,20220511,1591,B3,15.2,
PPW1312,20220511,1591,B2,16,
PPW1312,20220511,1591,B1,14.1,
PPW1312,20220511,1591,C1,14.2,
PPW1312,20220511,1591,C2,14.9,
PPW1312,20220511,1591,C3,10.2,
PPW1312,20220511,1591,C4,14.5,
PPW1312,20220511,1591,D4,16.6,
PPW1312,20220511,1591,D3,16.9,
PPW1312,20220511,1591,D2,14.9,
PPW1312,20220511,1591,D1,16.4,
PPW1313,20220511,1591,A1,16.1,
PPW1313,20220511,1591,A2,14.7,
PPW1313,20220511,1591,A3,15.6,
PPW1313,20220511,1591,A4,5.9,
PPW1313,20220511,1591,B4,12.1,
PPW1313,20220511,1591,B3,9.5,
PPW1313,20220511,1591,B2,11.6,
PPW1313,20220511,1591,B1,8.7,
PPW1313,20220511,1591,C1,11.2,
PPW1313,20220511,1591,C2,10.2,
PPW1313,20220511,1591,C3,8.7,
PPW1313,20220511,1591,C4,12.1,
PPW1313,20220511,1591,D4,14.7,
PPW1313,20220511,1591,D3,8,
PPW1313,20220511,1591,D2,7.1,
PPW1313,20220511,1591,D1,7.5,
PPW1314,20220511,1591,A1,7.9,
PPW1314,20220511,1591,A2,7.9,
PPW1314,20220511,1591,A3,13.8,
PPW1314,20220511,1591,A4,9.5,
PPW1314,20220511,1591,B4,11.2,
PPW1314,20220511,1591,B3,10.9,
PPW1314,20220511,1591,B2,10.4,
PPW1314,20220511,1591,B1,10.2,
PPW1314,20220511,1591,C1,10,
PPW1314,20220511,1591,C2,6.4,
PPW1314,20220511,1591,C3,5.3,
PPW1314,20220511,1591,C4,17.9,
PPW1314,20220511,1591,D4,16.4,
PPW1314,20220511,1591,D3,11.6,
PPW1314,20220511,1591,D2,7.2,
PPW1314,20220511,1591,D1,6.9,
PPW1315,20220512,1591,A1,7.9,
PPW1315,20220512,1591,A2,4.7,
PPW1315,20220512,1799,A3,8.9,
PPW1315,20220512,1799,A4,7.9,
PPW1315,20220512,1799,B4,11.4,
PPW1315,20220512,1799,B3,4.9,
PPW1315,20220512,1591,B2,8.5,
PPW1315,20220512,1591,B1,9,
PPW1315,20220512,1591,C1,5.3,
PPW1315,20220512,1591,C2,6.9,
PPW1315,20220512,1799,C3,5.2,
PPW1315,20220512,1799,C4,5.8,
PPW1315,20220512,1799,D4,10.2,
PPW1315,20220512,1799,D3,6.1,
PPW1315,20220512,1591,D2,9.7,
PPW1315,20220512,1591,D1,8.5,
PPW1316,20220512,1591,A1,4,
PPW1316,20220512,1591,A2,4,
PPW1316,20220512,1591,A3,6.7,
PPW1316,20220512,1799,A4,2.9,
PPW1316,20220512,1799,B4,2.1,
PPW1316,20220512,1799,B3,3,
PPW1316,20220512,1591,B2,6.9,
PPW1316,20220512,1591,B1,4.9,
PPW1316,20220512,1591,C1,5.8,
PPW1316,20220512,1591,C2,3.3,
PPW1316,20220512,1799,C3,4.6,
PPW1316,20220512,1799,C4,2.4,
PPW1316,20220512,1799,D4,3.9,
PPW1316,20220512,1799,D3,2.3,
PPW1316,20220512,1591,D2,3.9,
PPW1316,20220512,1591,D1,3.6,
PPW1317,20220512,1591,A1,2.3,
PPW1317,20220512,1591,A2,3.8,
PPW1317,20220512,1799,A3,2.3,
PPW1317,20220512,1799,A4,4.1,
PPW1317,20220512,1799,B4,2.8,
PPW1317,20220512,1799,B3,3.2,
PPW1317,20220512,1591,B2,2,
PPW1317,20220512,1591,B1,3.6,
PPW1317,20220512,1591,C1,3.5,
PPW1317,20220512,1591,C2,3,
PPW1317,20220512,1799,C3,3.2,
PPW1317,20220512,1799,C4,3.4,
PPW1317,20220512,1799,D4,3.9,
PPW1317,20220512,1799,D3,2.9,
PPW1317,20220512,1591,D2,2.4,
PPW1317,20220512,1591,D1,2.4,
PPW1318,20220512,1591,A1,2.6,
PPW1318,20220512,1591,A2,6,
PPW1318,20220512,1799,A3,4.7,
PPW1318,20220512,1799,A4,3,
PPW1318,20220512,1591,B4,2.9,
PPW1318,20220512,1591,B3,2.6,
PPW1318,20220512,1591,B2,7.7,
PPW1318,20220512,1591,B1,3.9,
PPW1318,20220512,1591,C1,5.8,
PPW1318,20220512,1591,C2,4.4,
PPW1318,20220512,1591,C3,6.9,
PPW1318,20220512,1591,C4,5.2,
PPW1318,20220512,1591,D4,8.2,
PPW1318,20220512,1591,D3,7.1,
PPW1318,20220512,1591,D2,5.9,
PPW1318,20220512,1591,D1,7.3,
PPW1319,20220512,1799,A1,8.2,
PPW1319,20220512,1799,A2,6.1,
PPW1319,20220512,1591,A3,8.1,
PPW1319,20220512,1591,A4,7.4,
PPW1319,20220512,1591,B4,13.2,
PPW1319,20220512,1591,B3,8.6,
PPW1319,20220512,1799,B2,5.5,
PPW1319,20220512,1799,B1,7.6,
PPW1319,20220512,1799,C1,11.4,
PPW1319,20220512,1799,C2,7,
PPW1319,20220512,1591,C3,6.7,
PPW1319,20220512,1591,C4,10.9,
PPW1319,20220512,1591,D4,4.3,
PPW1319,20220512,1591,D3,9.8,
PPW1319,20220512,1799,D2,4.6,
PPW1319,20220512,1799,D1,7.1,
PPW1320,20220514,1591,A1,4.1,
PPW1320,20220514,1591,A2,5.3,
PPW1320,20220514,1591,A3,6.4,
PPW1320,20220514,1591,A4,3.6,
PPW1320,20220514,1591,B4,2.1,
PPW1320,20220514,1591,B3,5.2,
PPW1320,20220514,1591,B2,5.2,
PPW1320,20220514,1591,B1,7.5,
PPW1320,20220514,1591,C1,4.3,
PPW1320,20220514,1591,C2,14,
PPW1320,20220514,1591,C3,5.4,
PPW1320,20220514,1591,C4,3.1,
PPW1320,20220514,1591,D4,2.9,
PPW1320,20220514,1591,D3,1.7,
PPW1320,20220514,1591,D2,9.3,
PPW1320,20220514,1591,D1,7.1,
PPW1321,20220514,4080,A1,16.4,
PPW1321,20220514,4080,A2,12.4,
PPW1321,20220514,4397,A3,9.9,
PPW1321,20220514,4397,A4,16.6,
PPW1321,20220514,4397,B4,7.1,
PPW1321,20220514,4397,B3,11.3,
PPW1321,20220514,4080,B2,8.9,
PPW1321,20220514,4080,B1,7.2,
PPW1321,20220514,4080,C1,8.9,
PPW1321,20220514,4080,C2,7.5,
PPW1321,20220514,4397,C3,8,
PPW1321,20220514,4397,C4,5.3,
PPW1321,20220514,4397,D4,7.5,
PPW1321,20220514,4397,D3,11.7,
PPW1321,20220514,4080,D2,7.6,
PPW1321,20220514,4080,D1,9.8,
PPW1322,20220514,4397,A1,7.1,
PPW1322,20220514,4397,A2,12.9,
PPW1322,20220514,4080,A3,15.3,
PPW1322,20220514,4080,A4,23.2,
PPW1322,20220514,4080,B4,10.8,
PPW1322,20220514,4080,B3,11.7,
PPW1322,20220514,4397,B2,6.1,
PPW1322,20220514,4397,B1,8.9,
PPW1322,20220514,4397,C1,6.5,
PPW1322,20220514,4397,C2,10.9,
PPW1322,20220514,4080,C3,17.1,
PPW1322,20220514,4080,C4,14,
PPW1322,20220514,4080,D4,15.4,
PPW1322,20220514,4080,D3,14.1,
PPW1322,20220514,4397,D2,7.3,
PPW1322,20220514,4397,D1,18.9,
PPW1323,20220511,1591,A1,15.6,
PPW1323,20220511,1591,A2,16.6,
PPW1323,20220511,1591,A3,17.5,
PPW1323,20220511,1591,A4,10.6,
PPW1323,20220511,1591,B4,7.3,
PPW1323,20220511,1591,B3,15.1,
PPW1323,20220511,1591,B2,14.7,
PPW1323,20220511,1591,B1,17.9,
PPW1323,20220511,1591,C1,17.2,
PPW1323,20220511,1591,C2,14.1,
PPW1323,20220511,1591,C3,16,
PPW1323,20220511,1591,C4,12.9,
PPW1323,20220511,1591,D4,15.6,
PPW1323,20220511,1591,D3,13.2,
PPW1323,20220511,1591,D2,15.6,
PPW1323,20220511,1591,D1,19.2,
PPW1324,20220512,1591,A1,7.8,
PPW1324,20220512,1591,A2,5.5,
PPW1324,20220512,1591,A3,5.8,
PPW1324,20220512,1591,A4,6.5,
PPW1324,20220512,1591,B4,12.2,
PPW1324,20220512,1591,B3,4.9,
PPW1324,20220512,1591,B2,8.5,
PPW1324,20220512,1591,B1,11.6,
PPW1324,20220512,1799,C1,11.3,
PPW1324,20220512,1799,C2,8.3,
PPW1324,20220512,1799,C3,5.3,
PPW1324,20220512,1799,C4,12.1,
PPW1324,20220512,1799,D4,5.1,
PPW1324,20220512,1799,D3,7.3,
PPW1324,20220512,1799,D2,7.9,
PPW1324,20220512,1799,D1,12.6,
PPW1325,20220514,4080,A1,7.6,
PPW1325,20220514,4080,A2,6.3,
PPW1325,20220514,4397,A3,9.4,
PPW1325,20220514,4397,A4,11.7,
PPW1325,20220514,4397,B4,7.9,
PPW1325,20220514,4397,B3,9.9,
PPW1325,20220514,4080,B2,4.6,
PPW1325,20220514,4080,B1,7.9,
PPW1325,20220514,4080,C1,5.3,
PPW1325,20220514,4080,C2,5.8,
PPW1325,20220514,4397,C3,11.9,
PPW1325,20220514,4397,C4,13.7,
PPW1325,20220514,4397,D4,11.6,
PPW1325,20220514,4397,D3,11.2,
PPW1325,20220514,4080,D2,5.7,
PPW1325,20220514,4080,D1,6.9,
PPW1326,20220513,1591,A1,6.5,
PPW1326,20220513,1591,A2,9.1,
PPW1326,20220513,1799,A3,12.9,
PPW1326,20220513,1799,A4,7.3,
PPW1326,20220513,1799,B4,6.5,
PPW1326,20220513,1799,B3,9.5,
PPW1326,20220513,1591,B2,18.4,
PPW1326,20220513,1591,B1,11.1,
PPW1326,20220513,1591,C1,6.3,
PPW1326,20220513,1591,C2,12.9,
PPW1326,20220513,1799,C3,13.2,
PPW1326,20220513,1799,C4,6.1,
PPW1326,20220513,1799,D4,11.5,
PPW1326,20220513,1799,D3,14.8,
PPW1326,20220513,1591,D2,10.7,
PPW1326,20220513,1591,D1,8.2,
PPW1327,20220515,4080,A1,4.9,
PPW1327,20220515,4080,A2,5.4,
PPW1327,20220515,4397,A3,4.8,
PPW1327,20220515,4397,A4,8.5,
PPW1327,20220515,4397,B4,9.7,
PPW1327,20220515,4397,B3,6.1,
PPW1327,20220515,4080,B2,5.2,
PPW1327,20220515,4080,B1,4.9,
PPW1327,20220515,4080,C1,5.1,
