Plot ID,1350,,Sampler(s),"MK,DK,MO,AK",,,,,Date ,20180809,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
C2,SA,4250,,,AMOCAL,0,1,,,,,,,,74.3,2,,BD UNAVAILABLE
C2,SA,6030,140,411,AMOCAL,1,,,,,62.6,0.3,9,,,,,NEW SA
C2,SA,6031,60,60,AMOCAL,0,1,,,,,,,,70.6,3,,"NEW SA, BD UNAVAILABLE"
C2,SA,4255,,,AMOCAL,0,,,,,,,,,,,YES,DEAD/GONE
C2,TR,4258,,,PSEMEN,0,0,0,0,0,,,,4.13,,,,
C2,SA,4259,,,UMBCAL,0,1,,,,,0.84,,,49.2,0,,
C2,SA,4257,,,AMOCAL,0,1,,,,,,,,86.3,1,,BD UNAVAILABLE
C2,TR,4260,,,HETARB,0,1,0,0,0,,,,1.17,86,,,
C2,TR,4260.1,,,HETARB,0,0,0,0,0,,,,1.5,,,,
C3,SA,4283,,,UMBCAL,0,,,,,,1.56,,,,,,
C3,SA,4282,,,HETARB,0,,,,,,0.79,,,,,,
C2,TR,4266,,,PSEMEN,0,0,0,0,0,,,,3.14,,,,
C2,SA,4262,,,AMOCAL,0,1,,,,,,,,133.1,11,,BD UNAVAILABLE
C2,SA,4267,,,AMOCAL,0,1,,,,,0.4,,,67.5,3,,
C2,SA,4269,,,AMOCAL,0,1,,,,,,,,59.2,1,,BD UNAVAILABLE
C2,SA,4334,,,AMOCAL,0,1,,,,,,,,67,1,,BD UNAVAILABLE
C2,SA,4244,,,PSEMEN,0,,,,,,0.77,,,,,,
,,,,,,,,,,,,,,,,,,
D3,SA,6055,249,209,AMOCAL,0,1,,,,,1.23,2,,115.1,12,,OG DEAD
D3,SA,6056,249,179,AMOCAL,0,1,,,,,0.78,0,,106.5,8,,OG DEAD
D3,SA,6057,5,76,AMOCAL,0,1,,,,,0.78,1,,93.2,8,,OG DEAD
D2,TR,4315,,,HETARB,0,1,0,0,0,,,,,55.6,1,,OG DEAD
D2,TS,4315.1,,,HETARB,0,1,,,,,1.88,,,79.5,2,,OG DEAD
D2,SA,4316,,,AMOCAL,0,1,,,,,,,,111.2,6,,"OG DEAD, NO BD"
D2,TR,4318,,,PSEMEN,0,0,0,0,0,,,,3.7,,,,
D2,TR,4314,,,PSEMEN,0,0,0,0,0,,,,9.3,,,,
D2,SA,4329,,,AMOCAL,0,1,,,,,0.8,,,88.4,8,,OG DEAD
D2,TR,4321,,,UMBCAL,0,1,0,0,0,,2.4,,1.38,60.4,2,,OG DEAD
D2,,4323,,,PSEMEN,0,0,,,,,,,,,,YES,DEAD/GONE
D2,,4320,,,PSEMEN,0,,,,,,0.6,,,,,YES,DEAD/GONE
D1,SA,4322,,,PSEMEN,0,,,,,,1.08,,,,,YES,DEAD/GONE
D2,SA,4324,,,FRACAL,0,1,,,,,0.49,1,,38.6,0,,OG DEAD
D2,SA,4327,,,AMOCAL,0,1,,,,,0.6,3,,128.1,29,,OG DEAD
D2,SA,4319,,,AMOCAL,0,1,,,,,0.7,1,,89,7,,OG DEAD
