"Plot Title: PPW1350_10319261"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10319261, SEN S/N: 10319261)","RH, % (LGR S/N: 10319261, SEN S/N: 10319261)","Coupler Detached (LGR S/N: 10319261)","Bad Battery (LGR S/N: 10319261)","Good Battery (LGR S/N: 10319261)","End Of File (LGR S/N: 10319261)"
206,06/30/13 08:30:00 PM,26.134,49.689,,,,
207,06/30/13 09:00:00 PM,25.477,51.132,,,,
208,06/30/13 09:30:00 PM,24.339,53.442,,,,
209,06/30/13 10:00:00 PM,24.146,50.891,,,,
210,06/30/13 10:30:00 PM,25.671,44.572,,,,
211,06/30/13 11:00:00 PM,24.002,53.269,,,,
212,06/30/13 11:30:00 PM,21.604,60.156,,,,
213,07/01/13 12:00:00 AM,20.555,62.322,,,,
214,07/01/13 12:30:00 AM,19.817,65.313,,,,
215,07/01/13 01:00:00 AM,19.127,67.237,,,,
216,07/01/13 01:30:00 AM,18.319,71.703,,,,
217,07/01/13 02:00:00 AM,17.629,74.813,,,,
218,07/01/13 02:30:00 AM,17.082,77.422,,,,
219,07/01/13 03:00:00 AM,16.963,78.492,,,,
220,07/01/13 03:30:00 AM,16.463,81.031,,,,
221,07/01/13 04:00:00 AM,16.153,80.437,,,,
222,07/01/13 04:30:00 AM,15.557,82.922,,,,
223,07/01/13 05:00:00 AM,15.461,84.319,,,,
224,07/01/13 05:30:00 AM,16.630,79.261,,,,
225,07/01/13 06:00:00 AM,16.129,80.986,,,,
226,07/01/13 06:30:00 AM,19.413,65.362,,,,
227,07/01/13 07:00:00 AM,19.365,66.688,,,,
228,07/01/13 07:30:00 AM,19.888,65.207,,,,
229,07/01/13 08:00:00 AM,20.507,63.818,,,,
230,07/01/13 08:30:00 AM,20.889,64.002,,,,
231,07/01/13 09:00:00 AM,21.676,62.688,,,,
232,07/01/13 09:30:00 AM,22.561,61.863,,,,
233,07/01/13 10:00:00 AM,23.737,59.881,,,,
234,07/01/13 10:30:00 AM,24.992,56.824,,,,
235,07/01/13 11:00:00 AM,26.231,54.213,,,,
236,07/01/13 11:30:00 AM,27.899,50.785,,,,
237,07/01/13 12:00:00 PM,29.389,46.937,,,,
238,07/01/13 12:30:00 PM,30.925,46.405,,,,
239,07/01/13 01:00:00 PM,31.919,40.897,,,,
240,07/01/13 01:30:00 PM,32.924,38.149,,,,
241,07/01/13 02:00:00 PM,33.495,34.949,,,,
242,07/01/13 02:30:00 PM,34.757,34.347,,,,
243,07/01/13 03:00:00 PM,35.529,31.109,,,,
244,07/01/13 03:30:00 PM,35.904,29.716,,,,
245,07/01/13 04:00:00 PM,35.448,29.506,,,,
246,07/01/13 04:30:00 PM,34.836,29.214,,,,
247,07/01/13 05:00:00 PM,34.334,28.167,,,,
248,07/01/13 05:30:00 PM,33.966,31.116,,,,
249,07/01/13 06:00:00 PM,33.053,35.350,,,,
250,07/01/13 06:30:00 PM,32.407,38.164,,,,
251,07/01/13 07:00:00 PM,31.996,40.905,,,,
252,07/01/13 07:30:00 PM,30.976,42.987,,,,
253,07/01/13 08:00:00 PM,29.290,49.422,,,,
254,07/01/13 08:30:00 PM,28.048,54.185,,,,
255,07/01/13 09:00:00 PM,27.014,50.380,,,,
256,07/01/13 09:30:00 PM,26.256,51.173,,,,
257,07/01/13 10:00:00 PM,25.574,55.126,,,,
258,07/01/13 10:30:00 PM,24.944,57.066,,,,
