plot,date,device,quad,reading
PPW1337,20150505,ack,D3,12.5
PPW1337,20150505,ack,D2,7.9
PPW1337,20150505,ack,D1,8.9
,,,,
PPW1335,20150505,ack,A1,6.4
PPW1335,20150505,ack,A2,6.6
PPW1335,20150505,ack,A3,8.1
PPW1335,20150505,ack,A4,9.8
PPW1335,20150505,ack,B4,10
PPW1335,20150505,ack,B3,7.9
PPW1335,20150505,ack,B2,8.3
PPW1335,20150505,ack,B1,8.4
PPW1335,20150505,ack,C1,8.5
PPW1335,20150505,ack,C2,7.1
PPW1335,20150505,ack,C3,10.9
PPW1335,20150505,ack,C4,11.2
PPW1335,20150505,ack,D4,11.1
PPW1335,20150505,ack,D3,9.2
PPW1335,20150505,ack,D2,9.4
PPW1335,20150505,ack,D1,10.9
,,,,
PPW1336,20150505,ack,A1,5.4
PPW1336,20150505,ack,A2,7.2
PPW1336,20150505,ack,A3,6.1
PPW1336,20150505,ack,A4,7.5
PPW1336,20150505,ack,B4,6.1
PPW1336,20150505,ack,B3,3.8
PPW1336,20150505,ack,B2,4.3
PPW1336,20150505,ack,B1,4.4
PPW1336,20150505,ack,C1,4.7
PPW1336,20150505,ack,C2,3.5
PPW1336,20150505,ack,C3,4.7
PPW1336,20150505,ack,C4,7.8
PPW1336,20150505,ack,D4,6.9
PPW1336,20150505,ack,D3,7.2
PPW1336,20150505,ack,D2,7.9
PPW1336,20150505,ack,D1,3.3
,,,,
PPW1342,20150505,ack,A1,7.4
PPW1342,20150505,ack,A2,8.2
PPW1342,20150505,ack,A3,8.7
PPW1342,20150505,ack,A4,10.7
PPW1342,20150505,ack,B4,8.3
PPW1342,20150505,ack,B3,6.1
PPW1342,20150505,ack,B2,6.5
PPW1342,20150505,ack,B1,7.9
PPW1342,20150505,ack,C1,8.2
PPW1342,20150505,ack,C2,6.5
PPW1342,20150505,ack,C3,7.9
PPW1342,20150505,ack,C4,7.2
PPW1342,20150505,ack,D4,6.5
PPW1342,20150505,ack,D3,6.3
PPW1342,20150505,ack,D2,8.4
PPW1342,20150505,ack,D1,9.6
,,,,
PPW1301,20150505,ack,A1,5.6
PPW1301,20150505,ack,A2,7
PPW1301,20150505,ack,A3,7.9
PPW1301,20150505,ack,A4,12.2
PPW1301,20150505,ack,B4,7.9
PPW1301,20150505,ack,B3,7.5
PPW1301,20150505,ack,B2,6.2
PPW1301,20150505,ack,B1,6.6
PPW1301,20150505,ack,C1,5.9
PPW1301,20150505,ack,C2,7.8
PPW1301,20150505,ack,C3,7.9
PPW1301,20150505,ack,C4,10.7
PPW1301,20150505,ack,D4,11.2
PPW1301,20150505,ack,D3,6.8
PPW1301,20150505,ack,D2,5.8
PPW1301,20150505,ack,D1,5.5
,,,,
PPW1349,20150505,ack,A1,13.2
PPW1349,20150505,ack,A2,12.1
PPW1349,20150505,ack,A3,10.4
PPW1349,20150505,ack,A4,12.7
PPW1349,20150505,ack,B4,13.2
PPW1349,20150505,ack,B3,15.4
PPW1349,20150505,ack,B2,10.7
PPW1349,20150505,ack,B1,13.4
PPW1349,20150505,ack,C1,13.2
PPW1349,20150505,ack,C2,12
PPW1349,20150505,ack,C3,12.4
PPW1349,20150505,ack,C4,7.3
PPW1349,20150505,ack,D4,13.7
PPW1349,20150505,ack,D3,7.9
PPW1349,20150505,ack,D2,10
PPW1349,20150505,ack,D1,NA
,,,,
PPW1323,20150505,ack,A1,7.6
PPW1323,20150505,ack,A2,7.8
PPW1323,20150505,ack,A3,6.9
PPW1323,20150505,ack,A4,6.1
PPW1323,20150505,ack,B4,6.9
PPW1323,20150505,ack,B3,5.8
PPW1323,20150505,ack,B2,9
PPW1323,20150505,ack,B1,6.7
PPW1323,20150505,ack,C1,5.5
PPW1323,20150505,ack,C2,9
PPW1323,20150505,ack,C3,10.9
PPW1323,20150505,ack,C4,8.3
PPW1323,20150505,ack,D4,8.4
PPW1323,20150505,ack,D3,7.5
PPW1323,20150505,ack,D2,5.1
PPW1323,20150505,ack,D1,5.5
,,,,
PPW1307,20150505,ack,A1,10.3
PPW1307,20150505,ack,A2,7.3
PPW1307,20150505,ack,A3,7.9
PPW1307,20150505,ack,A4,NA
PPW1307,20150505,ack,B4,6.8
PPW1307,20150505,ack,B3,9.9
PPW1307,20150505,ack,B2,8.6
PPW1307,20150505,ack,B1,10.2
PPW1307,20150505,ack,C1,8.2
PPW1307,20150505,ack,C2,7.8
PPW1307,20150505,ack,C3,7.9
PPW1307,20150505,ack,C4,6.3
PPW1307,20150505,ack,D4,7.4
PPW1307,20150505,ack,D3,6.9
PPW1307,20150505,ack,D2,7.4
PPW1307,20150505,ack,D1,9.6
,,,,
PPW1324,20150504,ack,A1,6.9
PPW1324,20150504,ack,A2,7.1
PPW1324,20150504,ack,A3,5.8
PPW1324,20150504,ack,A4,5.8
PPW1324,20150504,ack,B4,8.9
PPW1324,20150504,ack,B3,6.8
PPW1324,20150504,ack,B2,6.8
PPW1324,20150504,ack,B1,10.6
PPW1324,20150504,ack,C1,8.3
