"Plot","Quad","Type","Num","Species","SA.Stump.Height_cm","SA.Stump.BD_cm","SA.Branch.Num","DBH_cm","X_cm","Y_cm","Notes","Year","Basal.Area"
"PPW1305","A3","TR",1053,"QUEAGR",NA,NA,NA,46.6,30,40,NA,2014,1705.53923570736
"PPW1305","A3","TR",1054,"HETARB",NA,NA,NA,3.95,94,46,NA,2014,12.2541748444087
"PPW1305","A3","TS",1054.2,"HETARB",NA,NA,NA,1.88,94,46,NA,2014,NA
"PPW1305","A3","TS",1054.3,"HETARB",NA,NA,NA,4.04,94,46,NA,2014,NA
"PPW1305","A3","TS",1054.1,"HETARB",NA,NA,NA,2.01,94,46,NA,2014,NA
"PPW1305","A4","SA",1056,"UMBCAL",54,0.86,2,NA,380,24,NA,2014,1.16176096329751
"PPW1305","A4","TR",1055,"UMBCAL",NA,NA,NA,31.95,183,457,NA,2014,801.736408691524
"PPW1305","A4","TS",1055.3,"UMBCAL",NA,NA,NA,5.45,183,457,NA,2014,NA
"PPW1305","A4","TS",1055.2,"UMBCAL",NA,NA,NA,5.5,183,457,NA,2014,NA
"PPW1305","A4","TS",1055.1,"UMBCAL",NA,NA,NA,8.05,183,457,NA,2014,NA
"PPW1305","A4","TS",1055.5,"UMBCAL",NA,NA,NA,2.1,183,457,NA,2014,NA
"PPW1305","B4","SA",1057,"UMBCAL",63,0.84,1,NA,278,184,NA,2014,0.554176944093239
"PPW1305","B4","SA",1058,"QUEAGR",179,1.82,2,NA,427,287,NA,2014,5.20310575287542
"PPW1305","B3","TR",1059,"QUEAGR",NA,NA,NA,28.4,84,397,NA,2014,633.470742669846
"PPW1305","B3","TR",1060,"UMBCAL",NA,NA,NA,2.07,121,162,NA,2014,3.36535259034173
"PPW1305","B3","SA",1066,"UMBCAL",76,0.72,1,NA,199,190,NA,2014,0.407150407905237
"PPW1305","B3","SA",1062,"QUEAGR",147,1.64,2,NA,305,75,NA,2014,4.22481380054755
"PPW1305","B3","SA",1063,"UMBCAL",51,0.43,1,NA,365,229,NA,2014,0.145220120412188
"PPW1305","B2","SA",1064,"UMBCAL",59,0.61,1,NA,228,410,NA,2014,0.292246656600191
"PPW1305","B2","TR",1065,"UMBCAL",NA,NA,NA,14.6,176,306,NA,2014,167.4154725098
