"Plot","Quad","Bedrock","Soil","Boulder","Fine","Herb","Litter","Total","Year"
"PPW1312","C1",0,10,0,0,40,50,100,2013
"PPW1312","C2",0,1,0,0,15,85,101,2013
"PPW1312","C3",0,1,0,0,5,95,101,2013
"PPW1312","C4",0,0,0,0,15,85,100,2013
"PPW1312","D1",0,20,0,0,25,65,110,2013
"PPW1312","D2",0,5,0,0,5,90,100,2013
"PPW1312","D3",0,0,0,0,1,100,101,2013
"PPW1312","D4",0,0,0,0,1,100,101,2013
"PPW1313","A1",0,15,0,0,40,45,100,2013
"PPW1313","A2",0,15,0,0,25,75,115,2013
"PPW1313","A3",0,25,0,0,25,60,110,2013
"PPW1313","A4",0,15,0,0,20,65,100,2013
"PPW1313","B1",0,15,0,0,60,30,105,2013
"PPW1313","B2",0,5,0,0,45,50,100,2013
"PPW1313","B3",0,15,0,0,35,50,100,2013
"PPW1313","B4",0,10,0,0,15,75,100,2013
"PPW1313","C1",0,5,0,0,25,75,105,2013
"PPW1313","C2",0,10,0,0,40,50,100,2013
"PPW1313","C3",0,5,0,0,55,50,110,2013
"PPW1313","C4",0,10,0,0,25,80,115,2013
"PPW1313","D1",0,5,0,0,30,65,100,2013
"PPW1313","D2",0,5,0,0,30,65,100,2013
"PPW1313","D3",0,5,0,0,40,65,110,2013
"PPW1313","D4",0,5,0,0,50,45,100,2013
"PPW1314","A1",0,0,0,5,90,25,120,2013
"PPW1314","A2",0,5,1,5,80,25,116,2013
"PPW1314","A3",0,1,0,15,80,30,126,2013
"PPW1314","A4",0,5,0,0,40,70,115,2013
"PPW1314","B1",0,1,0,1,95,20,117,2013
"PPW1314","B2",0,5,0,5,75,35,120,2013
"PPW1314","B3",0,5,0,0,40,70,115,2013
"PPW1314","B4",0,5,0,1,40,70,116,2013
"PPW1314","C1",0,1,0,1,90,25,117,2013
"PPW1314","C2",0,10,0,0,80,30,120,2013
"PPW1314","C3",0,15,0,0,40,55,110,2013
"PPW1314","C4",0,1,0,0,55,55,111,2013
"PPW1314","D1",0,0,0,0,85,35,120,2013
"PPW1314","D2",0,5,0,0,65,40,110,2013
"PPW1314","D3",0,1,0,0,30,80,111,2013
"PPW1314","D4",0,10,0,0,55,65,130,2013
"PPW1315","A1",0,1,0,1,50,50,102,2013
"PPW1315","A2",0,1,0,0,45,50,96,2013
"PPW1315","A3",0,5,0,1,40,60,106,2013
"PPW1315","A4",0,1,0,1,45,60,107,2013
"PPW1315","B1",0,1,0,0,50,50,101,2013
"PPW1315","B2",0,5,0,0,45,55,105,2013
"PPW1315","B3",0,10,0,0,50,50,110,2013
"PPW1315","B4",0,1,0,1,40,65,107,2013
"PPW1315","C1",0,1,0,0,40,60,101,2013
"PPW1315","C2",0,5,0,0,45,55,105,2013
"PPW1315","C3",0,1,0,0,40,60,101,2013
"PPW1315","C4",0,5,0,0,35,65,105,2013
"PPW1315","D1",0,5,0,0,40,65,110,2013
"PPW1315","D2",0,1,0,0,40,60,101,2013
"PPW1315","D3",0,0,0,0,45,55,100,2013
"PPW1315","D4",0,0,0,0,40,60,100,2013
"PPW1316","A1",0,1,0,0,60,40,101,2013
"PPW1316","A2",0,15,0,0,35,55,105,2013
"PPW1316","A3",0,10,0,0,40,60,110,2013
"PPW1316","A4",0,10,0,0,30,70,110,2013
"PPW1316","B1",0,0,0,0,70,35,105,2013
"PPW1316","B2",0,1,0,0,45,60,106,2013
"PPW1316","B3",0,5,0,0,40,65,110,2013
"PPW1316","B4",0,5,0,0,35,65,105,2013
"PPW1316","C1",0,0,0,0,80,30,110,2013
"PPW1316","C2",0,10,0,0,30,65,105,2013
"PPW1316","C3",0,10,0,0,30,65,105,2013
"PPW1316","C4",0,15,0,0,35,55,105,2013
"PPW1316","D1",0,0,0,0,65,40,105,2013
"PPW1316","D2",0,10,0,0,45,45,100,2013
"PPW1316","D3",0,5,0,0,25,70,100,2013
"PPW1316","D4",0,5,0,0,25,75,105,2013
"PPW1317","A1",0,5,0,0,35,65,105,2013
"PPW1317","A2",0,10,0,0,30,70,110,2013
"PPW1317","A3",0,10,0,5,35,65,115,2013
"PPW1317","A4",0,1,0,0,40,65,106,2013
"PPW1317","B1",0,5,0,1,35,65,106,2013
"PPW1317","B2",0,10,0,5,35,60,110,2013
"PPW1317","B3",0,10,0,5,30,55,100,2013
"PPW1317","B4",0,15,0,10,30,50,105,2013
"PPW1317","C1",0,5,0,1,35,60,101,2013
"PPW1317","C2",0,5,0,0,35,60,100,2013
"PPW1317","C3",0,15,0,0,30,65,110,2013
"PPW1317","C4",0,10,0,10,35,40,95,2013
"PPW1317","D1",0,20,0,0,35,60,115,2013
"PPW1317","D2",0,10,0,0,40,60,110,2013
"PPW1317","D3",0,15,0,0,50,40,105,2013
"PPW1317","D4",0,15,0,1,55,35,106,2013
"PPW1318","A1",0,20,0,0,40,40,100,2013
"PPW1318","A2",0,10,0,0,60,30,100,2013
"PPW1318","A3",0,15,0,0,50,35,100,2013
"PPW1318","A4",0,10,10,0,50,30,100,2013
"PPW1318","B1",0,30,0,0,25,45,100,2013
"PPW1318","B2",0,20,0,0,50,30,100,2013
"PPW1318","B3",0,20,0,0,45,40,105,2013
"PPW1318","B4",0,10,0,0,35,55,100,2013
"PPW1318","C1",0,1,0,0,35,65,101,2013
"PPW1318","C2",0,5,0,0,40,60,105,2013
"PPW1318","C3",0,1,0,0,65,40,106,2013
"PPW1318","C4",0,10,0,0,45,45,100,2013
"PPW1318","D1",0,5,0,0,40,55,100,2013
"PPW1318","D2",0,1,0,0,50,50,100,2013
"PPW1318","D3",0,10,0,0,50,40,100,2013
"PPW1318","D4",0,20,0,0,35,45,100,2013
"PPW1319","A1",0,10,0,0,30,70,110,2013
"PPW1319","A2",0,10,0,0,40,60,110,2013
"PPW1319","A3",0,5,0,1,45,65,116,2013
"PPW1319","A4",0,10,0,0,40,55,105,2013
"PPW1319","B1",0,5,5,5,45,45,105,2013
"PPW1319","B2",0,10,5,0,40,65,120,2013
"PPW1319","B3",0,10,0,0,30,75,115,2013
"PPW1319","B4",0,10,0,0,25,70,105,2013
"PPW1319","C1",0,1,0,0,65,40,106,2013
"PPW1319","C2",0,1,0,0,40,60,101,2013
"PPW1319","C3",0,5,0,1,55,40,101,2013
"PPW1319","C4",0,1,0,0,35,80,116,2013
"PPW1319","D1",0,1,0,0,60,40,101,2013
"PPW1319","D2",0,0,0,0,80,25,105,2013
"PPW1319","D3",0,1,0,0,65,40,106,2013
"PPW1319","D4",0,0,0,0,40,65,105,2013
"PPW1320","A1",0,0,0,0,30,70,100,2013
"PPW1320","A2",0,0,0,0,45,55,100,2013
"PPW1320","A3",0,1,0,0,35,65,101,2013
"PPW1320","A4",0,5,0,1,35,65,106,2013
"PPW1320","B1",0,1,0,0,45,55,101,2013
"PPW1320","B2",0,5,0,0,40,55,100,2013
"PPW1320","B3",0,0,0,0,45,55,100,2013
"PPW1320","B4",0,0,0,5,15,80,100,2013
"PPW1320","C1",0,1,0,0,60,40,101,2013
"PPW1320","C2",0,5,0,0,40,60,105,2013
"PPW1320","C3",0,1,0,1,35,65,102,2013
"PPW1320","C4",0,5,0,1,25,70,101,2013
"PPW1320","D1",0,1,0,0,45,55,101,2013
"PPW1320","D2",0,0,0,0,40,60,100,2013
"PPW1320","D3",0,1,0,1,40,65,107,2013
"PPW1320","D4",0,1,1,1,30,70,103,2013
"PPW1321","A1",0,0,0,0,80,30,110,2013
"PPW1321","A2",0,0,0,1,75,40,116,2013
"PPW1321","A3",0,5,0,5,75,30,115,2013
"PPW1321","A4",0,0,0,0,65,35,100,2013
"PPW1321","B1",0,1,0,1,90,20,112,2013
"PPW1321","B2",0,1,0,1,80,25,107,2013
