"Plot","Species","Num.Seedlings","Num.Juveniles","Total.Number"
"PPW1332","UMBCAL",14,40,54
"PPW1333","AESCAL",0,1,1
"PPW1333","HETARB",1,0,1
"PPW1333","PSEMEN",0,0,0
"PPW1333","QUEAGR",6,4,10
"PPW1333","QUEDEC",28,7,35
"PPW1333","UMBCAL",107,318,425
"PPW1334","AESCAL",8,59,67
"PPW1334","QUEAGR",0,1,1
"PPW1334","QUEDEC",0,6,6
"PPW1334","UMBCAL",0,3,3
"PPW1335","AESCAL",1,0,1
"PPW1335","QUEDEC",2,1,3
"PPW1335","UMBCAL",12,294,306
"PPW1336","QUEAGR",1,3,4
"PPW1336","QUEDEC",55,5,60
"PPW1336","UMBCAL",8,31,39
"PPW1337","AESCAL",0,2,2
"PPW1337","ARBMEN",1,29,30
"PPW1337","PSEMEN",0,7,7
"PPW1337","QUEAGR",0,11,11
"PPW1337","QUEDEC",3,3,6
"PPW1337","UMBCAL",2,11,13
"PPW1338","PSEMEN",2,7,9
"PPW1338","QUEAGR",6,2,8
"PPW1338","UMBCAL",9,33,42
"PPW1339","ARBMEN",0,2,2
"PPW1339","ARCMAN",0,1,1
"PPW1339","HETARB",0,1,1
"PPW1339","PSEMEN",0,1,1
"PPW1339","QUEAGR",10,32,42
"PPW1339","QUEDEC",1,2,3
"PPW1339","UMBCAL",4,34,38
"PPW1340","ARBMEN",8,3,11
"PPW1340","BACPIL",1,4,5
"PPW1340","PSEMEN",77,268,345
"PPW1340","QUEAGR",0,21,21
"PPW1340","UMBCAL",10,79,89
"PPW1341","ARBMEN",7,0,7
"PPW1341","NOTDEN",1,6,7
"PPW1341","PSEMEN",28,103,131
"PPW1341","QUEAGR",4,14,18
"PPW1341","QUEDEC",1,0,1
"PPW1341","UMBCAL",1,9,10
"PPW1342","NOTDEN",0,1,1
"PPW1342","QUEAGR",0,5,5
"PPW1342","UMBCAL",0,6,6
"PPW1342","UNKN42",0,2,2
"PPW1343","ARBMEN",4,9,13
"PPW1343","CEACUN",0,0,0
"PPW1343","HETARB",3,3,6
"PPW1343","PSEMEN",0,5,5
"PPW1343","QUEAGR",0,20,20
"PPW1343","QUEDEC",0,1,1
"PPW1343","UMBCAL",8,150,158
"PPW1344","QUEAGR",0,2,2
"PPW1344","QUEDEC",25,22,47
"PPW1345","HETARB",0,10,10
"PPW1345","PSEMEN",0,2,2
"PPW1345","QUEAGR",0,4,4
"PPW1345","UMBCAL",0,6,6
"PPW1346","AESCAL",0,12,12
"PPW1346","AMOCAL",0,1,1
"PPW1346","CEACUN",0,1,1
"PPW1346","HETARB",0,3,3
"PPW1346","QUEDEC",0,2,2
"PPW1346","UMBCAL",0,13,13
"PPW1347","QUEAGR",0,3,3
"PPW1347","UMBCAL",1,25,26
"PPW1348","AMOCAL",0,30,30
"PPW1348","HETARB",0,3,3
"PPW1348","PSEMEN",1,3,4
"PPW1348","QUEAGR",0,4,4
"PPW1348","QUEDEC",0,9,9
"PPW1348","UMBCAL",1,26,27
"PPW1349","ARBMEN",1,0,1
"PPW1349","NOTDEN",0,6,6
"PPW1349","PSEMEN",7,31,38
"PPW1349","QUEAGR",1,1,2
"PPW1349","QUEDEC",1,3,4
"PPW1349","UMBCAL",3,32,35
"PPW1350","AMOCAL",1,15,16
"PPW1350","FRACAL",1,1,2
"PPW1350","HETARB",0,2,2
"PPW1350","PSEMEN",1,7,8
"PPW1350","QUEAGR",2,14,16
"PPW1350","QUEDEC",1,2,3
"PPW1350","UMBCAL",0,16,16
