plot,date,device,quad,reading,notes
PPW1306,20210515,4500,A4,11.9,
PPW1306,20210515,4500,B4,6.7,
PPW1306,20210515,4500,B3,11,
PPW1306,20210515,4500,B2,12.3,
PPW1306,20210515,4500,B1,7.6,
PPW1306,20210515,1799,C1,9.3,
PPW1306,20210515,1799,C2,7.5,
PPW1306,20210515,1799,C3,5.8,
PPW1306,20210515,1799,C4,5.5,
PPW1306,20210515,1799,D4,6.9,
PPW1306,20210515,1799,D3,6.5,
PPW1306,20210515,1799,D2,7.9,
PPW1306,20210515,1799,D1,5.3,
PPW1307,20210515,1799,A1,2.1,
PPW1307,20210515,1799,A2,3.4,
PPW1307,20210515,4500,A3,5.4,
PPW1307,20210515,4500,A4,3.9,
PPW1307,20210515,4500,B4,4.4,
PPW1307,20210515,4500,B3,4.4,
PPW1307,20210515,1799,B2,2.8,
PPW1307,20210515,1799,B1,4.2,
PPW1307,20210515,1799,C1,2.1,
PPW1307,20210515,1799,C2,2.8,
PPW1307,20210515,4500,C3,3.5,
PPW1307,20210515,4500,C4,3.1,
PPW1307,20210515,4500,D4,4.5,
PPW1307,20210515,4500,D3,4.2,
PPW1307,20210515,1799,D2,3.1,
PPW1307,20210515,1799,D1,2.3,
PPW1308,20210512,1799,A1,5.5,
PPW1308,20210512,1799,A2,4,
PPW1308,20210512,1799,A3,3.8,
PPW1308,20210512,1799,A4,3.3,
PPW1308,20210512,1799,B4,3.7,
PPW1308,20210512,1799,B3,3.9,
PPW1308,20210512,1799,B2,5.2,
PPW1308,20210512,1799,B1,5.3,
PPW1308,20210512,1799,C1,5.5,
PPW1308,20210512,1799,C2,3.9,
PPW1308,20210512,1799,C3,6.1,
PPW1308,20210512,1799,C4,4.2,
PPW1308,20210512,1799,D4,3,
PPW1308,20210512,1799,D3,5.5,
PPW1308,20210512,1799,D2,5.1,
PPW1308,20210512,1799,D1,5.5,
PPW1309,20210512,1799,A1,5,
PPW1309,20210512,1799,A2,2.7,
PPW1309,20210512,1799,A3,3.4,
PPW1309,20210512,1799,A4,5.1,
PPW1309,20210512,1799,B4,4.8,
PPW1309,20210512,1799,B3,3.2,
PPW1309,20210512,1799,B2,3.8,
PPW1309,20210512,1799,B1,3.6,
PPW1309,20210512,1799,C1,4.7,
PPW1309,20210512,1799,C2,4.1,
PPW1309,20210512,1799,C3,3.1,
PPW1309,20210512,1799,C4,3.6,
PPW1309,20210512,1799,D4,3.4,
PPW1309,20210512,1799,D3,4.8,
PPW1309,20210512,1799,D2,5.3,
PPW1309,20210512,1799,D1,3.2,
PPW1310,20210512,1799,A1,10.7,
PPW1310,20210512,1799,A2,7.9,
PPW1310,20210512,1799,A3,7.3,
PPW1310,20210512,1799,A4,6.6,
PPW1310,20210512,1799,B4,4.2,
PPW1310,20210512,1799,B3,6.3,
PPW1310,20210512,1799,B2,8.4,
PPW1310,20210512,1799,B1,4,
PPW1310,20210512,1799,C1,7.3,
PPW1310,20210512,1799,C2,7.2,
